"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"P1",1,0.77509431668201,1.47340274151649,2.0382351978747,2974.11,"x3","x4","x5","x6","x8"
"P1",2,0.773155933063516,1.48105899582494,2.04574764906152,2931.04,"x4","x5","x8","x9","x5*x4"
"P1",3,0.775210567703347,1.47534066483593,2.0378953086862,2992.68,"x4","x5","x6","x8","x9"
"P1",4,0.775962353712213,1.4786561080966,2.03480611596097,2854.57,"x4","x5","x8","x9","exp_dbl(x5)"
"P1",5,0.773277663852574,1.48533309789747,2.04510539148173,2872.37,"x4","x9","x5","x6","exp_dbl(x5)"
"P1",6,0.767173447756408,1.49747732366447,2.06825088389485,2763.68,"x4","x5","x6","x8","x9"
"P1",7,0.77043817514141,1.4823909952445,2.05561886879146,2860.44,"x7","x4","x5","x8","x9"
"P1",8,0.771930618657374,1.48568293481851,2.04984958307735,2835.3,"x3","x4","x8","x9","exp_dbl(x5)"
"P1",9,0.774583247102058,1.47929674734407,2.0401425886858,2883.42,"x3","x5","x8","x9","x5*troot(x4)"
"P1",10,0.771981115016933,1.48968314991509,2.05021396814138,2912.61,"p0(x7)","x4","x5","x8","x9"
"P1",11,0.770754695591259,1.48390492844805,2.05526031553759,2777.74,"x4","x8","x9","x6","x7"
"P1",12,0.772142765452453,1.47964461859797,2.04936119780375,2888.01,"x4","x5","x9","x8","x3"
"P1",13,0.776511869243731,1.47543146779824,2.03242219721583,2866.17,"x8","x9","exp_dbl(x5)","sigmoid(x1)","p0(x7)*x1"
"P1",14,0.771032634052817,1.48580897249748,2.05361019186158,2778.97,"x4","x5","x6","x5*x5","x4*x5"
"P1",15,0.773106122711174,1.47488295041395,2.0461777452338,2809.29,"troot(x7)","x8","x9","x5","x4"
"P1",16,0.775281284759183,1.48082306986778,2.03766681819729,2883.13,"x5","x4","x7","x9","x8"
"P1",17,0.764474300531021,1.50399683377015,2.07873032307095,2892,"x3","x4","x5","x6","x8"
"P1",18,0.773136530922023,1.480411512683,2.04515807337613,2813.68,"x4","x6","x4*x5","x8","x9"
"P1",19,0.768951287112366,1.49395108065213,2.06119190016232,2865.63,"x6","x8","x9","x4","x3"
"P1",20,0.77499079999604,1.47918280774606,2.03872389840331,2959.3,"x3","x4","x5","x7","x8"
"P1",21,0.773459475231469,1.48254521015417,2.04401180449464,2829.5,"x3","x4","x5","x6","x7"
"P1",22,0.771742134285717,1.47742069764921,2.05116415663404,2860.47,"x5","x4","x8","x9","x6"
"P1",23,0.77215446579625,1.48619173205599,2.04860632174286,2799.75000000001,"troot(x3*x6)","sin(x5)","x4","troot(x3*x7)*p0(x5)","x1*x8"
"P1",24,0.772430522018259,1.48177410788654,2.04845567493575,2877.40999999999,"x4","x6","x8","x9","sin(x5)"
"P1",25,0.7732147048312,1.47639820468783,2.04482516192954,2897.41,"x4*x3","x3","x4","x6","x7"
"P1",26,0.77248896734377,1.48180783096406,2.04835239051731,2853.88,"x4","x5","x8","x9","x5*x4"
"P1",27,0.772723509391462,1.48318931221255,2.04749067793677,2845.45,"x5","x6","x7","x8","x9"
"P1",28,0.76930823322206,1.48628428621219,2.06019617944623,2880.10000000001,"x5","x6","x7","x8","x9"
