"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"S1",1,0.776340186350167,1.47232987531825,2.03256945046182,7155.14,"x5*troot(x4)","x4","x6","x7","x8"
"S2",1,0.772389154056854,1.48085396214853,2.04881848952169,7079.997,"x5*x5","x4","x8","x9","p0(x7)"
"S3",1,0.774886882486224,1.47528536137435,2.03876963925256,6888.897,"x5*x5","x6","x4*x5","x4","x5"
"S4",1,0.771774273407094,1.48418574959459,2.05155617493022,6887.582,"x5","x8","exp_dbl(x5)*x4","x4","x9"
"S5",1,0.770550829387676,1.48159482094263,2.05546399269669,7239.911,"p0(x7)","x4","x5","x8","x5*x4"
"S6",1,0.773931245922146,1.48582277321819,2.04233346860135,7157.571,"x9","x8","p3(x4)","sin(troot(x4*(x5*x5)))","x1*x6"
"S1",10,0.760825425220462,1.50905208107804,2.09299068469067,7167.707,"x2","x4","x5","x7","x8"
"S2",10,0.773661682131138,1.47640335898066,2.04383469844165,6345.045,"x5","x8","x9","x3","exp_dbl(x5)"
"S3",10,0.768534061516125,1.48515080504083,2.06268538174283,6839.914,"x5*x5","x4","x5","(x5*x5)*x9","x8"
"S4",10,0.77645902350242,1.47174361048687,2.03175931712535,7410.791,"x3","x8","x9","x6","sin(x4)"
"S5",10,0.772058467032321,1.4756996398741,2.04975960190878,6280.377,"x4","x5","x6","exp_dbl(x5)","x8"
"S6",10,0.774990069791156,1.47041336121199,2.0377525903126,7059.377,"x8","x9","exp_dbl(x4)","exp_dbl(x5)","exp_dbl(x4)*(x6*x1)"
"S1",11,0.762825814923626,1.49936479817673,2.08507173934605,6240.44,"x5*sin(x5)","troot(x3)","x8","x9","sin(p0(troot(1+(x4+x7))))"
"S2",11,0.777522028912814,1.46872710925613,2.02832320157221,6806.341,"x4","x8","x4*sin(x5)","troot(x4*sin(x5))","sin(p3(sin(x5)))"
"S3",11,0.769670156560858,1.48768772068963,2.05874452802266,6036.023,"troot(x7)","x5*x5","troot(x3)","x4","x9"
"S4",11,0.763003211154412,1.50515315443043,2.08393837434329,7053.76,"x4","x5","x8","x9","exp_dbl(x7)"
"S5",11,0.771807144615176,1.48563099684969,2.04959032775625,5923.124,"x6","troot(x7)","x3*exp_dbl(x4)","x8","x9"
"S6",11,0.773028644231464,1.49212295288632,2.04593710065407,6686.831,"x4","x8","sigmoid(1+(x2+x4))","troot(x5)","p0(x4)*troot(x5)"
"S1",12,0.769382910339026,1.48835690502191,2.05904996818352,7171.67,"x2*(x2*x5)","p3(p0(x5)*x7)","p0(x5)*x7","exp_dbl(1+(x2*x4))","x6"
"S2",12,0.771189374515777,1.4830053229387,2.05286533539343,6627.149,"x4","x8","x5*x4","x5","x6"
"S3",12,0.775598373324594,1.47153127526741,2.03638910840142,6997.1,"x5","exp_dbl(x5)","x4*(x5*x4)","x4","x6"
"S4",12,0.765648401651685,1.49295530473043,2.0742906894832,6012.573,"x8","x4","x5*x4","x5","x5*x5"
"S5",12,0.777233157002366,1.47139586447231,2.02945094978958,6185.589,"x1","exp_dbl(x5)*(x4*x5)","x4","exp_dbl(x5)","x4*x5"
"S6",12,0.779715533870878,1.46142035430801,2.02037018256632,6752.644,"x4","x9","x5","x3","sin(x5)"
"S1",13,0.759683584375101,1.52060165050767,2.09620701252918,6323.081,"sin(x2)","x2","x3","x4","x5"
"S2",13,0.768799272750515,1.48883436731936,2.06250737462933,6932.389,"x7","exp_dbl(x5)","x4*x5","x8","p3(x4)"
"S3",13,0.769892273720612,1.48382494870158,2.05718658307179,6614.938,"x7","x8","x4","sigmoid(1+(sin(x5)*troot(x6)))","x4*x7"
"S4",13,0.773480132708589,1.48109160717755,2.04403730350178,6591.561,"x4","x9","troot(x7)","sigmoid(exp_dbl(x5))","x1*x8"
"S5",13,0.755598981194541,1.52581802408567,2.11165126304044,6978.699,"x2*x4","x2","x5*x8","x5","x6"
"S6",13,0.771597984355454,1.48635151082992,2.05160933253777,6752.64,"x6","x9","x4","x5*x5","x5"
"S1",14,0.767347598509668,1.49058398043145,2.06725945916733,7167.862,"troot(x4)","x1","p0(troot(x4))","x6","x5"
"S2",14,0.773702992187013,1.48236137374621,2.04336775363464,7075.866,"x3","x8","x4","x9","x5"
"S3",14,0.777784621194903,1.46666308182657,2.02803257726519,6579.21,"exp_dbl(x4)*x9","x8","exp_dbl(x5)","exp_dbl(x7)","exp_dbl(exp_dbl(x4))"
"S4",14,0.772596614314078,1.48699398128214,2.04776914666992,6456.508,"x4","x8","x9","x4*x5","exp_dbl(x5)"
"S5",14,0.74751109485467,1.51576951941617,2.14595945481058,7199.789,"sin(x4)","troot(p0(x3)*x7)","x3","x4","p3(x3)"
"S6",14,0.761001343963689,1.51183096263647,2.09169518255669,6854.659,"x6","x8","x9","troot(x4)","x7*x1"
"S1",15,0.774838137948867,1.47977411878901,2.03929596557942,5978.592,"x7","x5","exp_dbl(x3)","x8","x9"
"S2",15,0.770388937156483,1.48908985472876,2.05599746320858,6892.525,"x4","x8","x9","x5*x4","troot(x7)"
"S3",15,0.772598618115716,1.48614966348793,2.04714613716954,7049.54,"x6","exp_dbl(x5)","troot(x5*(x4*x5))","x8","x5"
"S4",15,0.77577596928164,1.47821906324498,2.03591264298084,7282,"troot(x4*x5)","x9","x4","x5","x3"
"S5",15,0.756571515373198,1.52077278638801,2.1081670391509,5903.871,"x7*x7","x4","x6","x7","x9"
"S6",15,0.766727301540133,1.50348202070039,2.06940756420157,6219.45,"p3(x9)","troot(x4)","troot(x5)","p0(exp_dbl(x5))","x4"
"S1",16,0.769993088300277,1.49335080021438,2.05694719538711,6991.067,"x1","x2","x3","x4","x5"
"S2",16,0.773358396371731,1.48240586402432,2.04492591303951,6880.96,"x4","x5","exp_dbl(x5)","x4*x5","(x4*x5)*x4"
"S3",16,0.770469858707371,1.4840090310581,2.0553272678782,5578.052,"x5","x4","x8","x9","troot(x3)"
"S4",16,0.772594989755641,1.48493143012585,2.04810880756702,6823.801,"x8","x9","x4*exp_dbl(x5)","troot(sin(x7))","sigmoid(exp_dbl(x5))"
"S5",16,0.752501600364323,1.50126984837011,2.12457118860795,6779.348,"x6","x4*x5","x4","p3(p3(x5))","exp_dbl(x7)"
"S6",16,0.770236863643366,1.49141437787047,2.05577837825822,7096.423,"x4","x9","x5*x3","x8","x1"
"S1",17,0.760232361740993,1.49941566811689,2.09541050621347,6906.657,"x4*x7","x4","troot(troot(x3))","x6","x5*x8"
"S2",17,0.773615584780996,1.48291572316097,2.0439013899861,7246.853,"x4","x5","x8","x9","x5*x5"
"S3",17,0.769923957427645,1.48851935596453,2.05767033678787,6015.433,"troot(x7)","x3","x4","x5","x6"
"S4",17,0.774644754518727,1.47537095319247,2.03985796825056,7143.501,"x4","x8","x4*x5","troot(x3)","exp_dbl(x5)"
"S5",17,0.768322804133366,1.49430455659484,2.06343651096933,7136.199,"x3","x4","x5","x6","x7"
"S6",17,0.775636498663756,1.47020873824566,2.03609961591202,5937.43799999999,"x9","exp_dbl(x5)","exp_dbl(x5)*x4","x4","x8"
"S1",18,0.762299006528156,1.50930886063985,2.08664987152638,6838.957,"x3","sin(x3)","exp_dbl(x5*troot(x3))","x5*x5","troot(exp_dbl(x4))"
"S2",18,0.77423839373939,1.4729224291502,2.04191335236315,6359.849,"x5","x8","x4*x5","exp_dbl(x5)","x4"
"S3",18,0.754217282434487,1.52424743794643,2.11714398479384,6914.07,"sin(x4)","x2","(p3(x2)*x5)*(x1*x5)","x4","x5"
"S4",18,0.769232946901723,1.4960798886253,2.0604957280464,6697.738,"x4","x9","x3","x8*exp_dbl(x4)","x5"
"S5",18,0.766480801179169,1.48328468178582,2.06988880600092,6850.319,"troot(x2)","(troot(x5)*x5)*(x5*x9)","troot(x5)*x5","x3","x5"
"S6",18,0.77079583899857,1.48065921310628,2.05415180756913,7260.682,"x4","x5","x9","x4*x5","exp_dbl(x5)"
"S1",19,0.774117827293821,1.48562756814982,2.04152261954476,7150.243,"x3","x5","(exp_dbl(x6)*troot(x7))*x3","x8","x9"
"S2",19,0.77738674354599,1.46380079241294,2.0295094456591,7111.434,"x8","troot(x4*x5)","troot(x3)","troot(x4*((1+x7)*x4))","x6"
"S3",19,0.765045807973089,1.49598232114708,2.07669126027362,7040.038,"x5*x5","x4","x5","x6","x1*x7"
"S4",19,0.769790882810522,1.48938032360494,2.0577062263151,6691.88,"x9","exp_dbl(x5)","(exp_dbl(p0(x7))*exp_dbl(x5))*exp_dbl(x5)","x5","x4*exp_dbl(x5)"
"S5",19,0.774109863915678,1.48000474143579,2.04174092910345,6883.814,"x4*x5","sin(x3)","x4","x5","x3"
"S6",19,0.76698218454413,1.48979754004748,2.0689869337566,7047.993,"x7","x8","x9","sin(troot(x5)*troot(x6))","troot(x5)*x7"
"S1",2,0.773889897594651,1.48039771882077,2.04290096828413,6150.054,"troot(x7)","x4","sin(x5)","sin(x5)*sin(x5)","sin(x5)*x4"
"S2",2,0.773188395096396,1.48025832695795,2.04522519410474,5874.647,"x6","x9","x8","exp_dbl(x5)*troot(x4*(x7*x3))","exp_dbl(x5)*troot(x5*(x7*x3))"
"S3",2,0.751123937850648,1.53210369069048,2.13136473349394,6649.925,"x2","x4","x5","x6","x8"
"S4",2,0.778517143176791,1.47097882947907,2.02467702813969,6502.732,"x4","x6","x9","x7","x5*x5"
"S5",2,0.764417270311939,1.48703951420655,2.07859431861986,6402.262,"troot(x4)","sin(troot(x5*x7))","x9*x5","x5*x8","x8"
"S6",2,0.772502878666707,1.48489108856234,2.04829927662457,6650.40399999999,"x4","x5","x6","x8","x9"
"S1",20,0.775715032205233,1.47040259772128,2.03590300162329,7226.322,"x4*x5","x8*x1","x3","x4","x5"
"S2",20,0.770496350910408,1.48351953469321,2.05586743725378,6867.662,"x5","x5*x4","x6","x5*x5","x8"
"S3",20,0.775714679545215,1.47033813062901,2.03539126147853,6057.877,"x4","p0(1+((x4*p0(x5))+(x3*x8)))","(exp_dbl(p3(exp_dbl(x7)))*troot(x3))*(x4*p0(x5))","x8","x6"
"S4",20,0.774186653016327,1.4765384639688,2.04189101712831,7142.736,"x6","x8","x5","exp_dbl(x5)","x4*exp_dbl(x5)"
"S5",20,0.770444905798792,1.48528957659172,2.05601714919535,6724.691,"sin(x4)","p3(x5)*x5","sin(x6)","x5","x6"
"S6",20,0.762864346585044,1.49553420378506,2.08505977688755,6778.162,"x8","x9","sin(x4)","x4","sin(sin(p0(1+troot(x2*x7))*troot(x3)))"
"S1",21,0.759796766618223,1.50506157105017,2.09599769337316,5984.255,"x4*x7","x2","x3","x4","x5"
"S2",21,0.765792460119079,1.49255692440258,2.07335067667023,7221.784,"x4","x8","exp_dbl(x5)","x5","x7"
"S3",21,0.762179665054176,1.51133613404875,2.08719363842407,6503.765,"x4*p0(x5)","x2","x3","x4","sin(x4)"
"S4",21,0.771510853930563,1.48551701173196,2.05224504529531,6979.518,"x8","x9","exp_dbl(1+x5)","troot(x3)","x5"
"S5",21,0.764732359396378,1.49998401401713,2.07745202809639,6084.344,"x5*x8","x4","x5","x2*(x5*x5)","x8"
"S6",21,0.764351141964613,1.50487729459059,2.07905552920374,5643.518,"x7*exp_dbl(1+x5)","exp_dbl(x4)","x8","x2*x4","troot(x3)"
"S1",22,0.770348939017099,1.48944413018781,2.05562475637069,6717.542,"troot(1+x4)","x3","p0(x7)*x5","x6","troot(x3)"
"S2",22,0.770133774150425,1.48865163424385,2.05703393203194,6867.299,"x5","x6","x8","x9","x4"
"S3",22,0.776012491178962,1.47803134203149,2.03467528018606,6656.108,"exp_dbl(x5)","exp_dbl(x4)*x5","x4","x5","x6"
"S4",22,0.765668873751609,1.50129521225021,2.07450396843317,6813.483,"x5*troot(x3)","x8","x9","x4","x6"
"S5",22,0.768989555510605,1.48409608053952,2.06143011791714,6805.642,"x9*(x5*x5)","x4","x5","x6","sin(x6)"
"S6",22,0.776088676345027,1.47865359213366,2.03365316142808,7201.45299999999,"x9","exp_dbl(x1)*exp_dbl(x8*exp_dbl(x4))","(exp_dbl(x5)*exp_dbl(x5))*(x1*x5)","sin((troot(x7)*x4)*(exp_dbl(x5)*exp_dbl(x5)))","x5"
"S1",23,0.757706429574249,1.50898728471804,2.10495306217383,7029.922,"p3(x2)","x2","x4","sin(x4)","x6"
"S2",23,0.771650628897138,1.48609693532984,2.05122978511674,7240.734,"x7","x8","x6","x9","x4"
"S3",23,0.774946651846162,1.48036548623207,2.03814305471704,6763.405,"x5","x6","x9","troot(x5)*x4","x4"
