"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"P6",1,0.764940823505309,1.50055905539973,2.07684421757984,753.009,"x4","x5","x9","x8","x6"
"P6",2,0.758439621385728,1.51265210383583,2.10161262410407,928.092,"x6","x9","x4","x8","troot(x7)"
"P6",3,0.763500524145789,1.50488508163988,2.0820917153734,851.838,"x6","x9","x8","x5","p0(x7)"
"P6",4,0.761723608765262,1.52588016497211,2.08911563160138,823.027,"x5","x6","x4","troot(x7)","x5*x5"
"P6",5,0.75851825080842,1.52301589524899,2.10149362756209,774.784,"x4","x5","x5*x5","troot(x7)","x9"
"P6",6,0.76534791764151,1.50038947455346,2.07538143714407,876.357000000001,"x6","x4","x5","x5*x5","x4*x5"
"P6",7,0.766711228600146,1.50113147962925,2.07025907074519,836.311,"x6","x7","exp_dbl(x5)","x5","x9"
"P6",8,0.758071035480466,1.51432388578447,2.10259220034079,909.333,"x4","x9","x8","troot(x7)","x6"
"P6",9,0.765058526504237,1.50040337978691,2.07639213541423,924.902,"x4","troot(x7)","x5","x4*x5","x6"
"P6",10,0.765181259723556,1.49906802074394,2.07576576980856,809.624000000001,"exp_dbl(x5)","x6","x5","x9","x8"
"P6",11,0.768334101433491,1.49768565437187,2.06421298459872,861.744000000001,"x7","x9","x8","x6","x4"
"P6",12,0.76709666395265,1.499123215741,2.06876766030762,879.732,"x6","x4","x5","x7","x8"
"P6",13,0.764745302092358,1.49993718964774,2.07752593664184,830.754999999999,"x6","x5","x5*x5","x9","x8"
"P6",14,0.770269392657092,1.49117322709286,2.05686901955982,889.971,"x5","x4","exp_dbl(x5)","troot(x5)*x4","x6"
"P6",15,0.758464233655729,1.51537026605279,2.10126350948777,846.268,"x4","troot(x7)","x9","x6","x8"
"P6",16,0.76453984517001,1.4997337313855,2.07823613942434,861.694000000001,"x9","x6","x7","x8","x4"
"P6",17,0.75299303859555,1.52270024082585,2.12180692351308,898.575000000001,"x6","exp_dbl(x5)","x9","x8","x5"
