"Experiment","Run","Number","Feature","Margs"
"S1",17,"Feature1","x10*p0(x13)",1
"S1",17,"Feature2","x10*x6",1
"S1",17,"Feature3","x1",1
"S1",17,"Feature4","x11",0.999994528621626
"S1",17,"Feature5","x5",0.924770985461376
"S1",17,"Feature6","x6",0.866857010934362
"S1",17,"Feature7","x12",0.787697705274408
"S1",17,"Feature8","x13",0.741934868270107
"S1",17,"Feature9","x10",0.697586198263078
"S1",17,"Feature10","x9",0.682799915935138
"S1",17,"Feature11","x8",0.626541685848049
"S1",17,"Feature12","x10",0.622266699011573
"S1",17,"Feature13","x6",0.586346821376828
"S1",17,"Feature14","x6",0.520899974306951
"S1",17,"Feature15","x13",0.520849109238802
"S1",17,"Feature16","x13",0.465404740702385
"S1",17,"Feature17","x10",0.428885629824221
"S1",17,"Feature18","x9",0.403933410888347
"S1",17,"Feature19","x8",0.328139128325693
"S1",17,"Feature20","x8",0.27707489591601
"S1",17,"Feature21","x9",0.267331600504262
"S1",17,"Feature22","x7",0.0948266459576232
"S1",17,"Feature23","x3",0.0159506726748955
"S2",17,"Feature1","x6*x9",1
"S2",17,"Feature2","exp_dbl(x13)*x1",1
"S2",17,"Feature3","x11",0.999999999999999
"S2",17,"Feature4","x1",0.999999999999998
"S2",17,"Feature5","p3(x6)",0.999999999999994
"S2",17,"Feature6","x8",0.999122048639595
"S2",17,"Feature7","x10",0.998801700883272
"S2",17,"Feature8","x13",0.94425749441597
"S2",17,"Feature9","x9",0.907098105879744
"S2",17,"Feature10","x12",0.890460044985054
"S2",17,"Feature11","x5",0.725791035745195
"S2",17,"Feature12","exp_dbl(x13)",0.466290502031713
"S2",17,"Feature13","x5",0.342803323390301
"S2",17,"Feature14","x9",0.259482808086752
"S2",17,"Feature15","x5",0.233267390848426
"S2",17,"Feature16","x13",0.176174574099278
"S2",17,"Feature17","x12",0.0929750777650204
"S2",17,"Feature18","x13",0.0929207840498808
"S2",17,"Feature19","exp_dbl(x13)",0.0928952742018455
"S2",17,"Feature20","x6",0.0928952735471825
"S2",17,"Feature21","x6",0.0928952735458801
"S2",17,"Feature22","x1",0.0928952679254476
"S2",17,"Feature23","x5",0.0371731151192729
"S3",17,"Feature1","x9",1
"S3",17,"Feature2","x9*x6",1
"S3",17,"Feature3","x10*x13",1
"S3",17,"Feature4","sigmoid(sigmoid(x13))*x9",1
"S3",17,"Feature5","p3(x6)",1
"S3",17,"Feature6","x12",0.984741257661717
"S3",17,"Feature7","x7",0.923057852331118
"S3",17,"Feature8","x8",0.898889572126931
"S3",17,"Feature9","x5",0.810076301519767
"S3",17,"Feature10","x1",0.720880121203942
"S3",17,"Feature11","x1",0.593133093443001
"S3",17,"Feature12","x11",0.546252746157649
"S3",17,"Feature13","x8",0.503601518205621
"S3",17,"Feature14","x11",0.426250409313796
"S3",17,"Feature15","x11",0.335808370404779
"S3",17,"Feature16","x2",0.0190536216983539
"S3",17,"Feature17","x12*x7",0.00777162886365798
"S3",17,"Feature18","x10",0.00760537118700235
"S4",17,"Feature1","x13",1
"S4",17,"Feature2","(x5*(x6*x11))*x6",1
"S4",17,"Feature3","x1",1
"S4",17,"Feature4","x1*sigmoid(x13)",1
"S4",17,"Feature5","x6",0.999999991730746
"S4",17,"Feature6","p0(x6)",0.999999991730746
"S4",17,"Feature7","x12",0.999999990539431
"S4",17,"Feature8","sigmoid(x5)",0.999999988969943
"S4",17,"Feature9","x11",0.999999913554599
"S4",17,"Feature10","x8",0.710700626895124
"S4",17,"Feature11","x7",0.696325136614772
"S4",17,"Feature12","x8",0.609357287669446
"S4",17,"Feature13","x12",0.591733743933889
"S4",17,"Feature14","x9",0.554123918119432
"S4",17,"Feature15","x7",0.439324843865157
"S4",17,"Feature16","x9",0.404663042074348
"S4",17,"Feature17","x12",0.292391835418316
"S5",17,"Feature1","x11",0.999999999999995
"S5",17,"Feature2","x9*x6",0.999999999996075
"S5",17,"Feature3","x9",0.999999999160712
"S5",17,"Feature4","p3(x6)",0.999952280603388
"S5",17,"Feature5","x8",0.999940962252559
"S5",17,"Feature6","x1*sigmoid(x13)",0.999900413549687
"S5",17,"Feature7","x10",0.999821369053727
"S5",17,"Feature8","x7",0.999727605853537
"S5",17,"Feature9","x13",0.998440334257986
"S5",17,"Feature10","x12",0.92246333615249
"S5",17,"Feature11","x5*x1",0.862203665528286
"S5",17,"Feature12","x1",0.822693109431438
"S5",17,"Feature13","x1*x1",0.776473128344032
"S5",17,"Feature14","x1",0.598492659793802
"S5",17,"Feature15","x1",0.28789618730016
"S5",17,"Feature16","sigmoid(x13)",0.277859350453368
"S5",17,"Feature17","x13",0.171857793510202
"S5",17,"Feature18","x5",0.113102382952477
"S5",17,"Feature19","x12",0.106206800573665
"S5",17,"Feature20","x5",0.0433729748489769
"S6",17,"Feature1","x6*x9",1
"S6",17,"Feature2","p0(p0(x13))*x9",1
"S6",17,"Feature3","x11",0.999995706523808
"S6",17,"Feature4","x1",0.998684451866266
"S6",17,"Feature5","x10",0.997102671782642
"S6",17,"Feature6","x6*x6",0.986151081204313
"S6",17,"Feature7","x8",0.985371908608793
"S6",17,"Feature8","x5",0.969211115824352
"S6",17,"Feature9","x12",0.961565719427499
"S6",17,"Feature10","x9",0.942071311278246
"S6",17,"Feature11","x9",0.814308593253274
"S6",17,"Feature12","x7",0.598085341868548
"S6",17,"Feature13","x7",0.563587393505342
"S6",17,"Feature14","x2",0.26971337669083
"S6",17,"Feature15","x1",0.245684837031764
"S6",17,"Feature16","x8",0.0351749987269963
"S6",17,"Feature17","x6",0.0171178944559584
