"Experiment","Run","Number","Feature","Margs"
"P1",12,"Feature1","x9",1.46686034880392
"P1",12,"Feature2","x10",1.0975269726085
"P1",12,"Feature3","x6",1.0850311464727
"P1",12,"Feature4","x8",1.06621939320925
"P1",12,"Feature5","x11",1.00121701412864
"P1",12,"Feature6","x1",0.998844061732883
"P1",12,"Feature7","x12",0.990262355315085
"P1",12,"Feature8","x13",0.845040215950479
"P1",12,"Feature9","x6*x10",0.685533051787216
"P1",12,"Feature10","p0(x13)*x10",0.682451635479648
"P1",12,"Feature11","x7",0.315420672065674
"P1",12,"Feature12","p3(x6)",0.314489260796974
"P1",12,"Feature13","x9*x13",0.314475040249372
"P1",12,"Feature14","sigmoid(x13)*x9",0.314467440280925
"P1",12,"Feature15","p3(x6)*x9",0.314467440280925
"P1",12,"Feature16","x5",0.314071096663179
"P1",12,"Feature17","((x13*x13)*exp_dbl(x13))*x1",0.00243345874422522
"P1",12,"Feature18","x6*(x10*x13)",0.00243336745287727
"P1",12,"Feature19","exp_dbl(x13)",0.00237391479696258
"P1",12,"Feature20","x1*x12",0.00161023738468326
"P2",12,"Feature1","x12",2.22741488717244
"P2",12,"Feature2","x13",1.65941536003945
"P2",12,"Feature3","x8",1.44188349077089
"P2",12,"Feature4","x5",1.00680217852808
"P2",12,"Feature5","x1",1.00002346271858
"P2",12,"Feature6","x6",1.00001087891654
"P2",12,"Feature7","x10",1.00000768805341
"P2",12,"Feature8","x6*x10",1.00000215225904
"P2",12,"Feature9","x1*sigmoid(x13)",0.999999999836827
"P2",12,"Feature10","x9",0.999999751550209
"P2",12,"Feature11","x10*x13",0.999980751426359
"P2",12,"Feature12","x11",0.999870238958659
"P2",12,"Feature13","x13*x6",0.993648835373133
"P2",12,"Feature14","x11*x6",0.00985677855292582
"P2",12,"Feature15","troot(x13)",0.00669334486477447
"P3",12,"Feature1","x10",1.11231460681017
"P3",12,"Feature2","x8",1.02333565559429
"P3",12,"Feature3","x1",1.00002703031385
"P3",12,"Feature4","x11",1.00000654414705
"P3",12,"Feature5","x9",0.99998024996343
"P3",12,"Feature6","x6*x9",0.999933118834741
"P3",12,"Feature7","x9*x13",0.999874921829066
"P3",12,"Feature8","x6*x6",0.999804373537956
"P3",12,"Feature9","x7",0.999217396100396
"P3",12,"Feature10","x5",0.996614237817224
"P3",12,"Feature11","exp_dbl(x13)*(x9*x13)",0.864136480125029
"P3",12,"Feature12","x6*(exp_dbl(x13)*x9)",0.135798560620003
"P3",12,"Feature13","x6",0.00577641391735246
"P4",12,"Feature1","x9",3.58027365665377
"P4",12,"Feature2","x11",1.92050247184942
"P4",12,"Feature3","x6",1.3169486274441
"P4",12,"Feature4","x8",1.01095224918236
"P4",12,"Feature5","x5",1.00004590864791
"P4",12,"Feature6","x1",0.999999964494039
"P4",12,"Feature7","p0(x13)*x9",0.999863570552434
"P4",12,"Feature8","p0(x6)",0.999863570521582
"P4",12,"Feature9","x9*x6",0.999863570509435
"P4",12,"Feature10","troot(x6)*x9",0.999860453008105
"P4",12,"Feature11","x12",0.999836369118901
"P4",12,"Feature12","x10",0.997687230714998
"P4",12,"Feature13","x13*x9",0.921147345430578
"P4",12,"Feature14","p0(x13)",0.0505906342541829
"P4",12,"Feature15","x13",0.0493964480746787
"P4",12,"Feature16","x11*x13",0.00386994682129241
"P5",12,"Feature1","x6",1.90590246745335
"P5",12,"Feature2","x9",1.01925939155299
"P5",12,"Feature3","x10",1.01502683460892
"P5",12,"Feature4","x1",1.01272123067237
"P5",12,"Feature5","x12",1.00646583500559
"P5",12,"Feature6","x8",1.00051180357131
"P5",12,"Feature7","x11",1.00022121993329
"P5",12,"Feature8","x9*x13",0.99927147865979
"P5",12,"Feature9","troot(x6)",0.960336395556878
"P5",12,"Feature10","x1*exp_dbl(x13)",0.960116460856851
"P5",12,"Feature11","p3(x6)*x9",0.960116460856851
"P5",12,"Feature12","x7*x12",0.960115548373128
"P5",12,"Feature13","x5",0.840050972884665
"P5",12,"Feature14","exp_dbl(x13)",0.251472834231488
"P5",12,"Feature15","x9*sigmoid(x13)",0.0391550178032867
"P5",12,"Feature16","x9*x6",0.0391550178032866
"P5",12,"Feature17","x6*x6",0.0391547557291137
"P5",12,"Feature18","x7",0.0391173733183328
"P5",12,"Feature19","x12*x6",0.00410353805532813
"P5",12,"Feature20","x13",0.00172026494997699
"P6",12,"Feature1","x8",1.37905922271595
"P6",12,"Feature2","x6",1.12386402274013
"P6",12,"Feature3","x11",0.999999999999931
"P6",12,"Feature4","x1",0.999944931892049
"P6",12,"Feature5","x9*x13",0.998400213840674
"P6",12,"Feature6","x9*x6",0.998400213840674
"P6",12,"Feature7","(x13*x9)*sigmoid(p0(x13))",0.998400213840674
"P6",12,"Feature8","x10",0.991980934139166
"P6",12,"Feature9","x5",0.985014749856511
"P6",12,"Feature10","x7",0.960352379463245
"P6",12,"Feature11","x12",0.95241693733207
"P6",12,"Feature12","p3(x6)",0.814984005336547
"P6",12,"Feature13","x9",0.00160979367731672
"P6",12,"Feature14","x6*x10",0.00159978613602349
"P6",12,"Feature15","p0(x13)*x10",0.00159978613602349
