"Experiment","Run","Number","Feature","Margs"
"P1",26,"Feature1","sigmoid(p0(x13))*x9",1
"P1",26,"Feature2","x9*x6",0.999999544228992
"P1",26,"Feature3","(x9*x6)*x6",0.999996470203507
"P1",26,"Feature4","x5",0.999994820875152
"P1",26,"Feature5","x13",0.999971821042463
"P1",26,"Feature6","x6",0.999224698431787
"P1",26,"Feature7","x10",0.998327859501775
"P1",26,"Feature8","troot(x6)",0.996722913053552
"P1",26,"Feature9","x9",0.985335516495528
"P1",26,"Feature10","x1",0.977298389571781
"P1",26,"Feature11","x12",0.963494565166225
"P1",26,"Feature12","x8",0.819469126900679
"P1",26,"Feature13","x11",0.660040788328364
"P1",26,"Feature14","x8",0.653696478883642
"P1",26,"Feature15","x11",0.623082927357037
"P1",26,"Feature16","x1",0.499233292890936
"P1",26,"Feature17","x1",0.483817331803842
"P1",26,"Feature18","x9",0.338056067207411
"P1",26,"Feature19","x9",0.272904760273034
"P1",26,"Feature20","x7",0.105646455122325
"P1",26,"Feature21","x6",0.0235556653093423
"P1",26,"Feature22","sigmoid(troot(x6))",0.00326402418377052
"P2",26,"Feature1","sigmoid(x13)*x1",1
"P2",26,"Feature2","x10",0.999999998928621
"P2",26,"Feature3","x10*x6",0.999999995915166
"P2",26,"Feature4","x8",0.999999991139639
"P2",26,"Feature5","x7",0.999999990696612
"P2",26,"Feature6","x11",0.99999986377092
"P2",26,"Feature7","troot(x6)",0.999999745302993
"P2",26,"Feature8","x13",0.999999600364227
"P2",26,"Feature9","x1",0.990602963949878
"P2",26,"Feature10","x12",0.967212045673495
"P2",26,"Feature11","x6",0.852541850933081
"P2",26,"Feature12","x9",0.753540347641773
"P2",26,"Feature13","x11",0.555678982967413
"P2",26,"Feature14","x6",0.550067960716223
"P2",26,"Feature15","x6",0.479213840327688
"P2",26,"Feature16","x1",0.412629521560595
"P2",26,"Feature17","x11",0.296055543031074
"P3",26,"Feature1","x10",1
"P3",26,"Feature2","x10*p0(x13)",1
"P3",26,"Feature3","x11",0.999999999999452
"P3",26,"Feature4","x1",0.999995838901489
"P3",26,"Feature5","x8",0.999991949310586
"P3",26,"Feature6","x9",0.999534131062208
"P3",26,"Feature7","x13",0.996261097787476
"P3",26,"Feature8","x5",0.841952071715508
"P3",26,"Feature9","x6",0.69407516842591
"P3",26,"Feature10","x12",0.676506454802223
"P3",26,"Feature11","x6",0.571741303369671
"P3",26,"Feature12","x6*x10",0.541730676984789
"P3",26,"Feature13","x6*x10",0.45826941805533
"P3",26,"Feature14","x12",0.447073394647732
"P3",26,"Feature15","x5",0.340066968759964
"P3",26,"Feature16","x13",0.157321272707641
"P3",26,"Feature17","p3(x6)",0.0011569435475385
"P4",26,"Feature1","x11",1
"P4",26,"Feature2","x6*x6",1
"P4",26,"Feature3","x11*x10",1
"P4",26,"Feature4","x10*troot(x11*p0(x13))",1
"P4",26,"Feature5","(x11*x6)*x10",1
"P4",26,"Feature6","x9",0.999937135851928
"P4",26,"Feature7","x8",0.999665822639708
"P4",26,"Feature8","x5",0.623460685793666
"P4",26,"Feature9","x1",0.622562202653929
"P4",26,"Feature10","x1",0.572042608013396
"P4",26,"Feature11","x10",0.026480538180602
"P4",26,"Feature12","x4",0.0182720881977834
"P4",26,"Feature13","x1*x1",0.00494345546179328
"P4",26,"Feature14","x8*x11",0.00110145557401223
"P5",26,"Feature1","x1",1
"P5",26,"Feature2","sigmoid(x13)*x1",1
"P5",26,"Feature3","x8",0.999999999977413
"P5",26,"Feature4","x9",0.999999999955922
"P5",26,"Feature5","x13",0.999999998689614
"P5",26,"Feature6","x10",0.999999986178884
"P5",26,"Feature7","(x5*p3(x6))*x9",0.999999974535996
"P5",26,"Feature8","x12",0.999991357339087
"P5",26,"Feature9","p3(x6)",0.99992932658865
"P5",26,"Feature10","x6",0.999921670937126
"P5",26,"Feature11","x11",0.999883052478377
"P6",26,"Feature1","x9*p0(x13)",0.999999999999985
"P6",26,"Feature2","x6",0.999999999999842
"P6",26,"Feature3","x10",0.99999998855519
"P6",26,"Feature4","x1*sigmoid(x13)",0.999999967878649
"P6",26,"Feature5","x11",0.999998758906436
"P6",26,"Feature6","x9",0.99999494509552
"P6",26,"Feature7","x9*x6",0.999993859101264
"P6",26,"Feature8","x7",0.999982312899997
"P6",26,"Feature9","x8",0.999973917036709
"P6",26,"Feature10","troot(x6)",0.98690176210766
"P6",26,"Feature11","x12",0.959328728443856
"P6",26,"Feature12","x1",0.82529617782512
"P6",26,"Feature13","x1",0.352743245586377
"P6",26,"Feature14","x11",0.164301369189893
"P6",26,"Feature15","x9",0.164249536480491
"P6",26,"Feature16","x6",0.164244303495507
"P6",26,"Feature17","x3",0.0202750806672822
"P6",26,"Feature18","x3",0.0202748104985222
"P6",26,"Feature19","p3(x6)",0.0110073342499721
"P6",26,"Feature20","x7*x12",0.00690348480937569
"P6",26,"Feature21","sigmoid(x3)",0.00290916535104561
