"Experiment","Run","Number","Feature","Margs"
"P1",7,"Feature1","x11",1.5957171505815
"P1",7,"Feature2","x1",1.55967303966797
"P1",7,"Feature3","x8",1.39439248727023
"P1",7,"Feature4","x9",1.37513418820868
"P1",7,"Feature5","x12",1.3267776355896
"P1",7,"Feature6","x10",1.28880360673795
"P1",7,"Feature7","x5",1.26710111534688
"P1",7,"Feature8","x13*x10",0.99751060234346
"P1",7,"Feature9","x10*x6",0.961290861502313
"P1",7,"Feature10","x9*exp_dbl(x13)",0.734687989672711
"P1",7,"Feature11","x6*x6",0.734685683955466
"P1",7,"Feature12","x13",0.54884925004907
"P1",7,"Feature13","x7",0.431350278469265
"P1",7,"Feature14","x6",0.350526704897099
"P1",7,"Feature15","troot((exp_dbl(x13)*x10)*x1)",0.226602872043637
"P1",7,"Feature16","exp_dbl(x13*x8)",0.0387064134244629
"P1",7,"Feature17","p0(x13)*x6",0.0387064134204747
"P1",7,"Feature18","p0(x13)",0.0387057300160211
"P1",7,"Feature19","x9*x6",0.0386836795580337
"P1",7,"Feature20","x6*x11",0.017350791969443
"P1",7,"Feature21","(x10*x6)*x13",0.00228689025028044
"P2",7,"Feature1","x10",1.33323864513961
"P2",7,"Feature2","x9",0.999983553530726
"P2",7,"Feature3","x11",0.999867582238631
"P2",7,"Feature4","x1",0.998130305026284
"P2",7,"Feature5","x13",0.997594367510651
"P2",7,"Feature6","x8",0.997210395521984
"P2",7,"Feature7","x6",0.995375793163053
"P2",7,"Feature8","x10*x6",0.995158624295334
"P2",7,"Feature9","x10*p0(x13)",0.995151076864276
"P2",7,"Feature10","x5",0.00513396158511705
"P2",7,"Feature11","p3(x6)",0.00470942417310571
"P2",7,"Feature12","x9*x6",0.00470942417310569
"P2",7,"Feature13","x9*x13",0.0047094241731056
"P2",7,"Feature14","sigmoid(x13)*x9",0.00470942394216961
"P2",7,"Feature15","x1*x10",0.00286961587130738
"P2",7,"Feature16","troot(x10)",0.00222619152944812
"P3",7,"Feature1","x1",1.56352957652611
"P3",7,"Feature2","x6",1.40865084622981
"P3",7,"Feature3","x8",1.23362235094445
"P3",7,"Feature4","x9",1.16431185390884
"P3",7,"Feature5","x12",1.13996766818934
"P3",7,"Feature6","x10",1.07938704853546
"P3",7,"Feature7","x5",1.0315320046144
"P3",7,"Feature8","x6*x10",0.999248719434315
"P3",7,"Feature9","x1*exp_dbl(x13)",0.998843571253253
"P3",7,"Feature10","x11",0.9831603948824
"P3",7,"Feature11","x9*x13",0.958774265873125
"P3",7,"Feature12","exp_dbl(x13)",0.95725239526457
"P3",7,"Feature13","sigmoid(x6)",0.47039315367393
"P3",7,"Feature14","x6*p0(x13)",0.0400707625574225
"P3",7,"Feature15","x13*x1",0.0271889658522055
"P3",7,"Feature16","x11*x6",0.0235664460072539
"P3",7,"Feature17","x2",0.00665596967090165
"P3",7,"Feature18","p0(x6)",0.00225876307139104
"P3",7,"Feature19","x13",0.00169481438789223
"P3",7,"Feature20","p3(x6)",0.00125590018694533
"P3",7,"Feature21","x3",0.00120213313281512
"P3",7,"Feature22","p0(x9)",0.00115165103506241
"P4",7,"Feature1","x1",0.998937083751761
"P4",7,"Feature2","x9",0.9989360102812
"P4",7,"Feature3","p3(x6)",0.991979805506579
"P4",7,"Feature4","x9*troot(sigmoid(troot(x13)))",0.990834732598254
"P4",7,"Feature5","p3(x6)*x9",0.990834732598253
"P4",7,"Feature6","x10",0.975432121696935
"P4",7,"Feature7","x11",0.974954508354742
"P4",7,"Feature8","x11*x6",0.0269131407779043
"P4",7,"Feature9","x12",0.0092061284307246
"P4",7,"Feature10","x8",0.00916487290828222
"P4",7,"Feature11","x5",0.00909308999997521
"P4",7,"Feature12","x6*x10",0.00810308952600286
"P4",7,"Feature13","x13",0.00810308952591472
"P4",7,"Feature14","x6*x6",0.0079451653192998
"P4",7,"Feature15","x1*sigmoid(1+x13)",0.00695801598046753
"P4",7,"Feature16","x13*x9",0.0042552391347962
"P4",7,"Feature17","x13*x13",0.00153829362236368
"P4",7,"Feature18","x6*x9",0.001204148591852
"P4",7,"Feature19","sigmoid(x8*x13)",0.00114507354553822
"P4",7,"Feature20","x9*sigmoid(x13)",0.00106217787574322
"P5",7,"Feature1","x5",1.91126063884032
"P5",7,"Feature2","x13",1.64255170996192
"P5",7,"Feature3","x8",1.61447428030153
"P5",7,"Feature4","x9",1.17697769485148
"P5",7,"Feature5","x12",1.1574971111528
"P5",7,"Feature6","x11",1.00323044400591
"P5",7,"Feature7","x6",1
"P5",7,"Feature8","x6*x10",0.999999805088363
"P5",7,"Feature9","x1",0.999873233052265
"P5",7,"Feature10","x10*troot(x13)",0.994693380728349
"P5",7,"Feature11","x10*sigmoid(x13)",0.927162791387166
"P5",7,"Feature12","x10",0.329435270211395
"P5",7,"Feature13","x10*(exp_dbl(x13)*x10)",0.00530642400513287
"P5",7,"Feature14","p0(x6)",0.00507699135328939
