"Experiment","Run","Number","Feature","Margs"
"S1",25,"Feature1","x4",1
"S1",25,"Feature2","x10*x4",0.999999999999821
"S1",25,"Feature3","troot(x4)*x4",0.999804122624199
"S1",25,"Feature4","x3*x4",0.00140289995563377
"S2",25,"Feature1","troot(x4*(x4*x6))",1
"S2",25,"Feature2","x4",0.0999413664539598
"S3",25,"Feature1","troot(x4*x4)",1
"S3",25,"Feature2","x2*x4",0.949915202005164
"S3",25,"Feature3","x3*x4",0.0512085563606225
"S3",25,"Feature4","x4",0.00783242087486793
"S3",25,"Feature5","troot(x10)",0.00256629997839506
"S4",25,"Feature1","troot(x4*(x6*x4))",1
"S4",25,"Feature2","x6",0.122206377121397
"S4",25,"Feature3","x4",0.101008769961785
"S4",25,"Feature4","p0(x4)",0.00348749730687559
"S5",25,"Feature1","troot(x4*x4)",0.998028989455196
"S5",25,"Feature2","x2*x4",0.996639569999694
"S5",25,"Feature3","x4",0.0892309269872726
"S5",25,"Feature4","x10*x4",0.00532387312299312
"S5",25,"Feature5","p0(x4)",0.00420212521379721
"S5",25,"Feature6","x4*x4",0.0033547005643192
"S5",25,"Feature7","x4*p0(x4)",0.00197422883136496
"S5",25,"Feature8","p0(x6)",0.00129115488586302
"S6",25,"Feature1","troot(x4*(x4*x7))",1
"S6",25,"Feature2","x4",0.155052201921469
"S6",25,"Feature3","x6",0.133655866777572
"S6",25,"Feature4","x9",0.0573859070006644
