"Experiment","Run","Number","Feature","Margs""
"S4",32,"Feature1","troot(x4*x4)",1
"S4",32,"Feature2","x2*x4",0.982607409415272
"S4",32,"Feature3","x4",0.100633756680082
"S4",32,"Feature4","x5",0.0892504291746703
"S4",32,"Feature5","x4*x6",0.0179087434483708
"S5",32,"Feature1","troot(x4*x4)",0.999994805032588
"S5",32,"Feature2","x4",0.999374371671173
"S5",32,"Feature3","x4*x9",0.839862507379332
"S5",32,"Feature4","x4*x4",0.166584207015835
"S5",32,"Feature5","x10*x4",0.163091295976507
"S6",32,"Feature1","x4",1
"S6",32,"Feature2","x10*x4",0.999999999410585
"S6",32,"Feature3","x4*troot(x4)",0.999999976052129
