"Experiment","Run","Number","Feature","Margs","Margs..S4.32.Feature1.troot.x4.x4..1.S4.32.Feature2.x2.x4.0.982607409415272.S4.32.Feature3.x4.0.100633756680082.S4.32.Feature4.x5.0.0892504291746703.S4.32.Feature5.x4.x6.0.0179087434483708.S5.32.Feature1.troot.x4.x4..0.999994805032588.S5.32.Feature2.x4.0.999374371671173.S5.32.Feature3.x4.x9.0.839862507379332.S5.32.Feature4.x4.x4.0.166584207015835.S5.32.Feature5.x10.x4.0.163091295976507.S6.32.Feature1.x4.1.S6.32.Feature2.x10.x4.0.999999999410585.S6.32.Feature3.x4.troot.x4..0.999999976052129..Experiment.Run.Number.Feature.Margs"
"S1",1,"Feature1","troot(x4*x4)",1,NA
"S1",1,"Feature2","x4*x2",0.99999662692371,NA
"S2",1,"Feature1","troot((x7*x4)*x4)",1,NA
"S2",1,"Feature2","x4",0.176603374292635,NA
"S2",1,"Feature3","x7",0.0178937722095366,NA
"S3",1,"Feature1","x4",1,NA
"S3",1,"Feature2","troot(x4)*x4",1,NA
"S3",1,"Feature3","x10*x4",0.999999997412337,NA
"S3",1,"Feature4","x8",0.0726754300288509,NA
"S4",1,"Feature1","troot(x4*x4)",0.999998673016721,NA
"S4",1,"Feature2","x4*x2",0.962080823496506,NA
"S4",1,"Feature3","x9",0.0915308323698932,NA
"S4",1,"Feature4","x9*x4",0.0308649221466842,NA
"S4",1,"Feature5","x4",0.0308605122042835,NA
"S4",1,"Feature6","x4*x8",0.00711419410637222,NA
"S4",1,"Feature7","x6",0.00544986388972782,NA
"S4",1,"Feature8","x10",0.00530472078538164,NA
"S4",1,"Feature9","x8",0.00192948478939341,NA
"S5",1,"Feature1","troot(x4)*troot(x4)",0.999999998998427,NA
"S5",1,"Feature2","x4*x6",0.999996496347122,NA
"S5",1,"Feature3","x4",0.988182042545756,NA
"S5",1,"Feature4","x6",0.253967673008316,NA
"S5",1,"Feature5","x10",0.205524428922251,NA
"S5",1,"Feature6","x2",0.172896214674479,NA
"S5",1,"Feature7","troot(x4)",0.071449195692901,NA
"S5",1,"Feature8","x4*x4",0.0135924823551723,NA
"S6",1,"Feature1","troot((x4*x4)*x7)",1,NA
"S6",1,"Feature2","x4",0.161830365362674,NA
"S6",1,"Feature3","x7",0.0994902451733645,NA
"S1",2,"Feature1","troot(x4*x4)",1,NA
"S1",2,"Feature2","x2*x4",0.999979857980012,NA
"S1",2,"Feature3","x3",0.0988441592213392,NA
"S1",2,"Feature4","x1",0.0720257124578069,NA
"S1",2,"Feature5","x4",0.0710917305175353,NA
"S1",2,"Feature6","x8",0.0592874537836364,NA
"S2",2,"Feature1","troot(x4*(x4*x7))",1,NA
"S2",2,"Feature2","x4",0.164930112304027,NA
"S2",2,"Feature3","x6",0.148437527975559,NA
"S2",2,"Feature4","x7",0.0948330554285641,NA
"S2",2,"Feature5","x1",0.0111527660113353,NA
"S3",2,"Feature1","troot(x4*x4)",0.999999999999999,NA
"S3",2,"Feature2","x2*x4",0.984397811060878,NA
"S3",2,"Feature3","x4",0.0918151182531447,NA
"S3",2,"Feature4","x9",0.0846372313466342,NA
"S3",2,"Feature5","x4*x7",0.0156437688993231,NA
"S4",2,"Feature1","troot((x4*x7)*x4)",1,NA
"S4",2,"Feature2","x4",0.15807215879903,NA
"S4",2,"Feature3","x7",0.120421218866216,NA
"S4",2,"Feature4","x10",0.0238439195565653,NA
"S5",2,"Feature1","troot(x4*x4)",1,NA
"S5",2,"Feature2","x2*x4",0.982308433826443,NA
"S5",2,"Feature3","x2",0.167087190534205,NA
"S5",2,"Feature4","x4",0.0937891758511855,NA
"S5",2,"Feature5","x5",0.0679777727716669,NA
"S5",2,"Feature6","x1",0.0541030470975129,NA
"S5",2,"Feature7","x4*x8",0.0182835467682439,NA
"S6",2,"Feature1","x2*x4",0.999999994598898,NA
"S6",2,"Feature2","troot(x4*x4)",0.999775114853501,NA
"S6",2,"Feature3","x4",0.0847353775362882,NA
"S1",3,"Feature1","troot(x4*(x6*x4))",1,NA
"S1",3,"Feature2","x2",0.356382104039146,NA
"S1",3,"Feature3","x6",0.145823730090275,NA
"S1",3,"Feature4","x4",0.057068962810563,NA
"S2",3,"Feature1","troot((x7*x4)*x4)",1,NA
"S2",3,"Feature2","x4",0.164378806781486,NA
"S2",3,"Feature3","x6",0.141689366918397,NA
"S2",3,"Feature4","p0(x8)",0.00238010542320209,NA
"S3",3,"Feature1","x4",1,NA
"S3",3,"Feature2","troot(x4)*x4",0.999999999873347,NA
"S3",3,"Feature3","x10*x4",0.998589017285581,NA
"S3",3,"Feature4","x8",0.0727159633304103,NA
"S3",3,"Feature5","(x4*x8)*x4",0.00142358612382371,NA
"S4",3,"Feature1","x4",1,NA
"S4",3,"Feature2","x4*troot(x4)",0.999999999584868,NA
"S4",3,"Feature3","x10*x4",0.99994454010983,NA
"S4",3,"Feature4","x2",0.299363994310292,NA
"S4",3,"Feature5","x7",0.0929157901251868,NA
"S5",3,"Feature1","troot(x4*x4)",1,NA
"S5",3,"Feature2","x2*x4",0.995328640580355,NA
"S5",3,"Feature3","x10",0.146379981676613,NA
"S5",3,"Feature4","x7",0.131727370588029,NA
"S5",3,"Feature5","x2",0.127110846156533,NA
"S5",3,"Feature6","x5",0.0979593930007167,NA
"S5",3,"Feature7","x4",0.0493065979854743,NA
"S5",3,"Feature8","x8",0.0424093266902719,NA
"S5",3,"Feature9","x3",0.00921531895375466,NA
"S5",3,"Feature10","x8*x4",0.00470762022550465,NA
"S6",3,"Feature1","troot(x4*x4)",1,NA
"S6",3,"Feature2","x4*x2",0.957732349911035,NA
"S6",3,"Feature3","x5",0.09631639755485,NA
"S6",3,"Feature4","x3*x4",0.0433961575404628,NA
"S6",3,"Feature5","x4",0.00784490567083864,NA
"S2",4,"Feature1","troot((x7*x4)*x4)",1,NA
"S2",4,"Feature2","x2",0.259653441337075,NA
"S2",4,"Feature3","exp_dbl(x10)",0.00438027639478875,NA
"S3",4,"Feature1","x4",0.999999999993015,NA
"S3",4,"Feature2","p0(x4)*x4",0.999977291008152,NA
"S3",4,"Feature3","x7*x4",0.877771084808408,NA
"S3",4,"Feature4","x7",0.183277060532024,NA
"S3",4,"Feature5","(x3*x4)*x4",0.122244158455012,NA
"S3",4,"Feature6","x5",0.00691444675015033,NA
"S3",4,"Feature7","p0(x4)",0.00135242065894274,NA
"S4",4,"Feature1","x4",1,NA
"S4",4,"Feature2","x4*troot(x4)",0.999999999784661,NA
"S4",4,"Feature3","x4*x10",0.999992764891164,NA
"S4",4,"Feature4","x2",0.228026245227152,NA
"S4",4,"Feature5","sin_deg(x7)",0.00186983094795653,NA
"S4",4,"Feature6","x6*x4",0.00138140306106539,NA
"S4",4,"Feature7","troot(x4)",0.0011256852554398,NA
"S4",4,"Feature8","x4*x4",0.00103593811259061,NA
"S5",4,"Feature1","x4",1,NA
"S5",4,"Feature2","x4*p0(x4)",1,NA
"S5",4,"Feature3","(x2*x4)*x10",0.913859346074348,NA
"S5",4,"Feature4","x6",0.215921701164414,NA
"S5",4,"Feature5","x7",0.200523077604595,NA
"S5",4,"Feature6","x10",0.151680292067271,NA
"S5",4,"Feature7","p3(x4)",0.0871543233041492,NA
"S5",4,"Feature8","x2*x4",0.0860016294037576,NA
"S6",4,"Feature1","troot(x4*(x4*x6))",1,NA
"S6",4,"Feature2","x4",0.0998598577030657,NA
"S1",5,"Feature1","x4*x2",0.999958563098488,NA
"S1",5,"Feature2","troot(x4*x4)",0.999853330860896,NA
"S1",5,"Feature3","x4",0.0847341890717281,NA
"S2",5,"Feature1","x4",1,NA
"S2",5,"Feature2","x4*troot(x4)",0.999999999999884,NA
"S2",5,"Feature3","x10*x4",0.999999206718868,NA
"S2",5,"Feature4","x2",0.187008510051023,NA
"S2",5,"Feature5","x7",0.17906565756756,NA
"S2",5,"Feature6","p3(x4)",0.00214482481910202,NA
"S3",5,"Feature1","troot(x4*(x4*x7))",0.999277382657248,NA
"S3",5,"Feature2","x4",0.159956157790878,NA
"S3",5,"Feature3","p0(x4)",0.0226899805122574,NA
