"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",1,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389618212211329,0.060190279391285,-96.7669448270558,0.999877590716933,2,2607.761,"troot(x4*x4)","x4*x2",NA,1,0.99999662692371,NA
"S2",1,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0438480568536121,0.076983897135797,-94.3406692127019,0.999799755119863,2,2713.359,"troot((x7*x4)*x4)","x4",NA,1,0.176603374292635,NA
"S3",1,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0929317497574782,0.340944401305476,-99.5125191073178,0.996072386335285,3,2741.155,"x4","troot(x4)*x4","x10*x4",1,1,0.999999997412337
"S4",1,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0387483878492012,0.0602293630038044,-96.7669448270558,0.99987743169623,2,3062.373,"troot(x4*x4)","x4*x2",NA,0.999998673016721,0.962080823496506,NA
"S5",1,FALSE,FALSE,FALSE,FALSE,6,0.470180737475947,0.470180737475947,0.0421951945312074,0.0721247167398556,-105.847869035597,0.999824236020507,6,2651.004,"troot(x4)*troot(x4)","x4*x6","x4",0.999999998998427,0.999996496347122,0.988182042545756
"S6",1,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0442256520969315,0.0769235936815783,-94.3406692127019,0.999800068710858,2,2028.363,"troot((x4*x4)*x7)","x4",NA,1,0.161830365362674,NA
"S1",2,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0384687230467759,0.0600292499638342,-96.7669448270558,0.999878244813558,2,2579.626,"troot(x4*x4)","x2*x4",NA,1,0.999979857980012,NA
"S2",2,FALSE,FALSE,FALSE,TRUE,2,0.639125155659457,0.458688272779023,0.0434520420225754,0.0760158236539996,-94.3406692127019,0.999804759618761,3,2793.315,"troot(x4*(x4*x7))","x4","x6",1,0.164930112304027,0.148437527975559
"S3",2,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0386681404115435,0.0598906562181913,-96.7669448270558,0.999878806374053,2,2817.603,"troot(x4*x4)","x2*x4",NA,0.999999999999999,0.984397811060878,NA
"S4",2,FALSE,FALSE,FALSE,TRUE,2,0.642734514291522,0.46410231072712,0.0444008465076754,0.0773451488397457,-94.3406692127019,0.999797871387446,3,2727.158,"troot((x4*x7)*x4)","x4","x7",1,0.15807215879903,0.120421218866216
"S5",2,FALSE,FALSE,FALSE,FALSE,3,0.371839007534399,0.371839007534399,0.0400611975327363,0.0618194804635258,-96.7669448270558,0.999870874404426,3,2687.288,"troot(x4*x4)","x2*x4","x2",1,0.982308433826443,0.167087190534205
"S6",2,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389857100081964,0.0612850755539274,-96.7669448270559,0.99987309723418,2,2243.953,"x2*x4","troot(x4*x4)",NA,0.999999994598898,0.999775114853501,NA
"S1",3,TRUE,FALSE,FALSE,FALSE,2,0.276981452303876,-0.0845278215441859,0.0332241316155076,0.0416359125454243,-94.5244319535552,0.999941426953765,3,2646.915,"troot(x4*(x6*x4))","x2","x6",1,0.356382104039146,0.145823730090275
"S2",3,FALSE,FALSE,FALSE,TRUE,2,0.639125155659457,0.458688272779023,0.0427549043260756,0.0757618072331751,-94.3406692127019,0.999806062279121,3,2631.77,"troot((x7*x4)*x4)","x4","x6",1,0.164378806781486,0.141689366918397
