"Experiment","Run","Number","Feature","Margs"
"S1",25,"Feature1","troot(x4*(x4*x6))",1
"S1",25,"Feature2","x4",0.999958554018274
"S1",25,"Feature3","x4*x6",0.994822571033978
"S1",25,"Feature4","x5",0.462213053735687
"S1",25,"Feature5","x7",0.0852910032156234
"S1",25,"Feature6","x9",0.030827986612282
"S1",25,"Feature7","(x4*x6)*x6",0.00521720003179761
"S2",25,"Feature1","troot(x4)*troot(x4)",1
"S2",25,"Feature2","x9*(troot(x4)*troot(x4))",1
"S2",25,"Feature3","(troot(x4)*troot(x4))*x7",1
"S2",25,"Feature4","p3(x5)",0.999749628110464
"S2",25,"Feature5","x8",0.725306476622287
"S2",25,"Feature6","x7",0.142517200478947
"S2",25,"Feature7","x10",0.0760155412368188
"S3",25,"Feature1","x4*troot(x4)",1
"S3",25,"Feature2","x4",1
"S3",25,"Feature3","p0(troot(x4))",1
"S3",25,"Feature4","(x4*x6)*x7",1
"S3",25,"Feature5","troot(x4)",1
"S3",25,"Feature6","x4*x4",1
"S3",25,"Feature7","(x4*x4)*x7",1
"S3",25,"Feature8","x4*p0(x4*troot(x4))",1
"S3",25,"Feature9","(x5*(x4*x4))*x7",1
"S3",25,"Feature10","x9",1
"S3",25,"Feature11","x5",0.91067984169953
"S3",25,"Feature12","x8",0.391957998076175
"S3",25,"Feature13","x1",0.0666155832119057
"S4",25,"Feature1","(troot(x4)*troot(x4))*x9",1
"S4",25,"Feature2","troot(x4)*troot(x4)",1
"S4",25,"Feature3","(troot(x4)*troot(x4))*x7",1
"S4",25,"Feature4","sin_deg(x5)",0.999999999999731
"S4",25,"Feature5","x5",0.999999821408772
"S4",25,"Feature6","x8",0.770119601296254
"S6",25,"Feature1","troot(x4)*troot(x4)",1
"S6",25,"Feature2","x6*(troot(x4)*troot(x4))",1
"S6",25,"Feature3","x9",0.528032913479971
"S6",25,"Feature4","x1",0.16967593506772
"S6",25,"Feature5","p3(x5)",0.108694083694099
