"Experiment","Run","Number","Feature","Margs"
"P2",34,"Feature1","troot(x4*x4)",1
"P2",34,"Feature2","x5",1
"P2",34,"Feature3","troot(x4*x4)*x9",1
"P2",34,"Feature4","x7*(troot(x4*x4)*x6)",1
"P2",34,"Feature5","x3",0.198136241753693
"P2",34,"Feature6","p3(x8)",0.185766292230298
"P4",34,"Feature1","x4*x4",1
"P4",34,"Feature2","troot(exp_dbl(troot(x4)))*(x4*x4)",1
"P4",34,"Feature3","x4",1
"P4",34,"Feature4","x10*x4",1
"P4",34,"Feature5","(x4*x4)*x7",1
"P4",34,"Feature6","p0(x4)",1
"P4",34,"Feature7","troot(x4)",1
"P4",34,"Feature8","(x10*x4)*(troot(exp_dbl(troot(x4)))*(x4*x4))",1
"P4",34,"Feature9","x7",0.99999969261452
"P4",34,"Feature10","sigmoid(x3)",0.997992588617405
"P4",34,"Feature11","x3",0.609246042310413
"P4",34,"Feature12","p3(x3)",0.00505768058633297
"P4",34,"Feature13","troot(x3)",0.00231805652075514
