"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",1,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000917652731621755,673.695386157929,0.999999914588752,4,NA,"troot(x4)*troot(x4)","(troot(x4)*troot(x4))*x6","x9",1,0.999999983478873,0.583208601891366
"P4",1,FALSE,FALSE,FALSE,FALSE,3,0.714244403037591,0.714244403037591,0.000977706266956257,683.748086912524,0.999999912401488,3,NA,"troot(x4*x4)","troot(x4*x4)*x6","x5",0.999999999023315,0.999911974824022,0.364311260683495
"P5",1,FALSE,FALSE,FALSE,FALSE,6,0.504396544739986,0.504396544739986,0.00148152105423464,647.268767612854,0.99999967612207,6,NA,"((troot(x4)*troot(x4))*x9)*x6","(troot(x4)*troot(x4))*x9","x9*((troot(x4)*troot(x4))*x9)",1,1,1
"P6",1,FALSE,FALSE,FALSE,FALSE,8,0.750351261974582,0.750351261974582,0.00732004260934981,583.743173598071,0.999964360338726,8,NA,"x4","troot(x4*x4)","x4*sigmoid(1+p3(sin_deg(x4)))",0.999999999999985,0.999999992899474,0.999999992899474
"P2",2,TRUE,TRUE,FALSE,FALSE,9,0.722587104364402,0.660939833394638,0.00105796518049337,687.684548542455,0.999999894502207,11,NA,"x4","troot((x6*x4)*x4)","x6*x4",0.752977720725719,0.733433840438823,0.733433840438822
"P4",2,FALSE,FALSE,TRUE,FALSE,6,0.322522870506913,0.209610050308459,0.00190410794966033,692.930307846024,0.999999564441237,7,NA,"x7*troot(x4*x4)","troot(x9*x4)*troot(x9*x4)","x5*x5",0.999971493440851,0.999971493440851,0.999968204157608
"P1",3,FALSE,FALSE,FALSE,FALSE,15,0.524444888178364,0.524444888178364,0.300517736093997,584.98610907617,0.843294289743339,15,NA,"x4","x4*x4","x6",1,0.999999806744417,0.999994861022108
"P2",3,FALSE,FALSE,FALSE,FALSE,7,0.424484828665895,0.424484828665895,0.00158854653141864,695.312635688231,0.999999804660899,7,NA,"troot(x4*x4)","troot(x4*x4)*x9","troot(x4*x4)*x7",1,0.999988318028271,0.999988318028271
"P3",3,FALSE,TRUE,TRUE,FALSE,5,0.601947748045292,0.442726959432545,0.00168170604416397,679.720565730869,0.999999778751339,7,NA,"troot(x4*(x9*x4))","troot(x4*(x9*x4))*x7","troot((x9*x4)*(x9*x4))",0.999999970807798,0.999999970807798,0.999999970807798
"P1",4,FALSE,FALSE,FALSE,FALSE,13,0.706660721694156,0.706660721694156,0.0583388793565651,602.299336312986,0.994309004773073,13,NA,"x4","troot(x4)*x4","troot(x4)",1,1,0.999999999999737
"P2",4,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000825928259557648,687.684548542455,0.999999893605285,3,NA,"troot((x4*x6)*x4)","x4","x4*x6",0.979634207223034,0.979621919544211,0.979474182489556
"P3",4,FALSE,FALSE,FALSE,FALSE,5,0.314599591611576,0.314599591611576,0.000917008505526902,683.81122596715,0.999999911846048,5,NA,"x6*troot(x4*x4)","troot(x4*x4)","x9",1,1,0.524842528456983
"P4",4,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000919469632068458,683.955183587772,0.999999915963948,4,NA,"troot(x4*x4)","troot(x4*x4)*x6","x9",1,0.950815603657493,0.371180635711789
"P5",4,FALSE,FALSE,FALSE,FALSE,6,0.659412675170091,0.659412675170091,0.00151556695667104,685.626222586267,0.999999804931576,6,NA,"troot(x4*x4)","x9*troot(x4*x4)","(troot(x4)*troot(x4))*x7",1,0.859964677228359,0.859964677228359
"P1",5,FALSE,FALSE,FALSE,TRUE,12,0.558821909644468,0.522057158663146,0.94902062846504,573.895867722859,-0.611644642245057,13,NA,"x4","x8*(x4*(exp_dbl(x3)*x4))","x7*((x3*x4)*(x4*x3))",0.999537147469321,0.999493882110797,0.999493882110797
"P2",5,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000914468120702734,683.955183587772,0.999999914823023,4,NA,"troot(x4*x4)","troot(x4*x4)*x6","x9",1,0.999999998337405,0.569662682462085
"P3",5,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000813814046259812,682.554649827532,0.999999898621911,3,NA,"troot(x4)*troot(x4*x6)","x6*x4","x4",0.999999999974696,0.948432152882578,0.94840395085673
"P4",5,FALSE,TRUE,FALSE,FALSE,5,0.524375484973105,0.429250652476389,0.0015948851662894,678.524365228528,0.999999804051409,6,NA,"troot((x4*x9)*x4)*x7","troot((x4*x9)*x4)","x9*troot((x4*x9)*x4)",1,1,1
"P5",5,FALSE,FALSE,FALSE,FALSE,12,0.615934851184076,0.615934851184076,0.0494971277907252,590.150113713088,0.996720193244781,12,NA,"x4","x4*troot(x6*x4)","(x6*x4)*x4",1,1,1
"P6",5,TRUE,FALSE,FALSE,FALSE,6,0.733431585263423,0.68900351614066,0.000885204361767739,683.955183587772,0.999999926735642,7,NA,"troot(x4*x4)","x6*troot(x4*x4)","x9",0.890287541932072,0.890287480899334,0.512143407108441
"P1",6,TRUE,FALSE,FALSE,FALSE,3,0.782114214660598,0.709485619547464,0.000897194835514624,687.684548542454,0.999999888470301,4,NA,"x4","troot(x4*(x4*x6))","x4*x6",0.978926952746378,0.976554145347086,0.971498105628078
"P2",6,FALSE,FALSE,FALSE,FALSE,4,0.502496412913266,0.502496412913266,0.000926751074849568,683.81122596715,0.999999912238726,4,NA,"troot(x4*x4)","troot(x4*x4)*x6","x9",1,0.999995217418083,0.522137726156966
"P3",6,FALSE,FALSE,FALSE,FALSE,13,0.761995237520591,0.761995237520591,0.0230651373214726,576.004676847863,0.999256711015567,13,NA,"x4","troot(x4)","x4*(x4*(x10*x10))",1,1,0.999999999999974
"P4",6,FALSE,FALSE,FALSE,FALSE,7,0.41160673628589,0.41160673628589,0.00152495059105315,700.057650136979,0.999999808804191,7,NA,"troot(x4*x4)","x7*troot(x4*x4)","x9*troot(x4*x4)",0.999994848506887,0.999994848486891,0.999994848486891
"P5",6,FALSE,FALSE,FALSE,FALSE,3,0.668521412733855,0.668521412733855,0.000925276828034323,683.81122596715,0.999999911419105,3,NA,"troot(x4*x4)","troot(x4*x4)*x6","x9",1,0.999999999997854,0.465305787733807
"P6",6,TRUE,FALSE,FALSE,FALSE,2,0.995239647353662,0.992859471030492,0.000832159572534734,687.881431327976,0.999999890047381,3,NA,"x4","x7*x4","troot((x4*x6)*x4)",0.999999439385005,0.999999402196294,0.999999402196294
"P2",7,FALSE,FALSE,FALSE,FALSE,6,0.477904508460273,0.477904508460273,0.00154175339752274,678.263597506423,0.999999801520609,6,NA,"troot(x4*x4)","(troot(x4)*troot(x4))*x7","x9*(troot(x4)*troot(x4))",1,0.991635076829483,0.991635076829483
"P3",7,FALSE,FALSE,FALSE,FALSE,7,0.845892029203406,0.845892029203406,0.00377075681628611,639.764284914614,0.999996975643852,7,NA,"x4","x7*x4","x10*x4",1,1,1
