"Experiment","Run","Number","Feature","Margs"
"P1",18,"Feature1","troot(x4*x4)",0.885081262433043
"P1",18,"Feature2","x4*x2",0.865909372819449
"P1",18,"Feature3","x4",0.133965802364799
"P1",18,"Feature4","x10*x4",0.114872334863101
"P1",18,"Feature5","x4*troot(x4)",0.113088451938006
"P1",18,"Feature6","x4*x6",0.0194534643011686
"P1",18,"Feature7","x2",0.0105218814071629
"P1",18,"Feature8","x9",0.00944548517504117
"P1",18,"Feature9","x10",0.00702918286421837
"P1",18,"Feature10","troot(x4)",0.00418547288383786
"P1",18,"Feature11","x4*x4",0.00255207737280925
"P2",18,"Feature1","troot(x4*x4)",0.968896980063399
"P2",18,"Feature2","x2*x4",0.961154573116254
"P2",18,"Feature3","x4",0.114333219737885
"P2",18,"Feature4","x2",0.0794275650083787
"P2",18,"Feature5","x1",0.039687241954771
"P2",18,"Feature6","x9",0.0382471326074339
"P2",18,"Feature7","x10*x4",0.0310296456612641
"P2",18,"Feature8","troot(x4)*x4",0.0306631230973152
"P2",18,"Feature9","x9*x4",0.00762964138148651
"P2",18,"Feature10","x7",0.006447918170635
"P2",18,"Feature11","x10",0.00473450925122981
"P4",18,"Feature1","troot(x4*x4)",0.939021626912799
"P4",18,"Feature2","x4*x2",0.921300443901337
"P4",18,"Feature3","x4",0.0768340496647187
"P4",18,"Feature4","troot(x4)*x4",0.0591580037833995
"P4",18,"Feature5","x10*x4",0.0590746435120177
"P4",18,"Feature6","x4*x6",0.0175727186067724
"P4",18,"Feature7","x1",0.00422515431393797
"P4",18,"Feature8","troot(x4*(x4*x9))",0.00182036793877955
"P4",18,"Feature9","p0(x8)",0.00158383951335456
"P5",18,"Feature1","troot((x4*x9)*(x4*x9))",0.970247183483419
"P5",18,"Feature2","x2",0.367803809664184
"P5",18,"Feature3","x4",0.0947093559792199
"P5",18,"Feature4","x9",0.0401571528631772
"P5",18,"Feature5","p0(x4)*x4",0.0162750659783415
"P5",18,"Feature6","(x10*x4)*x2",0.0154411041115805
"P5",18,"Feature7","troot(x4)*troot(x4)",0.0134729365763922
"P5",18,"Feature8","x3*x4",0.0116711557777926
"P5",18,"Feature9","x10",0.00191094166580523
"P5",18,"Feature10","x2*(x7*x4)",0.0018083759534722
"P6",18,"Feature1","x4",0.599256681054537
"P6",18,"Feature2","x4*troot(x4)",0.461405876962209
"P6",18,"Feature3","x4*x10",0.461405876962209
"P6",18,"Feature4","troot(x6)*troot(x4*x4)",0.400400990709467
"P6",18,"Feature5","troot(x4*x4)",0.138192307632984
"P6",18,"Feature6","x9*x4",0.137880273283012
"P6",18,"Feature7","x10",0.0667263725754304
"P6",18,"Feature8","x3",0.0282545179586154
"P6",18,"Feature9","x5",0.0133759761080822
"P6",18,"Feature10","x1",0.00978338110508853
"P6",18,"Feature11","p3(x4)",0.0010917245228791
"P6",18,"Feature12","x4*x4",0.00100710767737732
