"Experiment","Run","Number","Feature","Margs"
"P1",34,"Feature1","troot(x4*x4)",0.999999498867844
"P1",34,"Feature2","x6*x4",0.994185001545659
"P1",34,"Feature3","x4",0.980567809644069
"P1",34,"Feature4","x6",0.209866962782339
"P1",34,"Feature5","x3",0.104844997907766
"P1",34,"Feature6","x9",0.0738491692273047
"P1",34,"Feature7","x4*x4",0.0238777845704162
"P1",34,"Feature8","p3(x4)",0.019079902897355
"P1",34,"Feature9","x8*(x6*x4)",0.00581686416451206
"P1",34,"Feature10","troot(x6)",0.00103421435834747
"P3",34,"Feature1","x6*x4",0.999606596319779
"P3",34,"Feature2","troot(x4*x4)",0.989269406242898
"P3",34,"Feature3","x4",0.977743221800335
"P3",34,"Feature4","x4*x4",0.0401203974765631
"P3",34,"Feature5","x4*x10",0.0143265352416154
"P4",34,"Feature1","x10*x4",0.999999999999966
"P4",34,"Feature2","troot(x4*x4)",0.999999987005008
"P4",34,"Feature3","x4",0.602986992641088
"P4",34,"Feature4","p3(x4)",0.528876375913627
"P4",34,"Feature5","x4*x4",0.471747397187659
"P4",34,"Feature6","x7",0.237457990751764
"P4",34,"Feature7","x10",0.228469522662737
"P4",34,"Feature8","x8",0.152238485309065
