"Experiment","Run","Number","Feature","Margs"
"P6",40,"Feature1","x4",0.974123108040473
"P6",40,"Feature2","x4*troot(x4)",0.864469630889969
"P6",40,"Feature3","x10*x4",0.862527213893073
"P6",40,"Feature4","troot((x9*x4)*x4)",0.080721509814546
"P6",40,"Feature5","x9",0.073947388879903
"P6",40,"Feature6","x9*x4",0.0567391596395396
"P6",40,"Feature7","x3",0.056601125474745
"P6",40,"Feature8","p0(x4)*x4",0.0548088548258272
"P6",40,"Feature9","x4*x7",0.0330010676092713
"P6",40,"Feature10","x2",0.0135761807842516
"P6",40,"Feature11","p0(x4)",0.0038954099573279
"P6",40,"Feature12","x4*x4",0.00194241378192894
"P6",40,"Feature13","x1",0.0018678777922357
