"Experiment","Run","Number","Feature","Margs"
"S1",11,"Feature1","(troot((x4*x4)+x1)*troot(x6))*x9",1
"S1",11,"Feature2","troot((x4*x4)+x6)*troot(x6)",0.921732578958318
"S1",11,"Feature3","x6",0.533471449144888
"S1",11,"Feature4","troot((x4*x4)+x1)*troot(x6)",0.078267421041682
"S2",11,"Feature1","troot(x4*x4)",0.995994333473632
"S2",11,"Feature2","troot((x4*x4)*x6)",0.738804282688921
"S2",11,"Feature3","troot(x4*x4)*x6",0.265201139044503
"S2",11,"Feature4","troot(x4)",0.00211393636322623
"S3",11,"Feature1","troot(x4*x4)*x9",1
"S3",11,"Feature2","troot(x4*x4)*x7",1
"S3",11,"Feature3","troot(x4*x4)",1
"S3",11,"Feature4","p3(x5*x5)",0.999999999958246
"S3",11,"Feature5","x8",0.844255916539081
"S3",11,"Feature6","x6",0.153558586765355
"S3",11,"Feature7","x9",0.142416335293698
"S3",11,"Feature8","x2",0.0186776040326424
"S4",11,"Feature1","troot(p3(troot(x4)))*troot(p3(troot(x4)))",1
"S4",11,"Feature2","(troot(p3(troot(x4)))*troot(p3(troot(x4))))*x6",1
"S4",11,"Feature3","x9",0.522262620242478
"S4",11,"Feature4","x5*x5",0.0432868546279249
"S5",11,"Feature1","x4",1
"S5",11,"Feature2","x4*x9",1
"S5",11,"Feature3","troot(x4)*troot(x4*x6)",1
"S5",11,"Feature4","x5",0.437443593033609
"S5",11,"Feature5","x9",0.072470689405901
"S5",11,"Feature6","sin_deg(x5)",0.00256994189349343
"S6",11,"Feature1","x4",1
"S6",11,"Feature2","p0(x4)*troot(x4*p0(x4))",1
"S6",11,"Feature3","p0(x4)*(x9*x4)",1
"S6",11,"Feature4","(p0(x4)*(x9*x4))*p0(x4)",1
"S6",11,"Feature5","((x9*x4)*x9)*x6",1
"S6",11,"Feature6","x7",0.999999999999593
"S6",11,"Feature7","x6",0.406429572424417
