"Experiment","Run","Number","Feature","Margs"
"S1",5,"Feature1","troot(x4*x4)*x9",1
"S1",5,"Feature2","p3(x5)",1
"S1",5,"Feature3","troot(x4*x4)*x7",1
"S1",5,"Feature4","troot(x4*x4)",1
"S1",5,"Feature5","x5",0.0892103817982401
"S1",5,"Feature6","troot(x4)",0.00453190417863416
"S2",5,"Feature1","troot(x4)*troot(x4*x9)",0.999999999999933
"S2",5,"Feature2","x7",0.999999999999752
"S2",5,"Feature3","p3(x5)",0.999999974077732
"S2",5,"Feature4","x6*(troot(x4)*troot(x4*x9))",0.999990768443694
"S2",5,"Feature5","x6",0.999990289792855
"S2",5,"Feature6","sigmoid(x6)",0.00531234441432743
"S3",5,"Feature1","(troot(x4)*troot(x4))*x7",1
"S3",5,"Feature2","troot(x4)*troot(x4)",1
"S3",5,"Feature3","x9*(troot(x4)*troot(x4))",1
"S3",5,"Feature4","p3(x5)*x8",0.999703956639251
"S3",5,"Feature5","x7",0.40953003293006
"S3",5,"Feature6","x9",0.266695886487324
"S3",5,"Feature7","x4",0.105779114132678
"S3",5,"Feature8","x5",0.0378525135682079
"S3",5,"Feature9","x9*x9",0.0046176578896735
"S4",5,"Feature1","troot(troot(x4))*(x9*p3(p0(x4)))",1
"S4",5,"Feature2","(x9*p3(p0(x4)))*x4",1
"S4",5,"Feature3","troot(x9*x4)",1
"S4",5,"Feature4","p3(p0(x4))*p3(p0(x4))",1
"S4",5,"Feature5","x4",1
"S4",5,"Feature6","x3*(((x9*p3(p0(x4)))*x4)*(x7*x7))",1
"S4",5,"Feature7","(x7*(x9*x4))*x7",1
"S4",5,"Feature8","((x3*x5)*x4)*(x3*x5)",0.999999999992183
"S4",5,"Feature9","x8",0.774947243158987
"S4",5,"Feature10","x9",0.0730723307907741
"S5",5,"Feature1","troot(x4*x4)",0.999952702937754
"S5",5,"Feature2","x5",0.947700853991352
"S5",5,"Feature3","sin_deg(x5)",0.9161952223396
"S5",5,"Feature4","troot(x4*x4)*x9",0.915969913972118
"S5",5,"Feature5","(troot(x4*x4)*x6)*sin_deg(x7)",0.915955266991035
"S5",5,"Feature6","x6",0.257395263815111
"S5",5,"Feature7","x9",0.170253466555655
"S5",5,"Feature8","troot(x4*x4)*x6",0.0840447353204746
"S6",5,"Feature1","troot(x4*x4)",1
"S6",5,"Feature2","x8",0.999999994576502
"S6",5,"Feature3","troot(x4*x4)*x9",0.99999950266702
"S6",5,"Feature4","(troot(x4*x4)*x9)*x7",0.99999950266702
"S6",5,"Feature5","p3(x5)",0.999999497243522
"S6",5,"Feature6","x5",0.0178690474639603
"S6",5,"Feature7","x3",0.0178689891972879
