"Experiment","Run","Number","Feature","Margs"
"S1",2,"Feature1","troot(x4*x4)",0.999999998773158
"S1",2,"Feature2","x4*x2",0.999965587202877
"S1",2,"Feature3","x9",0.0931964280787263
"S2",2,"Feature1","troot(x4*(x4*x6))",1
"S2",2,"Feature2","x6",0.110855941590489
"S2",2,"Feature3","x4",0.0888905248822398
"S3",2,"Feature1","x7*x4",0.999999999971895
"S3",2,"Feature2","troot(x4*x4)",0.99999996698722
"S3",2,"Feature3","x4",0.991088754329356
"S3",2,"Feature4","x6",0.205049441542097
"S3",2,"Feature5","x7",0.125982361254241
"S3",2,"Feature6","x3",0.0983881004147779
"S3",2,"Feature7","p3(x4)",0.0134681244650616
"S3",2,"Feature8","x4*x4",0.0134605120256196
"S4",2,"Feature1","x4",1
"S4",2,"Feature2","x4*x2",1
"S4",2,"Feature3","x4*x4",0.999999999665732
"S4",2,"Feature4","x10*x4",0.999999986074855
"S4",2,"Feature5","x2",0.350120577413435
"S4",2,"Feature6","x6",0.173861434893299
"S4",2,"Feature7","x3",0.0414968793069339
"S5",2,"Feature1","troot(x4*x4)",1
"S5",2,"Feature2","x4*x9",0.999999999974048
"S5",2,"Feature3","x4",0.999999996483664
"S6",2,"Feature1","x3*x4",0.999999999996793
"S6",2,"Feature2","troot(x4*x4)",0.999999999936993
"S6",2,"Feature3","x4",0.156089113378156
"S6",2,"Feature4","p0(x4)",0.00403672294751409
"S6",2,"Feature5","x6*x4",0.00217137850706902
