"Experiment","Run","Number","Feature","Margs"
"S1",7,"Feature1","troot(x4*x4)",1
"S1",7,"Feature2","x2*x4",0.999936870506794
"S1",7,"Feature3","x4",0.0846130252141455
"S2",7,"Feature1","troot(x4*x4)",1
"S2",7,"Feature2","x4",0.810191418693832
"S2",7,"Feature3","x8*x4",0.651550618888618
"S2",7,"Feature4","x4*x6",0.351382517641099
"S2",7,"Feature5","x10",0.138141854254466
"S2",7,"Feature6","x4*x4",0.0308164660176065
"S2",7,"Feature7","troot(x4)",0.026255768075936
"S2",7,"Feature8","p3(x6)",0.00158114949949115
"S3",7,"Feature1","troot(x4)*troot(x4)",1
"S3",7,"Feature2","x2*x4",0.981554084758602
"S3",7,"Feature3","x4",0.101549334011681
"S3",7,"Feature4","x7*x4",0.0184460191395042
"S3",7,"Feature5","x1",0.00143414270177192
"S4",7,"Feature1","troot(x4*x4)",1
"S4",7,"Feature2","x4*x3",0.999995111617585
"S4",7,"Feature3","x9",0.0944035780365331
"S5",7,"Feature1","x2*x4",1
"S5",7,"Feature2","troot(x4*x4)",1
"S5",7,"Feature3","x9",0.0942784878711932
"S5",7,"Feature4","x4",0.0853368225336831
"S5",7,"Feature5","x1",0.0719021073161077
"S6",7,"Feature1","troot(x4*x4)",1
"S6",7,"Feature2","x4*x3",0.976589415870892
"S6",7,"Feature3","x4",0.155630562439318
"S6",7,"Feature4","(x4*x3)*x9",0.0229409203433249
"S6",7,"Feature5","x6",0.00426018834162962
"S6",7,"Feature6","x10",0.00230864530320113
"S6",7,"Feature7","x3",0.0020857552110987
"S6",7,"Feature8","x8",0.00133535290619086
"S6",7,"Feature9","x1",0.00126656419215232
