"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"P1",1,TRUE,FALSE,FALSE,FALSE,4,0.588256364277781,0.485320455347227,NA,5,217.22,"troot((x6*x4)*x4)","x6*x4","x4*x8"
"P1",2,TRUE,FALSE,FALSE,FALSE,4,0.574413703827762,0.468017129784703,0.000841759289594913,5,239.335,"troot(x4)*troot(x4*x6)","x4","x4*x8"
"P2",1,FALSE,FALSE,FALSE,FALSE,10,0.381463904070323,0.381463904070323,4.10610627758286e+245,10,239.587,"x4","((x10*x4)*x4)*x8","troot(x4*x4)"
"P2",2,FALSE,TRUE,FALSE,FALSE,3,0.527919870260604,0.370559944528578,1.24412362026607e+92,4,257.868,"troot((x9*((x6*x7)*(x4*x4)))*x9)","troot((x4*x4)*x9)","x5"
"P3",1,FALSE,FALSE,FALSE,FALSE,5,0.642395435102817,0.642395435102817,0.00191577604997902,5,211.075,"troot(x4*x4)*x9","troot(x4*x4)","troot(x4*x4)*troot(x9*x7)"
"P3",2,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,1.14988719214442e+134,4,184.752,"troot(x4*x4)","(troot(x4)*x6)*troot(x4)","x9"
"P4",1,FALSE,FALSE,FALSE,FALSE,17,0.512664621487311,0.512664621487311,1.88692788853724e+187,17,217.424,"p0(x4)","x9","x5"
"P4",2,TRUE,FALSE,FALSE,FALSE,2,0.650677234323213,0.47601585148482,NA,3,250.082,"troot(x4*(x4*x6))","x4","(x6*x4)*p0(x6)"
"P5",1,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000825924122351269,3,221.864,"troot(x4*(x6*x4))","x4","x6*x4"
"P5",2,FALSE,FALSE,FALSE,FALSE,4,0.516812614245192,0.516812614245192,0.000974781570388735,4,201.905,"troot(x4*x4)","troot(x4*x4)*x6","x5"
"P6",1,FALSE,FALSE,FALSE,FALSE,11,0.618929915960499,0.618929915960499,0.104265881726592,11,253.814,"x4","x4*x4","(x4*x8)*(x4*x10)"
"P6",2,FALSE,FALSE,FALSE,FALSE,8,0.211815854732883,0.211815854732883,7.17903059959743e+237,8,201.831,"x3*(x4*x2)","troot(x4*x4)","((x4*x2)*x6)*(x4*x2)"
"Randomforest","1","NA","NA","NA","NA","NA","NA","NA",0.880432024100867,"NA","NA","NA","NA","NA"
