"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"P1",1,FALSE,TRUE,FALSE,FALSE,4,0.635460456755539,0.544325659080253,0.00184396957783962,5,257.284,"x5*x5","troot(x4*x4)*x7","troot(x9*(x4*x4))"
"P1",2,FALSE,FALSE,FALSE,FALSE,4,0.996429663598747,0.996429663598747,0.000788883343529995,4,179.892,"troot(x4*(x4*sin_deg(x6)))","troot(x4*x4)","x4"
"P1",3,FALSE,FALSE,FALSE,FALSE,4,0.48252037151739,0.48252037151739,0.000943044623336295,4,227.743,"troot(x4*x4)","(troot(x4)*troot(x4))*x6","x9"
"P1",5,FALSE,FALSE,FALSE,TRUE,10,0.723741315021185,0.696115554381271,0.0818582635512925,11,233.326,"x9*(x4*x7)","x9*x4","x4"
"P1",7,FALSE,FALSE,FALSE,FALSE,10,0.371986041259491,0.371986041259491,0.00180700999673925,10,183.517,"troot(x4*x4)*x9","troot(x4*x4)","x7*x4"
"P1",8,FALSE,FALSE,FALSE,FALSE,6,0.3043861372343,0.3043861372343,0.00122739987768598,6,183.908,"troot(x4*x4)","(troot(x4)*troot(x4*x9))*x6","x7"
"P1",9,TRUE,FALSE,FALSE,FALSE,3,0.727559147547627,0.636745530063503,0.000842499180634026,4,200.949,"x4","troot((x6*x4)*x4)","x6*x4"
"P1",10,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000918217218913474,4,197.895,"troot(x4*x4)","troot(x4*x4)*x6","x9"
"P1",11,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000850682452745794,3,206.407,"troot((x4*x6)*x4)","x4*x6","x4"
"P1",12,FALSE,FALSE,FALSE,FALSE,4,0.412120177547471,0.412120177547471,0.000920530472030014,4,198.665,"troot(x4*x4)","x6*troot(x4*x4)","x9"
"P1",13,FALSE,FALSE,FALSE,TRUE,7,0.597950642168282,0.540515173703704,0.00160254306960022,8,204.839,"x4","x9*x4","x7*x4"
"P1",14,FALSE,FALSE,FALSE,FALSE,8,0.5282373395647,0.5282373395647,0.00123063302846719,8,246.781,"((troot(x4)*sigmoid(x4))*troot(x4))*x6","(troot(x4)*sigmoid(troot(x4)))*troot(x4)","x6"
"P1","Mod111",FALSE,FALSE,FALSE,FALSE,9,0.640335093906281,0.640335093906281,0.00390690165724091,9,186.489,"x4","troot(x4*x4)","x7"
"P1",16,FALSE,FALSE,FALSE,FALSE,9,0.755648211080503,0.755648211080503,0.00521065907073403,9,223.54,"x4","(x9*p0(x4))*x4","p3(p0(x4))"
"P1",17,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000830918601483278,3,261.915,"x4","troot(x4*(x4*x6))","x4*x6"
"P1",19,FALSE,FALSE,FALSE,FALSE,7,0.258279153214485,0.258279153214485,0.00262076824811168,7,206.624,"troot(x4*x4)*x9","troot(x4*x4)","x1*troot(x4*x4)"
"P1",20,TRUE,FALSE,FALSE,FALSE,2,0.995239647353662,0.992859471030492,0.00083553675613854,3,238.277,"x4*x7","x4","troot((x4*(x6*x4)))"
"P1",21,TRUE,FALSE,FALSE,FALSE,2,0.651563742212784,0.477345613319177,0.00083336153476863,3,182.522999999999,"x4*x8","troot(x4*(x6*x4))","x4"
"P1",22,FALSE,FALSE,FALSE,FALSE,3,0.547637388260404,0.547637388260404,0.000970530935691666,3,190.843,"x6*troot(x4*x4)","troot(x4*x4)","x3"
"P1",24,TRUE,FALSE,FALSE,FALSE,5,0.477239878789861,0.372687854547833,0.00110926077742301,6,200.505,"troot((x4*x6)*x4)","x4","x6*x4"
"P1",25,FALSE,FALSE,FALSE,FALSE,6,0.266203902875064,0.266203902875064,0.00187129390619658,6,176.953,"x5","troot(x4*x4)","troot(x8*(x4*x4))*x6"
"P1",26,FALSE,FALSE,FALSE,FALSE,9,0.713060963430308,0.713060963430308,0.0485894611443039,9,164.27,"x4*x4","(x4*x4)*x3","troot(x4*x4)"
"P1",27,FALSE,FALSE,FALSE,FALSE,11,0.527288843335761,0.527288843335761,0.00316333923686519,11,202.119,"troot(x4)","troot(troot(p0(p3(x4))*x4)*((x6*x4)*x4))","p0(p3(x4))"
"P1",29,FALSE,FALSE,FALSE,FALSE,5,0.330578823830565,0.330578823830565,0.00372769248557837,5,250.821000000001,"x9*(x9*troot(1+((x6*x4)*(x6*x4))))","x9*troot(1+((x6*x4)*(x6*x4)))","x9"
"P1",30,FALSE,FALSE,FALSE,FALSE,6,0.476717049005939,0.476717049005939,0.00151173533591481,6,291.118,"troot(x4*x4)","x9*troot(x4*x4)","x7*troot(x4*x4)"
"P1",31,FALSE,FALSE,FALSE,FALSE,3,0.645113672185694,0.645113672185694,0.00098641720086797,3,242.007,"troot(x4*x4)","(troot(x4)*troot(x4))*x6","x7"
"P1","Mod222",TRUE,FALSE,FALSE,FALSE,4,0.583161027119836,0.478951283899795,0.000872667338071443,5,191.886,"troot((x6*x4)*x4)","x4","x6*x4"
"P1","Mod2",TRUE,FALSE,FALSE,FALSE,4,0.574413703827762,0.468017129784703,0.000841759289594913,5,239.335,"troot(x4)*troot(x4*x6)","x4","x4*x8"
"P1",34,FALSE,FALSE,FALSE,FALSE,5,0.380184144022939,0.380184144022939,0.00350027120554858,5,176.582,"x9*troot(x4*x4)","x9","x4*x1"
