"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"_deprecated_195_auto_price",159,16,"S1",1,0.937123058467863,0.0520014684334538,0.0860425903931508,142.233546070653,0.858989375861005,5,406.503999999999,"x5*x7","x12","x12",0.999225330067377,0.647018331986732,0.493947148548358
"_deprecated_207_autoPrice",159,16,"S1",1,0.937123058467863,0.0520014684334538,0.0860425903931508,142.233546070653,0.858989375861005,5,418.437,"x5*x7","x12","x12",0.999225330067377,0.647018331986732,0.493947148548358
"1027_ESL",488,5,"S1",1,0.924787600628764,0.0533543743650939,0.0663811615158153,464.753264580925,0.852450551485387,8,777.651,"x3","x4","troot(x1)",1,1,0.996495877017449
"1028_SWD",1000,11,"S1",1,0.634301137436899,0.168275562387353,0.21271480342337,84.8517466728733,0.401134870060311,8,1073.739,"troot(x3)","x5","x9",1,0.999999936777392,0.999998847639589
"1029_LEV",1000,5,"S1",1,0.70834133115534,0.127694645167823,0.167557534341221,324.166330302821,0.496682968851231,4,1218.459,"x1","x2","x3",1,1,1
"1030_ERA",1000,5,"S1",1,0.629120667324608,0.151347980836655,0.191480905175774,138.529464582462,0.39360715389432,4,665.321,"x1","x2","x3",1,1,0.999999999600883
"1089_USCrime",47,14,"S1",1,0.872738441523979,0.120055749916042,0.148704833599074,33.306483808544,0.706793258923452,6,394.823,"x4","x1","x13",0.971111505716385,0.920312602460218,0.789202118632067
"1096_FacultySalaries",50,5,"S1",1,0.949236040061773,0.0894278216580604,0.11125853491722,40.2482900825505,0.799193270268283,4,322.284,"x4","x2","x3",0.941212730894918,0.563762459236251,0.315523720293322
"192_vineyard",52,3,"S1",1,0.872332623265954,0.107218564999898,0.163596023491011,26.2036739732768,0.575194051659003,2,335.198,"x1","x2","NA",0.994075073695395,0.241982927151306,"NA"
"197_cpu_act",8192,22,"S1",1,0.990733535698137,0.019141734095257,0.0262928519588231,13668.051740809,0.981539696225707,33,14857.821,"x1","p0(cos_deg(p0(x21)))","sin_deg(x20)",1,1,1
"210_cloud",108,6,"S1",1,0.970139122621034,0.040227873171064,0.0506073628958038,97.8016616566438,0.922499639153822,5,406.731999999996,"x4","x3","x5",1,0.999999999996436,0.838014203027718
"225_puma8NH",8192,9,"S1",1,0.809582585672022,0.105885686972797,0.137131561646024,3651.30542651963,0.654835748918455,10,9800.146,"x3*x2","p0(1+x3)","(x2*x3)*x3",1,1,1
"227_cpu_small",8192,13,"S1",1,0.985650769169065,0.0241123416537267,0.0326855392463192,12213.1849708694,0.971471774432748,19,13288.941,"x1","troot(x6)*x12","sin_deg(troot(x12))",1,1,1
"228_elusage",55,3,"S1",1,0.946465180982086,0.082039278289968,0.11593676684882,26.6386355342164,0.874233121864461,5,387.328000000009,"x1","x1","x1",0.571561359440431,0.571561359440431,0.571321102989123
"229_pwLinear",200,11,"S1",1,0.942062614934934,0.0552242838889554,0.0742521281163582,174.276605491043,0.878837919827058,15,743.323000000004,"x6*x1","x5","x1*x2",1,1,0.999999999995864
