"Experiment","Run","Number","Feature","Margs"
"S1",7,"Feature1","x7*x5",0.912432732557748
"S1",7,"Feature2","x12",0.773235849118447
"S1",7,"Feature3","x5",0.511652780591155
"S1",7,"Feature4","x5",0.474556339246872
"S1",7,"Feature5","x5",0.466027843724173
"S1",7,"Feature6","x14",0.381497158163369
"S1",7,"Feature7","x14",0.256979641625077
"S1",7,"Feature8","x7*x5",0.0884453541520519
"S1",7,"Feature9","x1",0.0459244101626705
"S1",7,"Feature10","x10",0.0198879294803152
"S1",7,"Feature1","x7*x5",0.912432732557748
"S1",7,"Feature2","x12",0.773235849118447
"S1",7,"Feature3","x5",0.511652780591155
"S1",7,"Feature4","x5",0.474556339246872
"S1",7,"Feature5","x5",0.466027843724173
"S1",7,"Feature6","x14",0.381497158163369
"S1",7,"Feature7","x14",0.256979641625077
"S1",7,"Feature8","x7*x5",0.0884453541520519
"S1",7,"Feature9","x1",0.0459244101626705
"S1",7,"Feature10","x10",0.0198879294803152
"S1",7,"Feature1","x3",1
"S1",7,"Feature2","x2",0.999999999999956
"S1",7,"Feature3","p0(x1)",0.949832865526701
"S1",7,"Feature4","x4",0.666666666741791
"S1",7,"Feature5","x4",0.666666666629094
"S1",7,"Feature6","x1",0.666666516146702
"S1",7,"Feature7","x1",0.666666515921334
"S1",7,"Feature1","x3",0.999999999999996
"S1",7,"Feature2","x9",0.99997145144569
"S1",7,"Feature3","x8",0.999820050808688
"S1",7,"Feature4","x10",0.980258674854362
"S1",7,"Feature5","x7",0.817084787674866
"S1",7,"Feature6","x5",0.705160943182199
"S1",7,"Feature7","x2",0.546881054077621
"S1",7,"Feature8","x2",0.505485420050618
"S1",7,"Feature9","x5",0.483163533736545
"S1",7,"Feature10","x5",0.443178423145464
"S1",7,"Feature11","x7",0.376659453291917
"S1",7,"Feature12","p0(x2)",0.187657432709101
"S1",7,"Feature13","x10*x10",0.0205842848477543
"S1",7,"Feature1","x1",1
"S1",7,"Feature2","x4",0.999999393642011
"S1",7,"Feature3","x2",0.99980663187113
"S1",7,"Feature4","x3",0.99954459793831
"S1",7,"Feature5","x2",0.500096695962505
"S1",7,"Feature1","x2",1
"S1",7,"Feature2","x1",0.999914184402839
"S1",7,"Feature3","x3",0.989673912171669
"S1",7,"Feature4","x4",0.979668531502164
"S1",7,"Feature5","x3",0.500940520166773
"S1",7,"Feature6","x3*x4",0.0217935321122601
"S1",7,"Feature1","x13",0.995757294396031
"S1",7,"Feature2","x4",0.956910806947859
"S1",7,"Feature3","x3",0.726293157920593
"S1",7,"Feature4","x7",0.692260735663162
"S1",7,"Feature5","x1",0.572165832166909
"S1",7,"Feature6","x1",0.501926181993866
"S1",7,"Feature7","x1",0.460683846092476
"S1",7,"Feature8","x13",0.205076482660105
"S1",7,"Feature9","x10",0.0502656054452382
"S1",7,"Feature10","sigmoid(x1)",0.0074936313401757
"S1",7,"Feature11","sigmoid(x13)",0.00411967051799135
"S1",7,"Feature12","cos_deg(x13)",0.00280175338970329
"S1",7,"Feature13","x7*x7",0.00218031572772661
"S1",7,"Feature14","sigmoid(x13)",0.00136827380436241
"S1",7,"Feature1","x4",0.672376609175692
"S1",7,"Feature2","x4",0.622717192957809
"S1",7,"Feature3","x3",0.555574254810453
"S1",7,"Feature4","x2",0.536957318210602
"S1",7,"Feature5","x2",0.534560460197079
"S1",7,"Feature6","x3",0.460405223547466
"S1",7,"Feature7","x4*x2",0.047252472004083
"S1",7,"Feature1","p0(x1)",0.573946197747148
"S1",7,"Feature2","x1",0.442498748087972
"S1",7,"Feature3","x1",0.442498748087972
"S1",7,"Feature4","x1",0.442498748087972
"S1",7,"Feature5","sigmoid(x1)",0.0324560335423818
"S1",7,"Feature1","x21*x18",1
"S1",7,"Feature2","x10",1
"S1",7,"Feature3","x5",1
"S1",7,"Feature4","sin_deg(x5)",1
"S1",7,"Feature5","(x21*troot(x16))*x21",1
"S1",7,"Feature6","sigmoid(troot(x21))",1
"S1",7,"Feature7","x18",1
"S1",7,"Feature8","x16",1
"S1",7,"Feature9","sin_deg(x21)*x17",1
"S1",7,"Feature10","cos_deg(x1*sigmoid(x16))",1
"S1",7,"Feature11","troot(p0(x20))",1
"S1",7,"Feature12","x8",1
"S1",7,"Feature13","x20",1
"S1",7,"Feature14","sigmoid(p0(x9))",1
"S1",7,"Feature15","x18*p0(x21)",1
"S1",7,"Feature16","x12*x21",1
"S1",7,"Feature17","cos_deg(x21)*x7",1
"S1",7,"Feature18","x17",1
"S1",7,"Feature19","x2",1
"S1",7,"Feature20","x3",1
"S1",7,"Feature21","troot(x21)",0.999999999916571
"S1",7,"Feature22","p0(sigmoid(x21))",0.999999697517654
"S1",7,"Feature23","x21",0.990395879336663
"S1",7,"Feature24","x17",0.971188051515684
"S1",7,"Feature25","x18",0.0288125273343011
"S1",7,"Feature26","x21",0.0288125271517602
"S1",7,"Feature27","x19",0.0288123680547823
"S1",7,"Feature28","sin_deg(x2)",0.0288123624173019
"S1",7,"Feature29","x21",0.00960483731026574
"S1",7,"Feature1","x4",1
"S1",7,"Feature2","x3",0.999999999995137
"S1",7,"Feature3","x5",0.978198895026036
"S1",7,"Feature4","x1",0.206022371671956
"S1",7,"Feature5","x2",0.100878195297618
"S1",7,"Feature1","sigmoid(x2*x3)",1
"S1",7,"Feature2","troot(sin_deg(x2))",1
"S1",7,"Feature3","x3",1
"S1",7,"Feature4","x2*x3",1
"S1",7,"Feature5","cos_deg(x3*(x2*x3))",1
"S1",7,"Feature6","cos_deg(x3*(x2*x3))*troot(sin_deg(x2))",0.999999999969699
"S1",7,"Feature7","cos_deg(x3)",0.999838434734202
"S1",7,"Feature8","x2",0.0127919211884835
"S1",7,"Feature1","x3",1
"S1",7,"Feature2","x6",1
"S1",7,"Feature3","x3*x7",1
"S1",7,"Feature4","sin_deg((p0(x12)*x7)*(x5*x6))",1
"S1",7,"Feature5","x8",1
"S1",7,"Feature6","troot(x9)",1
"S1",7,"Feature7","p0(x12)",1
"S1",7,"Feature8","x12",1
"S1",7,"Feature9","cos_deg(sigmoid(x8))",1
"S1",7,"Feature10","x11*x11",0.999999999968368
"S1",7,"Feature11","sin_deg(1+(x3*x7))",0.999999999157107
"S1",7,"Feature12","cos_deg(x5)",0.999937003955323
"S1",7,"Feature13","x1",0.999915032391379
"S1",7,"Feature14","x5",0.986609523989385
"S1",7,"Feature15","x5*x12",0.953136176333993
"S1",7,"Feature16","x11",0.6756098968938
"S1",7,"Feature17","x11",0.662248346522522
"S1",7,"Feature18","x5",0.503361644575626
"S1",7,"Feature1","cos_deg(x1)",0.742418373338441
"S1",7,"Feature2","x1",0.661971168703981
"S1",7,"Feature3","x1",0.661971168703981
"S1",7,"Feature4","x1",0.556335107879638
"S1",7,"Feature5","x1*x1",0.214223266883896
"S1",7,"Feature1","x2",1
"S1",7,"Feature2","x3*x1",0.999999999999757
"S1",7,"Feature3","x1",0.999999999976779
"S1",7,"Feature4","x7",0.999998869740805
"S1",7,"Feature5","x5*x1",0.994772571025488
"S1",7,"Feature6","x3",0.874414794919464
"S1",7,"Feature7","x5",0.786870186216355
"S1",7,"Feature8","x6*x1",0.632880987231453
"S1",7,"Feature9","x5",0.625312099760346
"S1",7,"Feature10","x2*x1",0.578468642899656
"S1",7,"Feature11","x3",0.459518155252716
"S1",7,"Feature12","x2*x1",0.422081875323574
"S1",7,"Feature13","x1*x6",0.368703007845842
"S1",7,"Feature14","x3",0.328450146259155
"S1",7,"Feature15","x6",0.0566953057020061
"S1",7,"Feature16","x6",0.0362202014367834
"S1",7,"Feature17","(x5*x1)*x1",0.00493368700189044
"S1",7,"Feature1","x6*x3",0.999973699469205
"S1",7,"Feature2","x3*x2",0.99072321056656
"S1",7,"Feature3","x4",0.716606081963638
"S1",7,"Feature4","x2",0.713488080505005
"S1",7,"Feature5","x4",0.689334786737792
"S1",7,"Feature6","x2",0.66950224752771
"S1",7,"Feature7","sin_deg(x4)",0.136162199323708
"S1",7,"Feature8","x3",0.112138332067566
"S1",7,"Feature9","x6*x2",0.00541874728686314
"S1",7,"Feature1","x9",1
"S1",7,"Feature2","sin_deg(sin_deg(x11*x26))",1
