"Experiment","Run","Number","Feature","Margs"
"S1",20,"Feature1","x10*x11",1
"S1",20,"Feature2","sigmoid(x1+p0(x13*(x11*(x5*x6))))*x5",1
"S1",20,"Feature3","troot(x6)",1
"S1",20,"Feature4","x13*x10",1
"S1",20,"Feature5","p3(x4*(x5*x6))",1
"S1",20,"Feature6","x6*x9",1
"S1",20,"Feature7","x5",1
"S1",20,"Feature8","x11*x6",1
"S1",20,"Feature9","p3(x1*x4)*x7",1
"S1",20,"Feature10","x12",1
"S1",20,"Feature11","(x13*x10)*(x10*x11)",1
"S1",20,"Feature12","exp_dbl(exp_dbl(p0(x13*x11)))",1
"S1",20,"Feature13","x4",0.999999999999999
"S1",20,"Feature14","x7*x12",0.999999999999998
"S1",20,"Feature15","troot(x1)",0.999999999999993
"S1",20,"Feature16","x7",0.999999999426338
"S1",20,"Feature17","x8",0.999999999364901
"S1",20,"Feature18","x1",0.998103421166781
"S1",20,"Feature19","troot(exp_dbl(troot(x10)))",0.992739257443928
"S1",20,"Feature20","x13",0.985399273251014
"S1",20,"Feature21","troot(x9)",0.919968431711959
"S1",20,"Feature22","x9",0.905465052786621
"S1",20,"Feature23","x9",0.852136173791779
"S1",20,"Feature24","x6",0.845961917613041
"S1",20,"Feature25","x9",0.817015598706935
"S1",20,"Feature26","x6",0.52532263413834
"S1",20,"Feature27","x8*(x6*x9)",0.16608025364542
"S1",20,"Feature28","x13",0.149340961114983
"S1",20,"Feature29","sigmoid(x9)",0.0800084831240702
"S1",20,"Feature30","x1*x9",0.0393771653129705
"S1",20,"Feature31","exp_dbl(troot(exp_dbl(troot(x10))))",0.00726074255616305
"S2",20,"Feature1","x1*x5",1
"S2",20,"Feature2","sigmoid(exp_dbl(x6))",1
"S2",20,"Feature3","troot(x3*troot(x9))",1
"S2",20,"Feature4","p3(x6)",1
"S2",20,"Feature5","x7*((x12*x7)*(troot(exp_dbl(x8*x13))*troot(x6)))",1
"S2",20,"Feature6","x12*(x3*(x13*x10))",1
"S2",20,"Feature7","(x10*x6)*(x6*troot(x6))",1
"S2",20,"Feature8","x10*x6",0.999999999999999
"S2",20,"Feature9","p0(x3*troot(x6*x8))",0.999999999999997
"S2",20,"Feature10","exp_dbl(p0(x13))",0.999999998918196
"S2",20,"Feature11","p0(x10)",0.999999997582343
"S2",20,"Feature12","x1*x1",0.999999997029843
"S2",20,"Feature13","x6*x7",0.999999988925243
"S2",20,"Feature14","p3(x1)",0.999997177201267
"S2",20,"Feature15","x8",0.999958657168684
"S2",20,"Feature16","x12*x10",0.999957694838099
"S2",20,"Feature17","x11*x6",0.999623814689596
"S2",20,"Feature18","x10",0.991480404321104
"S2",20,"Feature19","x11",0.986031074540354
"S2",20,"Feature20","x10",0.877799688322552
"S2",20,"Feature21","x6",0.815946492848005
"S2",20,"Feature22","x7",0.80283460498823
"S2",20,"Feature23","x1",0.789922270642438
"S2",20,"Feature24","x7",0.642429435601275
"S2",20,"Feature25","x6",0.576069677845404
"S2",20,"Feature26","x1",0.533287628025237
"S2",20,"Feature27","x6",0.522691874982772
"S2",20,"Feature28","x7",0.37598744784639
"S2",20,"Feature29","x9",0.246782761930028
"S2",20,"Feature30","p3(x7)*(x12*x10)",0.0620773669612278
"S2",20,"Feature31","x12",0.0249263559128746
"S2",20,"Feature32","x12*x7",0.0245135712279548
"S3",20,"Feature1","x13*x12",1
"S3",20,"Feature2","x8*x11",1
"S3",20,"Feature3","sigmoid(x8+x8)*(exp_dbl(x13)*(x13*x13))",1
"S3",20,"Feature4","troot(x10)",1
"S3",20,"Feature5","p0(x13)",1
"S3",20,"Feature6","p3(x13)",1
"S3",20,"Feature7","x11*(exp_dbl(x13)*(x13*x13))",1
"S3",20,"Feature8","x7",1
"S3",20,"Feature9","exp_dbl(x13)*(x13*x13)",1
"S3",20,"Feature10","troot(x6)*x10",1
"S3",20,"Feature11","(x10*(x13*(x10*x5)))*x10",1
"S3",20,"Feature12","x1",1
