"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",1,0.8458491808922,3.22142444672474,6.8723822076566,-1228.15487572683,0.533841007582316,27,5515.034,"(x13*x5)*x10","x11*((x13*x6)*x6)","troot(x8)",1,1,1
"S2",1,0.813141821439623,3.49110675940061,7.37359791055479,-1272.8219332513,0.463365784458766,19,5063.451,"p0(x1)","x6*((x11*(x6*(x1*(x7*exp_dbl(x13)))))*x7)","p0(x6)*(x6*p0(x10))",1,1,1
"S3",1,-0.32812276227447,59.9206393607042,462.177717883997,-1255.7195085244,-2107.32454307336,20,5571.285,"x6*x6","sigmoid(sigmoid(x13*x8))","sigmoid(troot(x10))",1,1,1
"S4",1,0.914981405993245,2.50242418633971,4.06717356472456,-1329.30142870747,0.836730572834377,20,4747.546,"p3(x1)","(x13*x13)*x11","exp_dbl(p0(1+x10))*x13",1,1,1
"S5",1,0.894242276155744,2.76078777060728,4.69539864998773,-1284.68566352693,0.782397240603573,20,4556.77,"p3(x6*(x6*troot(x10)))","(x7*x11)*x12","p0(x6)",1,1,1
"S6",1,0.8227093913857,3.49004271613483,7.15287730496813,-1270.60361138596,0.495012058409075,20,4245.453,"p3(x6)*x12","x9","(p3(p3(x6))*x12)*troot(x10)",1,1,1
"S1",2,0.905021964358513,2.8543387802346,4.28941103056928,-1363.58277617372,0.818400442753281,24,4771.028,"x10*troot(x8)","x12*p0(x13)","(x9*(p0(x13)*x10))*(x9*x10)",1,1,1
"S2",2,0.894032609351448,2.63391111312497,4.51422704531523,-1258.94560732405,0.798865646685514,23,4734.467,"(x5*troot(troot(x3)*(x13*x3)))*x7","troot((x6*exp_dbl(x13))*p3(x9))*x5","p3(p3(x6))*x9",1,1,1
"S3",2,0.87515298425214,2.92985424649827,5.1503215699417,-1230.18452421674,0.738188843836942,22,5495.561,"x7*exp_dbl(troot(exp_dbl(x8*x13)))","x6*x12","x9",1,1,1
"S4",2,0.923930601003195,2.45782031817958,3.86736829371201,-1276.52754526428,0.852378191488336,26,4991.752,"p0(x6*p0(troot(troot(x8*x13))))*troot(x9)","x5*((x5*(x13*x10))*x8)","troot(x11*x9)*(((x10*(sigmoid(exp_dbl(1+x6))*x6))*x7)*x11)",1,1,1
"S5",2,0.853836778450883,3.07600635416621,5.6777507383419,-1330.84040040762,0.68182056840217,27,4988.25,"(p3(x6*x6)*x13)*troot(x1*x3)","p0(sigmoid(p0(x10)))","p3(x6*x6)*x11",1,1,1
