"Experiment","Run","Number","Feature","Margs"
"S1",27,"Feature1","x6*x10",1
"S1",27,"Feature2","exp_dbl(x13)*x1",0.999999999999973
"S1",27,"Feature3","x1",0.999999783615886
"S1",27,"Feature4","x8",0.999996434147777
"S1",27,"Feature5","x13*(x6*x10)",0.99988917005631
"S1",27,"Feature6","x9",0.999299687999131
"S1",27,"Feature7","x12",0.993133807784487
"S1",27,"Feature8","x11",0.988757454423744
"S1",27,"Feature9","exp_dbl(x13)",0.98474558851559
"S1",27,"Feature10","x7",0.913713138908103
"S1",27,"Feature11","x13",0.892595234526075
"S1",27,"Feature12","x13",0.850986156076403
"S1",27,"Feature13","x5",0.827052367444266
"S1",27,"Feature14","x6",0.768080060753006
"S1",27,"Feature15","x6",0.71165408106754
"S1",27,"Feature16","x10",0.704514842560893
"S1",27,"Feature17","x7",0.635934948402269
"S1",27,"Feature18","x10",0.479721890319755
"S1",27,"Feature19","x7",0.45307784666246
"S1",27,"Feature20","x11",0.435849291542288
"S1",27,"Feature21","x13",0.378402825851842
"S1",27,"Feature22","x5",0.377566885121622
"S1",27,"Feature23","x10",0.355013747969102
"S1",27,"Feature24","x13",0.287686658126121
"S1",27,"Feature25","x10",0.212062676746108
"S1",27,"Feature26","x13",0.145594065576255
"S1",27,"Feature27","x4",0.00459509602616232
"S2",27,"Feature1","x1",1
"S2",27,"Feature2","x6*x10",1
"S2",27,"Feature3","x6*x6",1
"S2",27,"Feature4","sigmoid(x13)*x1",0.999999999999995
"S2",27,"Feature5","x11",0.999999999999542
"S2",27,"Feature6","x10*x13",0.999474442039733
"S2",27,"Feature7","x9",0.988490912324013
"S2",27,"Feature8","x10",0.85336191052477
"S2",27,"Feature9","x7",0.80257062454837
"S2",27,"Feature10","x12",0.609176880313402
"S2",27,"Feature11","x10",0.42683615865527
"S2",27,"Feature12","x10",0.389970779979009
"S2",27,"Feature13","x12",0.371368206798039
"S2",27,"Feature14","exp_dbl(x13)",0.365253393566912
"S2",27,"Feature15","x10",0.286658260021266
"S2",27,"Feature16","x13",0.109455246708717
"S2",27,"Feature17","x10",0.085823136772596
"S2",27,"Feature18","x13",0.0837142496597741
"S2",27,"Feature19","x11",0.014731397305008
"S3",27,"Feature1","x6*p0(x13)",0.999999999976914
"S3",27,"Feature2","x6",0.999999999810934
"S3",27,"Feature3","x10",0.999999999765597
"S3",27,"Feature4","x6*x10",0.999998658186866
"S3",27,"Feature5","x11",0.999978335347901
"S3",27,"Feature6","exp_dbl(x13)*x1",0.999963631648318
"S3",27,"Feature7","x8",0.995104554981995
"S3",27,"Feature8","x5",0.872404123378071
"S3",27,"Feature9","x1",0.861997767020022
"S3",27,"Feature10","x12",0.794344837680592
"S3",27,"Feature11","x13*x1",0.678523794315501
"S3",27,"Feature12","x9",0.525298475460763
"S3",27,"Feature13","x5",0.468412298829885
"S3",27,"Feature14","x5",0.43425902550736
"S3",27,"Feature15","x11",0.121157455421028
"S3",27,"Feature16","p0(x6)",0.056369355789075
"S3",27,"Feature17","p0(x9)",0.0284766625235451
"S3",27,"Feature18","x11*p0(x6)",0.0170983891672457
"S3",27,"Feature19","p3(x6)",0.0125945630958859
"S3",27,"Feature20","x4",0.00695303564875328
"S3",27,"Feature21","x3",0.00695209949294772
"S3",27,"Feature22","exp_dbl(x8)",0.00146516538300365
"S4",27,"Feature1","p0(x13)*x10",1
"S4",27,"Feature2","x6*x10",1
"S4",27,"Feature3","x13",0.999999998692818
"S4",27,"Feature4","x9",0.99999930651626
"S4",27,"Feature5","x8",0.982281326317862
"S4",27,"Feature6","x10",0.969293643514364
"S4",27,"Feature7","x5",0.941246487520625
"S4",27,"Feature8","x1",0.936622791358229
"S4",27,"Feature9","x6",0.923633030576115
"S4",27,"Feature10","x11",0.805619645271852
"S4",27,"Feature11","x1",0.773651619128981
"S4",27,"Feature12","x12",0.722084061631501
"S4",27,"Feature13","x11",0.672644390537506
"S4",27,"Feature14","x6",0.521145227723777
"S4",27,"Feature15","x5",0.302016694770605
"S4",27,"Feature16","x8",0.295103174514877
"S4",27,"Feature17","x10",0.281756670938869
"S4",27,"Feature18","x7",0.0373008809528238
"S4",27,"Feature19","x3",0.0048692697288133
"S4",27,"Feature20","x4",0.00484623320591772
"S5",27,"Feature1","exp_dbl(x13)*x1",0.999999999940626
"S5",27,"Feature2","x1",0.999999442487741
"S5",27,"Feature3","x6*x6",0.999999023157355
"S5",27,"Feature4","troot(x13)*x10",0.999995856852162
"S5",27,"Feature5","x5",0.9938207082101
"S5",27,"Feature6","x7",0.991973695025852
"S5",27,"Feature7","x9",0.987076805280079
"S5",27,"Feature8","x6*x10",0.963809585378515
"S5",27,"Feature9","x12",0.930918991497672
"S5",27,"Feature10","x11",0.785137833171743
"S5",27,"Feature11","x10",0.76921132658754
"S5",27,"Feature12","x8",0.632296344536558
"S5",27,"Feature13","x8",0.488389450616676
"S5",27,"Feature14","x10",0.453456066731238
"S5",27,"Feature15","x11",0.417575104546205
"S5",27,"Feature16","x13",0.335206065321718
"S5",27,"Feature17","x9",0.135381635479509
"S5",27,"Feature18","x1*x1",0.0420925340787254
"S5",27,"Feature19","x6",0.0372475071863173
"S5",27,"Feature20","(x6*x10)*(x6*x6)",0.0362097106063001
"S5",27,"Feature21","x3",0.00804157971353561
"S5",27,"Feature22","p0(x9)",0.00105110472658681
"S6",27,"Feature1","x10*p0(x13*x10)",1
"S6",27,"Feature2","x10",1
"S6",27,"Feature3","p3(x6)",1
"S6",27,"Feature4","p0(x10)",0.99999999995309
"S6",27,"Feature5","x11",0.999999955698026
"S6",27,"Feature6","p3(x6)*x10",0.999999584772613
"S6",27,"Feature7","x13",0.999998645972209
"S6",27,"Feature8","x1",0.999955723569061
"S6",27,"Feature9","x8",0.998993253386676
"S6",27,"Feature10","x7",0.786360356274388
"S6",27,"Feature11","x12",0.773195426745737
