"Experiment","Run","Number","Feature","Margs"
"P1",10,"Feature1","x6*x9",1
"P1",10,"Feature2","x9*troot(sigmoid(x13))",0.999999968664331
"P1",10,"Feature3","x13*x10",0.999997249003029
"P1",10,"Feature4","x1",0.9999960270045
"P1",10,"Feature5","p3(x6)",0.999450958056698
"P1",10,"Feature6","x11",0.798424947104039
"P1",10,"Feature7","x9",0.76415680532436
"P1",10,"Feature8","x8",0.482253356356296
"P1",10,"Feature9","x8",0.471997953565796
"P1",10,"Feature10","x9",0.471688758758919
"P1",10,"Feature11","x11",0.403976088090084
"P1",10,"Feature12","x6",0.00561280472327251
"P1",10,"Feature13","x10",0.00501060934282686
"P1",10,"Feature14","x4",0.00353434952355759
"P2",10,"Feature1","p0(x13)*x10",1
"P2",10,"Feature2","x9",0.999999969762421
"P2",10,"Feature3","p0(x6)",0.999999900785387
"P2",10,"Feature4","x13",0.999998956958379
"P2",10,"Feature5","x8",0.998245815403071
"P2",10,"Feature6","x10",0.997527202679111
"P2",10,"Feature7","(x6*x10)*x6",0.993222520343769
"P2",10,"Feature8","x5",0.992606771895195
"P2",10,"Feature9","x6",0.989728248109187
"P2",10,"Feature10","x12",0.989550719354891
"P2",10,"Feature11","x1",0.987516171689138
"P2",10,"Feature12","x11",0.986191725350872
"P2",10,"Feature13","x8",0.962330745131526
"P2",10,"Feature14","x12",0.959075339694248
"P2",10,"Feature15","x6*x10",0.956801300589731
"P2",10,"Feature16","x11",0.316477126764524
"P2",10,"Feature17","x6",0.287801514652736
"P2",10,"Feature18","x10",0.23563977651911
"P2",10,"Feature19","x7",0.200271493248745
"P2",10,"Feature20","x2",0.0151679602057732
"P2",10,"Feature21","x5*x1",0.0126427963464089
"P3",10,"Feature1","troot((x10*x13)*x13)",1
"P3",10,"Feature2","x11",0.999999999999992
"P3",10,"Feature3","x10",0.999999999961144
"P3",10,"Feature4","x13",0.999999070466181
"P3",10,"Feature5","p3(x6)*x10",0.999998813892334
"P3",10,"Feature6","x1",0.999997475184354
"P3",10,"Feature7","x5",0.999944005833421
"P3",10,"Feature8","x12",0.945047380135099
"P3",10,"Feature9","x9",0.867421064568727
"P3",10,"Feature10","x8",0.789995347601017
"P3",10,"Feature11","x8",0.734976660558909
"P3",10,"Feature12","x13",0.684739753489418
"P3",10,"Feature13","x5",0.580005099687829
"P3",10,"Feature14","p3(x6)",0.524974085758253
"P3",10,"Feature15","p3(x6)",0.475026849932607
"P3",10,"Feature16","x9",0.474914039518913
"P3",10,"Feature17","x9",0.105037106772473
"P4",10,"Feature1","sigmoid(x13)*x1",1
"P4",10,"Feature2","x6",1
"P4",10,"Feature3","x13",1
"P4",10,"Feature4","x13*x6",0.999999999999999
"P4",10,"Feature5","x6*x9",0.999999999999673
"P4",10,"Feature6","x13*x9",0.999999999999672
"P4",10,"Feature7","x1",0.999999992816451
"P4",10,"Feature8","x11",0.999999990957673
"P4",10,"Feature9","x8",0.882046876763097
"P4",10,"Feature10","x7",0.874332109698509
"P4",10,"Feature11","x10",0.806086516030965
"P4",10,"Feature12","x5",0.775649378475668
"P4",10,"Feature13","x8",0.741449068576755
"P4",10,"Feature14","x9",0.71081635862498
"P4",10,"Feature15","x10",0.642767461534682
"P4",10,"Feature16","x9",0.579953526216369
"P4",10,"Feature17","x9",0.380807386746635
"P4",10,"Feature18","x7",0.341371313401831
"P4",10,"Feature19","x12",0.181463687149826
"P4",10,"Feature20","x9",0.0986821670758374
"P5",10,"Feature1","x6",0.999999999484952
"P5",10,"Feature2","p0(x6)",0.999983841468111
"P5",10,"Feature3","x11",0.999980091276438
"P5",10,"Feature4","x8",0.998640202352098
"P5",10,"Feature5","x13*x13",0.99821785369832
"P5",10,"Feature6","x13",0.99205968506445
"P5",10,"Feature7","x1",0.983806962443877
"P5",10,"Feature8","x5",0.976830466554029
"P5",10,"Feature9","x9",0.953796613312517
"P5",10,"Feature10","x9*x6",0.953795581099466
"P5",10,"Feature11","p0(x6)*(x9*x6)",0.947626262248852
"P5",10,"Feature12","x12",0.866559617800162
"P5",10,"Feature13","x10",0.491279297621509
"P5",10,"Feature14","x13*x5",0.4667378712705
"P5",10,"Feature15","x6*x11",0.0461767811843497
"P5",10,"Feature16","x8*x1",0.0174428939496181
"P5",10,"Feature17","x9",0.00877266457866743
"P6",10,"Feature1","x1*exp_dbl(x13)",1
"P6",10,"Feature2","x10",1
"P6",10,"Feature3","x6*x10",1
"P6",10,"Feature4","x13",1
"P6",10,"Feature5","x1",0.999979622298089
"P6",10,"Feature6","p3(x6)",0.999840242334429
"P6",10,"Feature7","x5",0.903536833374446
"P6",10,"Feature8","x8",0.893036202226622
"P6",10,"Feature9","x11",0.530192096970109
"P6",10,"Feature10","x11",0.482195805586958
"P6",10,"Feature11","x12",0.410962930917086
"P6",10,"Feature12","x12",0.294351673815341
"P6",10,"Feature13","x6",0.257989956529605
