"Experiment","Run","Number","Feature","Margs"
"P1",6,"Feature1","x11",2.16729424216234
"P1",6,"Feature2","x5",1.30771777246787
"P1",6,"Feature3","x8",1.00126635284364
"P1",6,"Feature4","x9*x13",1.00018279963089
"P1",6,"Feature5","x6",1.00000923648284
"P1",6,"Feature6","x1",0.99999996484313
"P1",6,"Feature7","x6*x9",0.999886885796765
"P1",6,"Feature8","troot(x6)",0.99524244070426
"P1",6,"Feature9","x9*p0(x13)",0.993662490775752
"P1",6,"Feature10","x9*p3(x6)",0.993662490775117
"P1",6,"Feature11","x10",0.978909138606286
"P1",6,"Feature12","x12",0.868406063743934
"P1",6,"Feature13","x7",0.758484122681112
"P1",6,"Feature14","x13",0.00921536577658299
"P1",6,"Feature15","x9*(x6*x6)",0.00633750360969713
"P1",6,"Feature16","x9*troot(x13)",0.00633750360969713
"P1",6,"Feature17","p0(x6)",0.0062418805497724
"P1",6,"Feature18","x3",0.00560173375167144
"P1",6,"Feature19","x9",0.00548142187852597
"P1",6,"Feature20","troot(x8)",0.00174227642954927
"P2",6,"Feature1","x9",1.52534958316667
"P2",6,"Feature2","x1",1.08399653237773
"P2",6,"Feature3","x11",1.00396448345576
"P2",6,"Feature4","x12",0.999931521575163
"P2",6,"Feature5","x8",0.997487666263028
"P2",6,"Feature6","x5",0.990880196970791
"P2",6,"Feature7","x7",0.944737262804787
"P2",6,"Feature8","x6*x9",0.938167482304193
"P2",6,"Feature9","p3(x6)",0.933430413198741
"P2",6,"Feature10","x10",0.920042952450181
"P2",6,"Feature11","x9*x13",0.862947503861877
"P2",6,"Feature12","x9*sigmoid(x13)",0.862947503861871
"P2",6,"Feature13","x10*x13",0.0752199784433445
"P2",6,"Feature14","sigmoid(x13)*x1",0.0752199784432482
"P2",6,"Feature15","sigmoid(x13)",0.0738926248295766
"P2",6,"Feature16","x6",0.06825651702716
"P2",6,"Feature17","x13",0.0643114056602247
"P2",6,"Feature18","x10*x6",0.0618325176947846
"P2",6,"Feature19","exp_dbl(x13)*x1",0.0618325176947846
"P2",6,"Feature20","troot(x6)",0.0582385884372591
"P2",6,"Feature21","exp_dbl(x13)",0.0467009051872023
"P2",6,"Feature22","x2",0.0322792574655877
"P2",6,"Feature23","x1*x5",0.0102881593696462
"P2",6,"Feature24","p0(x6)",0.00473707148312325
"P2",6,"Feature25","sigmoid(x6)",0.00220054043227113
"P3",6,"Feature1","x11",1.64590469546395
"P3",6,"Feature2","x8",1.55055536767967
"P3",6,"Feature3","x9",1.4035290314256
"P3",6,"Feature4","x10",0.999993581494061
"P3",6,"Feature5","x9*x6",0.999986788721788
"P3",6,"Feature6","x9*exp_dbl(x13)",0.999986732373677
"P3",6,"Feature7","x7",0.999961634570908
"P3",6,"Feature8","x1",0.999740033771019
"P3",6,"Feature9","p3(x6)",0.999719841912975
"P3",6,"Feature10","(x9*x13)*x5",0.99957402412034
"P3",6,"Feature11","x12",0.999160247696925
"P3",6,"Feature12","x6",0.186267366158583
"P3",6,"Feature13","x13",0.070324683398589
"P3",6,"Feature14","x5",0.017593937290294
"P3",6,"Feature15","exp_dbl(x10)",0.0104605188760268
"P4",6,"Feature1","x12",2.15313103546087
"P4",6,"Feature2","x1",1.81634959360141
"P4",6,"Feature3","x11",1.01411100081923
"P4",6,"Feature4","x10",1.00099553205115
"P4",6,"Feature5","x6*x10",0.999999999999824
"P4",6,"Feature6","x8",0.999972631884374
"P4",6,"Feature7","x7",0.998574909497571
"P4",6,"Feature8","x13",0.997116262664372
"P4",6,"Feature9","x9",0.972133609677405
"P4",6,"Feature10","x6",0.971138499052265
"P4",6,"Feature11","x1*sigmoid(x13)",0.971100644383313
"P4",6,"Feature12","x13*(x6*x10)",0.971100052356835
"P4",6,"Feature13","x5",0.573975735024107
"P4",6,"Feature14","x6*x6",0.0288993556138872
"P4",6,"Feature15","exp_dbl(x13)*x1",0.0275519534914065
"P4",6,"Feature16","x9*x8",0.0275437935898954
"P4",6,"Feature17","p0(x13)",0.00945594976832264
"P4",6,"Feature18","x3",0.00606099070333831
"P4",6,"Feature19","p0(x6)",0.00155323239298849
"P4",6,"Feature20","x9*exp_dbl(x13)",0.00134740212510453
"P4",6,"Feature21","x13*x10",0.00134740212510453
"P5",6,"Feature1","x9",1.57857778186511
"P5",6,"Feature2","x10",1.40999735420154
"P5",6,"Feature3","x5",1.2976979948672
"P5",6,"Feature4","x1",1.13506961299567
"P5",6,"Feature5","x11",1.10269699807527
"P5",6,"Feature6","x8",1.09828353046791
"P5",6,"Feature7","p3(x6)",0.999990387668365
"P5",6,"Feature8","x12",0.989743660218697
"P5",6,"Feature9","x6",0.710740211390156
"P5",6,"Feature10","p3(x6)*(x6*x9)",0.671051079129717
"P5",6,"Feature11","x1*exp_dbl(x13)",0.671051079129717
"P5",6,"Feature12","x11*x7",0.671016606232345
"P5",6,"Feature13","x13*(x6*x9)",0.670914564988072
"P5",6,"Feature14","x13",0.328948326836909
"P5",6,"Feature15","exp_dbl(x13)*x9",0.328948321432448
"P5",6,"Feature16","x6*x10",0.328948197805286
"P5",6,"Feature17","exp_dbl(x13)",0.273169457493691
"P5",6,"Feature18","x9*x13",0.0158267069477573
"P6",6,"Feature1","x1",1.46902653726273
"P6",6,"Feature2","x11",1.00000004125215
"P6",6,"Feature3","x10",0.999999961620129
"P6",6,"Feature4","x10*x13",0.999999961258052
"P6",6,"Feature5","x10*x6",0.999999961193877
"P6",6,"Feature6","x6*x6",0.999999942111412
"P6",6,"Feature7","x1*sigmoid(x13)",0.999999941875086
"P6",6,"Feature8","x7",0.999985562614045
"P6",6,"Feature9","x8",0.997585858946393
"P6",6,"Feature10","x12",0.940942746739659
"P6",6,"Feature11","p3(x10)",0.00161038276802908
