"Experiment","Run","Number","Feature","Margs"
"P1",15,"Feature1","x9*exp_dbl(troot(x13))",1
"P1",15,"Feature2","p0(x6)",0.999999999742097
"P1",15,"Feature3","x11",0.999999839064223
"P1",15,"Feature4","x1",0.999998963199093
"P1",15,"Feature5","x5",0.997306909397734
"P1",15,"Feature6","x10",0.956493973510435
"P1",15,"Feature7","x12",0.939403965887694
"P1",15,"Feature8","x8",0.784033643534576
"P1",15,"Feature9","x9*x6",0.744695046589315
"P1",15,"Feature10","x9",0.744015909888444
"P1",15,"Feature11","(x9*x6)*x6",0.740866047724296
"P1",15,"Feature12","x8",0.609847967257178
"P1",15,"Feature13","x9",0.609527705118929
"P1",15,"Feature14","x6",0.57462878720667
"P1",15,"Feature15","x8",0.513132798310563
"P1",15,"Feature16","x6",0.438064586759325
"P1",15,"Feature17","x10",0.385937525038196
"P1",15,"Feature18","x6",0.341612996259083
"P1",15,"Feature19","(x6*x6)*x9",0.259134894207385
"P1",15,"Feature20","x9*x6",0.255631700816151
"P1",15,"Feature21","x9",0.143265645519757
"P1",15,"Feature22","x8*x7",0.00450285828160573
"P1",15,"Feature23","exp_dbl(x5)",0.00287626621113386
"P2",15,"Feature1","x6",1
"P2",15,"Feature2","p0(x6)",0.999999999999991
"P2",15,"Feature3","(x9*x9)*exp_dbl(x13)",0.999999999999954
"P2",15,"Feature4","x11",0.999999999999705
"P2",15,"Feature5","x13",0.999999999995795
"P2",15,"Feature6","x6*x9",0.999999999861623
"P2",15,"Feature7","x1",0.999999996578437
"P2",15,"Feature8","x9",0.999999510831202
"P2",15,"Feature9","p0(x6)*x9",0.999974232578222
"P2",15,"Feature10","x10",0.99846903270327
"P2",15,"Feature11","x5",0.996891023308794
"P2",15,"Feature12","x12",0.994170829058558
"P2",15,"Feature13","x8",0.943180843655885
"P2",15,"Feature14","x7",0.486483382593
"P2",15,"Feature15","x7",0.473738528648844
"P2",15,"Feature16","x8",0.453798416868348
"P2",15,"Feature17","x7",0.405485575346074
"P2",15,"Feature18","x5",0.301583654826955
"P2",15,"Feature19","x3",0.0647759380217354
"P2",15,"Feature20","exp_dbl(x13)",0.0116807145219257
"P2",15,"Feature21","x2",0.00729799067376601
"P3",15,"Feature1","x13*x10",1
"P3",15,"Feature2","x10*x6",1
"P3",15,"Feature3","sigmoid(x13)*x10",0.999999999999991
"P3",15,"Feature4","x11",0.999999999999964
"P3",15,"Feature5","x8",0.999998020277035
"P3",15,"Feature6","p3(x6)",0.999903909862436
"P3",15,"Feature7","x12",0.986561237596059
"P3",15,"Feature8","x5",0.830241875903379
"P3",15,"Feature9","x10",0.757109494096706
"P3",15,"Feature10","x9",0.747179828369235
"P3",15,"Feature11","x1",0.658951308033677
"P3",15,"Feature12","x1",0.645248612519065
"P3",15,"Feature13","x9",0.622529322102597
"P3",15,"Feature14","x10",0.6003574745645
"P3",15,"Feature15","x6",0.448502550781731
"P3",15,"Feature16","x5",0.376933508235425
"P3",15,"Feature17","x6",0.240666626580056
"P3",15,"Feature18","x9",0.209890320780837
"P3",15,"Feature19","x9",0.149290179303964
"P3",15,"Feature20","x7",0.0868111197229192
"P3",15,"Feature21","x13",0.0564932541169218
"P3",15,"Feature22","exp_dbl(x13)",0.00421944464115751
"P3",15,"Feature23","x4",0.0036820961669216
"P4",15,"Feature1","x6",1
"P4",15,"Feature2","x9",1
"P4",15,"Feature3","(x6*x9)*p0(x13)",1
"P4",15,"Feature4","x11",0.999999999961224
"P4",15,"Feature5","x6*x9",0.999999712138549
"P4",15,"Feature6","x1",0.999763101137775
"P4",15,"Feature7","x5",0.987167949981341
"P4",15,"Feature8","x10",0.846411920618311
"P4",15,"Feature9","x8",0.729249026591057
"P4",15,"Feature10","x8",0.647187560369209
"P4",15,"Feature11","x13",0.0256483447890335
"P5",15,"Feature1","x10*p0(x13)",1
"P5",15,"Feature2","x6*x10",0.999999999999787
"P5",15,"Feature3","x10",0.999999999999787
"P5",15,"Feature4","x6",0.999999999999475
"P5",15,"Feature5","x13",0.999999999920882
"P5",15,"Feature6","x12",0.999324264762727
"P5",15,"Feature7","x8",0.998066693816492
"P5",15,"Feature8","x9",0.995738106903127
"P5",15,"Feature9","x1",0.994511759814035
"P5",15,"Feature10","x9",0.801556801109325
"P5",15,"Feature11","x11",0.799207600240173
"P5",15,"Feature12","x11",0.5989488004692
"P5",15,"Feature13","x11",0.201112909563128
"P5",15,"Feature14","x10*x1",0.00583461817558239
"P5",15,"Feature15","x12",0.00277257992565463
"P5",15,"Feature16","x11",0.00264811932463235
"P6",15,"Feature1","x6",1
"P6",15,"Feature2","x11",1
"P6",15,"Feature3","x13",1
"P6",15,"Feature4","exp_dbl(x13)*x1",1
"P6",15,"Feature5","troot(x5)",0.999765791510627
"P6",15,"Feature6","x6*x5",0.962380934975768
"P6",15,"Feature7","x12",0.854593530476821
"P6",15,"Feature8","x1",0.691692254289296
"P6",15,"Feature9","troot(p0(x6))",0.653874931537454
"P6",15,"Feature10","x8",0.398258204806282
"P6",15,"Feature11","x10",0.392342649561357
"P6",15,"Feature12","x5",0.330451328712361
"P6",15,"Feature13","p0(x6)",0.327551463248571
"P6",15,"Feature14","x12*x1",0.303585288041992
"P6",15,"Feature15","p0(x6)*x5",0.0995594490257233
"P6",15,"Feature16","p0(x6)*x5",0.038355495067551
"P6",15,"Feature17","p3(x10)",0.00573526553984892
