"Experiment","Run","Number","Feature","Margs"
"P1",23,"Feature1","x9",2.88967667339097
"P1",23,"Feature2","x1",2.20865793375568
"P1",23,"Feature3","x8",1.85770630141428
"P1",23,"Feature4","x11",1.61071868148893
"P1",23,"Feature5","x12",1.33958849232362
"P1",23,"Feature6","x10",1.29370515072644
"P1",23,"Feature7","x6",1.21224829313726
"P1",23,"Feature8","x13*x9",0.999999877570199
"P1",23,"Feature9","exp_dbl(x13)*x9",0.999978135625682
"P1",23,"Feature10","x9*p3(x6)",0.999978135625682
"P1",23,"Feature11","troot(x6)",0.999978112172255
"P1",23,"Feature12","x7",0.999469361172274
"P1",23,"Feature13","x5",0.995293059793255
"P1",23,"Feature14","x13",0.00837771154596757
"P2",23,"Feature1","x6",1.40615082515215
"P2",23,"Feature2","x7",1.37830082791572
"P2",23,"Feature3","x1",1.14639962775504
"P2",23,"Feature4","x10",1.02072639860954
"P2",23,"Feature5","x11",1.00011267663713
"P2",23,"Feature6","x8",0.999488298771382
"P2",23,"Feature7","x10*x6",0.94113323363182
"P2",23,"Feature8","x10*x13",0.941133233629741
"P2",23,"Feature9","sigmoid(x13)*x1",0.940630073462559
"P2",23,"Feature10","troot(x6)",0.940592953050942
"P2",23,"Feature11","x12",0.926271088620525
"P2",23,"Feature12","x5",0.0926942637108028
"P2",23,"Feature13","x13",0.0830444879301508
"P2",23,"Feature14","x9",0.0731492501729918
"P2",23,"Feature15","x6*x11",0.0588667663702483
"P2",23,"Feature16","x6*x6",0.0588667663702483
"P2",23,"Feature17","x1*exp_dbl(x13)",0.0588667663702483
"P2",23,"Feature18","(x6*x6)*x5",0.0588667663149134
"P2",23,"Feature19","p0(x10)",0.00131086591280641
"P3",23,"Feature1","x1",1.63984363186921
"P3",23,"Feature2","x8",1.30391185430393
"P3",23,"Feature3","x11",1.25585020798846
"P3",23,"Feature4","x6",1.18330923618618
"P3",23,"Feature5","p3(x6)",1.00003938039385
"P3",23,"Feature6","x9",1.00000444871304
"P3",23,"Feature7","x9*p0(x13)",0.999994070100793
"P3",23,"Feature8","p3(x6)*x9",0.999994070100783
"P3",23,"Feature9","x5",0.997857443480179
"P3",23,"Feature10","x10",0.988673302542146
"P3",23,"Feature11","x7",0.910421494712562
"P3",23,"Feature12","x12",0.893083976088032
"P3",23,"Feature13","x3",0.0745632672298894
"P3",23,"Feature14","x4",0.00233209346473339
"P4",23,"Feature1","x10",1.61388311543764
"P4",23,"Feature2","x7",1.29863552527135
"P4",23,"Feature3","x1",0.999997431390121
"P4",23,"Feature4","x6*x10",0.999966344765413
"P4",23,"Feature5","x1*exp_dbl(x13)",0.999941200862189
"P4",23,"Feature6","x8",0.989652840458929
"P4",23,"Feature7","x6",0.933325638800374
"P4",23,"Feature8","x13",0.932241567899831
"P4",23,"Feature9","x11",0.930327698719403
"P4",23,"Feature10","x12",0.928902718871893
"P4",23,"Feature11","x13*(x6*x10)",0.915314170909519
"P4",23,"Feature12","x13*x10",0.0696974472655676
"P4",23,"Feature13","x6*x6",0.0696723031023424
"P4",23,"Feature14","x11*x11",0.0696610159672351
"P4",23,"Feature15","p3(x6)",0.0105888599388544
"P4",23,"Feature16","exp_dbl(x13)",0.00419095732863746
"P5",23,"Feature1","x13",1.70108867852481
"P5",23,"Feature2","x8",1.35297890852254
"P5",23,"Feature3","x1",1.34141573133549
"P5",23,"Feature4","x11",1.19766767273124
"P5",23,"Feature5","x9",0.999991902645287
"P5",23,"Feature6","x10",0.999965637740688
"P5",23,"Feature7","x6",0.999749505477876
"P5",23,"Feature8","p0(x13)*x10",0.999746233825473
"P5",23,"Feature9","x6*x10",0.999746090405708
"P5",23,"Feature10","x5",0.994855300908222
"P5",23,"Feature11","x12",0.908221505801189
"P5",23,"Feature12","x3",0.00319693697360932
"P6",23,"Feature1","x9",1.47825385046383
"P6",23,"Feature2","x1",1.46127316195065
"P6",23,"Feature3","x5",1.44200959770516
"P6",23,"Feature4","x12",1.21366135876407
"P6",23,"Feature5","x8",1.17975926149884
"P6",23,"Feature6","troot(x6)",1.00048610166411
"P6",23,"Feature7","x11",1.00000054191501
"P6",23,"Feature8","x1*sigmoid(x13)",0.99999757454462
"P6",23,"Feature9","x6",0.999996816381148
"P6",23,"Feature10","p3(x6)*x9",0.999996457186934
"P6",23,"Feature11","x9*x13",0.999996457139595
"P6",23,"Feature12","x10*x7",0.999930034374326
"P6",23,"Feature13","sigmoid(x13)",0.907896745669764
"P6",23,"Feature14","x13",0.0194493792992594
"P6",23,"Feature15","x8*x11",0.00225017650748175
