"Experiment","Run","Number","Feature","Margs"
"S1",10,"Feature1","x6*x13",1
"S1",10,"Feature2","x1*x12",1
"S1",10,"Feature3","x5",1
"S1",10,"Feature4","x6",1
"S1",10,"Feature5","x8",1
"S1",10,"Feature6","x9",1
"S1",10,"Feature7","x10",1
"S1",10,"Feature8","x11",1
"S1",10,"Feature9","x12",1
"S1",10,"Feature10","x13",1
"S1",10,"Feature11","p3(x6)",1
"S1",10,"Feature12","sigmoid(x9)",0.99987968565404
"S1",10,"Feature13","x4",0.975234380242815
"S1",10,"Feature14","x2",0.662579168155946
"S1",10,"Feature15","x2",0.662519010982653
"S2",10,"Feature1","x1",1
"S2",10,"Feature2","x2",1
"S2",10,"Feature3","x11",1
"S2",10,"Feature4","x6*(x12*x13)",1
"S2",10,"Feature5","x5",1
"S2",10,"Feature6","x6",1
"S2",10,"Feature7","x8",1
"S2",10,"Feature8","x9",1
"S2",10,"Feature9","x10",1
"S2",10,"Feature10","x12*x13",1
"S2",10,"Feature11","x12*x4",0.999996119661129
"S2",10,"Feature12","troot(x7)",0.999932485864157
"S2",10,"Feature13","troot(x12*x13)",0.962817034988826
"S2",10,"Feature14","x12",0.66669045682129
"S2",10,"Feature15","x12",0.666686590889123
"S3",10,"Feature1","troot(x11)",1
"S3",10,"Feature2","x1*x12",1
"S3",10,"Feature3","x6",1
"S3",10,"Feature4","x8",1
"S3",10,"Feature5","x10",1
"S3",10,"Feature6","x11",1
"S3",10,"Feature7","x12",1
"S3",10,"Feature8","x13",1
"S3",10,"Feature9","x11*x5",1
"S3",10,"Feature10","x4",0.999999999999986
"S3",10,"Feature11","sigmoid(x9)",0.93996268340646
"S3",10,"Feature12","x2",0.686679105531311
"S3",10,"Feature13","x9",0.666666666667218
"S3",10,"Feature14","x9",0.666666666666804
"S3",10,"Feature15","x2",0.646654227802331
"S4",10,"Feature1","x1",1
"S4",10,"Feature2","x2",1
"S4",10,"Feature3","p3(x12)",1
"S4",10,"Feature4","x13*x2",1
"S4",10,"Feature5","x6",1
"S4",10,"Feature6","x8",1
"S4",10,"Feature7","x9",1
"S4",10,"Feature8","x10",1
"S4",10,"Feature9","x11",1
"S4",10,"Feature10","x10*x11",1
"S4",10,"Feature11","x13",1
"S4",10,"Feature12","x12*x5",1
"S4",10,"Feature13","x5*x5",1
"S4",10,"Feature14","x4",0.99999984465944
"S4",10,"Feature15","x13*x5",0.999999679520188
"S5",10,"Feature1","x1",1
"S5",10,"Feature2","x6*x1",1
"S5",10,"Feature3","x4",1
"S5",10,"Feature4","x5",1
"S5",10,"Feature5","x6",1
"S5",10,"Feature6","x1*(x6*x1)",1
"S5",10,"Feature7","x8",1
"S5",10,"Feature8","x9",1
"S5",10,"Feature9","x10",1
"S5",10,"Feature10","x11",1
"S5",10,"Feature11","x12",1
"S5",10,"Feature12","x13",1
"S5",10,"Feature13","x4*x13",0.999996040711459
"S5",10,"Feature14","x2",0.666667986429564
"S5",10,"Feature15","x2",0.666667986429413
"S6",10,"Feature1","sigmoid(x3)",1
"S6",10,"Feature2","x1",1
"S6",10,"Feature3","x5",1
"S6",10,"Feature4","x6",1
"S6",10,"Feature5","x8",1
"S6",10,"Feature6","x9",1
"S6",10,"Feature7","x10",1
"S6",10,"Feature8","x13",1
"S6",10,"Feature9","x6*x13",1
"S6",10,"Feature10","x12",0.999999999999998
"S6",10,"Feature11","p0(1+x5)",0.999999851085872
"S6",10,"Feature12","x4",0.999041460602749
"S6",10,"Feature13","x8*x11",0.991205659795904
"S6",10,"Feature14","x11",0.666982696327762
"S6",10,"Feature15","x11",0.666508688433937
