"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",1,0.844654045428827,3.56886484857248,5.47067458192573,-3426.17897894042,0.70460630544592,15,7510.786,"x1","x2","x4",1,1,1
"S2",1,0.838702851355806,3.47529842276928,5.91057091040758,-2252.65855188399,0.655191216075107,15,7815.025,"x13","p0(x9)","exp_dbl(x6)",1,1,1
"S3",1,0.835641946922714,3.47553232847514,5.54517838379152,-2658.88514840307,0.696505727181946,15,8037.808,"x1","x9","x5",1,1,1
"S4",1,0.854579597099313,3.25277656344144,5.24345849599352,-2482.27631456429,0.728634191705713,15,7726.671,"x2","x5*x1","x6",1,1,1
"S5",1,0.857709234248805,3.56823819595379,5.25674001848953,-3287.49748018919,0.727257727796117,15,7467.573,"x1","x5","x6",1,1,1
"S6",1,0.80667056282685,3.9460224442962,5.96602184295688,-3324.77963610276,0.648691114011131,15,3294.681,"x1","x4","x5",1,1,1
"S1",2,0.862898999508336,3.17324362212225,5.13334954142509,-2327.61948861208,0.73991151105129,15,7690.502,"x1","p0(x8)*x6","x5",1,1,1
"S2",2,0.834909655046973,3.52097359480842,5.87978597480888,-2055.39886068605,0.658773703356649,15,7208.405,"x1","x10*x10","sigmoid(x6)",1,1,1
"S3",2,0.866083445008559,3.13696058139824,5.05055884482893,-2240.13169441479,0.748233276622505,15,7582.363,"x1","x4","x5",1,1,1
"S4",2,0.845090595327477,3.58350898157493,5.40372053502521,-2832.72519452639,0.711792540159845,15,7771.992,"x1","x2","x6",1,1,1
"S5",2,0.859343996367374,3.31867314178425,5.1638144578122,-2101.19775643027,0.736815253512938,14,6953.708,"x1","x11*x5","x6*(x11*x5)",1,1,1
"S6",2,0.840288995024555,3.51140708256498,5.4807205218785,-2760.52695679635,0.703520431326262,15,3091.176,"x1","x13*x7","x5",1,1,1
"S1",3,0.888351614757331,2.87244496776207,4.63414011127283,-1690.87280209203,0.788038112836328,15,3462.353,"x1","x2","x10*troot(x13)",1,1,1
"S2",3,0.848669967140799,3.42624705617573,5.37112346684758,-2191.7836803126,0.715259182115003,15,3446.44,"x1","troot(x11)","troot(exp_dbl(x6))",1,1,1
"S3",3,0.394043180862358,4.4472983753957,11.3817024423888,-2227.61994758565,-0.278597678817103,15,7715.539,"x1","sigmoid(x11)","x8*x12",1,1,1
"S4",3,0.867989030040483,3.27779713002345,5.01304189876502,-2851.81684117422,0.751959769832594,15,7446.593,"x1","p3(x12)","x4",1,1,1
"S5",3,0.700918445212792,4.38476898976979,9.66311846932271,-3385.30311383138,0.0783753864758737,15,7948.243,"x5","x6","x1*x8",1,1,1
"S6",3,0.882920720508063,3.0505118397745,4.72959612161866,-1770.00293530988,0.779216014241436,14,5934.388,"x1","p3(x10)","x5",1,1,1
"S1",4,0.857065740844883,3.24923884783272,5.21970261331935,-2410.83460703207,0.731087507987145,14,7301.189,"x1","x4","x5",1,1,1
"S2",4,0.840849419356854,3.61054089796716,5.53382262725822,-3440.39226813769,0.697747482794175,15,7437.616,"x1","x2","x4",1,1,1
"S3",4,0.860226402723611,3.37750661453981,5.13951661656046,-2651.94858848691,0.739286208319141,15,7728.4,"troot(x13)","x6","x8",1,1,1
"S4",4,0.863934991694721,3.22450783880909,5.10110036548797,-2440.16181051896,0.743169147256289,15,7457.023,"x1","x2","exp_dbl(x1)",1,1,1
"S5",4,0.873788612453961,3.06663086007121,4.94476123793458,-2045.77036467171,0.75867066892351,15,7433.283,"x1","(x10*x6)*x13","x10*x6",1,1,1
"S6",4,0.859856700646561,3.42792766095533,5.16649346225577,-2779.58599234268,0.736542100397836,15,3381.235,"x1","p3(x5)","x8*(x8*x11)",1,1,1
"S1",5,0.877200713549779,3.66886523751986,4.89817949243371,-3109.00525191172,0.763196101356882,15,3216.342,"x1","sigmoid(1+(x8+exp_dbl(x8)))","x5",1,1,1
"S2",5,0.868068940551883,3.19007521164093,5.04234373850653,-2384.57130950275,0.74905164478772,15,5775.303,"x1","x5","x6",1,1,1
"S3",5,0.836680953140034,3.56366510054049,5.88215960519797,-2446.3184858264,0.658498146186556,15,7498.552,"x1","troot(x8)","x5",1,1,1
"S4",5,0.868103345526833,3.54276723850981,5.10034194808672,-3211.72745411987,0.74324551137144,15,3195.803,"x1","exp_dbl(x9)","exp_dbl(x8)",1,1,1
"S5",5,0.839378996193721,3.59372537691599,5.81361571547989,-2473.24927850721,0.666410709892195,14,7504.868,"troot(x8)","x5","x6",1,1,1
"S6",5,0.840749272665809,3.3327657731839,5.508831356512,-2100.81532168946,0.700471320705746,15,3327.202,"x1","exp_dbl(x6*x9)","x4",1,1,1
"S1",6,0.833219251639731,3.6638041131315,5.76683187971884,-2584.30029588253,0.671758084737064,15,7879.171,"x1","x7*x8","x6",1,1,1
"S2",6,0.86242176432883,3.44140851486359,5.14368399970387,-2990.84761716264,0.738863236730807,15,5199.848,"x1","x6*x1","x5",1,1,1
"S3",6,0.869945876809852,3.35588163103194,5.03238312993971,-2775.37674635073,0.7500421085967,14,6987.644,"x10*x12","x4","x5",1,1,1
"S4",6,0.874129582935016,3.24848833553251,4.89184482315201,-2301.49643016133,0.763808208113744,15,3474.505,"x1","x12*(x6*x5)","p0(x10)",1,1,1
"S5",6,0.884609548942241,3.10223294402681,4.74489288852618,-2176.2074904368,0.77778555692918,15,3380.962,"x1","x4*x1","troot(x6)",1,1,1
"S6",6,0.860446114218122,3.23006099153517,5.17670434274486,-2220.15642112413,0.735499693011165,15,3775.653,"x1","p0(x6)","p0(x11)",1,1,1
"S1",7,0.452730850909879,4.28130056285963,10.2716604275686,-2008.81122607809,-0.0413596932209372,15,4867.194,"sigmoid(x13)*(x12*sigmoid(x13))","x5","x6",1,1,1
"S2",7,0.871024106610588,3.11574642552333,4.9706884886938,-2370.42867096063,0.756133272392694,15,3389.862,"x1","x12*x6","x4",1,1,1
