"Experiment","Run","Number","Feature","Margs"
"P1",19,"Feature1","x12",1.82142841595495
"P1",19,"Feature2","x10",1.31238721615871
"P1",19,"Feature3","x9",1.28928915524156
"P1",19,"Feature4","x13",1.23247865211511
"P1",19,"Feature5","x6*x6",1.00006862810429
"P1",19,"Feature6","x11",0.999999999955361
"P1",19,"Feature7","x1",0.99999936267137
"P1",19,"Feature8","x8",0.998753553946723
"P1",19,"Feature9","x6*x10",0.994476734836314
"P1",19,"Feature10","exp_dbl(x13)*x1",0.994047296243229
"P1",19,"Feature11","x5",0.981041537732184
"P1",19,"Feature12","x7",0.916708017570536
"P1",19,"Feature13","x6",0.0383054046187587
"P1",19,"Feature14","x6*x13",0.0115191497518809
"P1",19,"Feature15","x9*exp_dbl(x13)",0.00569483092132542
"P1",19,"Feature16","x6*x9",0.00569443616479994
"P1",19,"Feature17","x13*x9",0.00547568678282037
"P2",19,"Feature1","x6",1.10257482713853
"P2",19,"Feature2","x10",1.04762219750217
"P2",19,"Feature3","x1",1.00263052347711
"P2",19,"Feature4","x12",1.00099395670851
"P2",19,"Feature5","x9",0.999467287613025
"P2",19,"Feature6","x11",0.996992947398465
"P2",19,"Feature7","x8",0.996982580510718
"P2",19,"Feature8","x10*x6",0.994459171473542
"P2",19,"Feature9","x7",0.991423976778618
"P2",19,"Feature10","x13*(x10*x6)",0.952558004957957
"P2",19,"Feature11","sigmoid(x13)*x1",0.950938493792337
"P2",19,"Feature12","sigmoid(x13)",0.830922622099516
"P2",19,"Feature13","x5",0.555984937250958
"P2",19,"Feature14","x10*x13",0.0417704534924887
"P2",19,"Feature15","(x5*exp_dbl(x13))*x1",0.0417704534590747
"P2",19,"Feature16","x13*x13",0.0223113575164958
"P2",19,"Feature17","p0(x6)",0.0194884313374656
"P2",19,"Feature18","x13",0.00475667974389991
"P2",19,"Feature19","troot(x6)",0.00466649178915125
"P2",19,"Feature20","(x11*p3(x6))*x10",0.00300705260153174
"P2",19,"Feature21","exp_dbl(x13)*x1",0.00300705260153174
"P2",19,"Feature22","x9*p0(x13)",0.002533947509387
"P2",19,"Feature23","x9*x6",0.002533947509387
"P2",19,"Feature24","x13*x9",0.00234167677661024
"P2",19,"Feature25","x6*sigmoid(x13)",0.0022173924856585
"P2",19,"Feature26","x1*x6",0.00175015444669468
"P2",19,"Feature27","(sigmoid(x13)*x1)*x6",0.00175015444649283
"P2",19,"Feature28","x6*x6",0.00131448903433521
"P2",19,"Feature29","sigmoid(x13)*x9",0.00118222420259039
"P3",19,"Feature1","x11",2.36514287120191
"P3",19,"Feature2","x6",1.81991734779831
"P3",19,"Feature3","x10",1.69222759732562
"P3",19,"Feature4","x1",1.6286057495311
"P3",19,"Feature5","x12",1.42194673115378
"P3",19,"Feature6","x8",1.00386371621922
"P3",19,"Feature7","x9",0.999999788208704
"P3",19,"Feature8","x13",0.986483176830808
"P3",19,"Feature9","p0(x13)*x10",0.98648317441914
"P3",19,"Feature10","x6*x10",0.985848882728775
"P3",19,"Feature11","x7",0.875301535405528
"P3",19,"Feature12","p3(x6)",0.0136271032405705
"P3",19,"Feature13","x9*x6",0.0135168256018344
"P3",19,"Feature14","sigmoid(x13)*x9",0.0135168121544595
"P3",19,"Feature15","x10*x13",0.0135168009356789
"P3",19,"Feature16","x5",0.0110571280289335
"P4",19,"Feature1","x11",1.53835684223344
"P4",19,"Feature2","x8",1.00704833528765
"P4",19,"Feature3","x6",1.00688318340837
"P4",19,"Feature4","x5",0.999949717365717
"P4",19,"Feature5","x1",0.999121393226836
"P4",19,"Feature6","x9*p0(x13)",0.999026892581522
"P4",19,"Feature7","x9*x6",0.930006843528619
"P4",19,"Feature8","p0(x6)",0.930006573124757
"P4",19,"Feature9","(x9*x6)*x6",0.930006573116
"P4",19,"Feature10","sigmoid(x13)",0.540351336073812
"P4",19,"Feature11","x9",0.115538685985527
"P4",19,"Feature12","x10",0.0831292748504366
"P4",19,"Feature13","x6*x10",0.0690692453859595
"P4",19,"Feature14","sigmoid(x13)*x10",0.0671735248158487
"P4",19,"Feature15","x12",0.00171424546053922
"P4",19,"Feature16","x13",0.00118543035835707
"P5",19,"Feature1","x6",1.36297087089688
"P5",19,"Feature2","x9",1.2193745882446
"P5",19,"Feature3","x13",1.20873644724475
"P5",19,"Feature4","x11",1.11577553105736
"P5",19,"Feature5","x10",1.11273812831242
"P5",19,"Feature6","x12",1.05496803822205
"P5",19,"Feature7","x1",1.04185973992829
"P5",19,"Feature8","x8",0.999984794713676
"P5",19,"Feature9","x10*troot(x13)",0.846137975223271
"P5",19,"Feature10","x6*x10",0.843004977446354
"P5",19,"Feature11","x7",0.681847462096184
"P5",19,"Feature12","sigmoid(x13)",0.467966111292399
"P5",19,"Feature13","x5",0.431848651137674
"P5",19,"Feature14","sigmoid(x13)*x9",0.394677380394133
"P5",19,"Feature15","x6*x11",0.179853424670195
"P5",19,"Feature16","x9*x6",0.153861216078008
"P5",19,"Feature17","x13*x10",0.153809227595364
"P5",19,"Feature18","sigmoid(x13)*x1",0.153809225844469
"P5",19,"Feature19","troot(x6)",0.153222080815525
"P5",19,"Feature20","troot(x6)*x10",0.00313381064272811
"P5",19,"Feature21","exp_dbl(x13)",0.00242408109668151
"P6",19,"Feature1","x10",1.1436432665525
"P6",19,"Feature2","x12",1.0481700698598
"P6",19,"Feature3","x5",1.04023182198342
"P6",19,"Feature4","x8",0.995627738772414
"P6",19,"Feature5","x9",0.988577486168236
"P6",19,"Feature6","x6",0.912211590409443
"P6",19,"Feature7","x13",0.906414192183426
"P6",19,"Feature8","x11",0.814068195123014
"P6",19,"Feature9","x10*x6",0.808363885808033
"P6",19,"Feature10","x13*x10",0.719969346958845
"P6",19,"Feature11","p0(x13)",0.719969337474537
"P6",19,"Feature12","x8*x1",0.719961599960016
"P6",19,"Feature13","x1",0.454507251309977
"P6",19,"Feature14","(x6*x6)*p0(x10)",0.186444923709952
"P6",19,"Feature15","x10*p0(x13)",0.186444923709952
"P6",19,"Feature16","p3(x6)",0.186409147344243
"P6",19,"Feature17","troot(x11)",0.186396220170318
"P6",19,"Feature18","p0(x10)",0.172065751425599
"P6",19,"Feature19","x6*x6",0.0893314165186645
"P6",19,"Feature20","troot(x13)*x10",0.0892596723368902
"P6",19,"Feature21","p3(x13)",0.0766470425973142
"P6",19,"Feature22","(x9*x6)*p0(x13)",0.00432605699431301
"P6",19,"Feature23","x11*x6",0.00432605699431301
"P6",19,"Feature24","x11*x10",0.00261214895598732
"P6",19,"Feature25","troot(x5)",0.00253416962117887
"P6",19,"Feature26","x10*(x6*x6)",0.00188394329829924
