"Experiment","Run","Number","Feature","Margs"
"P1",4,"Feature1","x13*x10",1
"P1",4,"Feature2","sigmoid(x13)*(x13*x10)",1
"P1",4,"Feature3","x10*(x6*x6)",1
"P1",4,"Feature4","x12",0.999935983385875
"P1",4,"Feature5","x9",0.99981304241286
"P1",4,"Feature6","x8",0.995973315349691
"P1",4,"Feature7","x11",0.99590576267472
"P1",4,"Feature8","x10",0.992555021514876
"P1",4,"Feature9","p3(x6)",0.986095195977623
"P1",4,"Feature10","x5",0.890175287439745
"P1",4,"Feature11","x5",0.693396522789997
"P1",4,"Feature12","x1",0.589331512124627
"P1",4,"Feature13","x1",0.457443052275738
"P1",4,"Feature14","x10",0.334088285883365
"P1",4,"Feature15","x10",0.172814892687519
"P1",4,"Feature16","x10",0.167177088074457
"P1",4,"Feature17","x6",0.0997053387100057
"P1",4,"Feature18","x8",0.0866868896279897
"P1",4,"Feature19","x7",0.0767438614182654
"P1",4,"Feature20","x13",0.0509644267511388
"P1",4,"Feature21","x13",0.0363954434981606
"P1",4,"Feature22","x6*x6",0.0139348005897446
"P1",4,"Feature23","sigmoid(x13)",0.0106580189427184
"P1",4,"Feature24","x2",0.00803517533656392
"P1",4,"Feature25","x5*x11",0.00477704079656484
"P2",4,"Feature1","x6*x9",1
"P2",4,"Feature2","exp_dbl(x13)*x1",1
"P2",4,"Feature3","x11",0.999999999999999
"P2",4,"Feature4","x1",0.999999999999998
"P2",4,"Feature5","p3(x6)",0.999999999999994
"P2",4,"Feature6","x8",0.999122048639595
"P2",4,"Feature7","x10",0.998801700883272
"P2",4,"Feature8","x13",0.94425749441597
"P2",4,"Feature9","x9",0.907098105879744
"P2",4,"Feature10","x12",0.890460044985054
"P2",4,"Feature11","x5",0.725791035745195
"P2",4,"Feature12","exp_dbl(x13)",0.466290502031713
"P2",4,"Feature13","x5",0.342803323390301
"P2",4,"Feature14","x9",0.259482808086752
"P2",4,"Feature15","x5",0.233267390848426
"P2",4,"Feature16","x13",0.176174574099278
"P2",4,"Feature17","x12",0.0929750777650204
"P2",4,"Feature18","x13",0.0929207840498808
"P2",4,"Feature19","exp_dbl(x13)",0.0928952742018455
"P2",4,"Feature20","x6",0.0928952735471825
"P2",4,"Feature21","x6",0.0928952735458801
"P2",4,"Feature22","x1",0.0928952679254476
"P2",4,"Feature23","x5",0.0371731151192729
"P3",4,"Feature1","x9",1
"P3",4,"Feature2","x9*x6",1
"P3",4,"Feature3","x10*x13",1
"P3",4,"Feature4","sigmoid(sigmoid(x13))*x9",1
"P3",4,"Feature5","p3(x6)",1
"P3",4,"Feature6","x12",0.984741257661717
"P3",4,"Feature7","x7",0.923057852331118
"P3",4,"Feature8","x8",0.898889572126931
"P3",4,"Feature9","x5",0.810076301519767
"P3",4,"Feature10","x1",0.720880121203942
"P3",4,"Feature11","x1",0.593133093443001
"P3",4,"Feature12","x11",0.546252746157649
"P3",4,"Feature13","x8",0.503601518205621
"P3",4,"Feature14","x11",0.426250409313796
"P3",4,"Feature15","x11",0.335808370404779
"P3",4,"Feature16","x2",0.0190536216983539
"P3",4,"Feature17","x12*x7",0.00777162886365798
"P3",4,"Feature18","x10",0.00760537118700235
"P4",4,"Feature1","x13",1
"P4",4,"Feature2","(x5*(x6*x11))*x6",1
"P4",4,"Feature3","x1",1
"P4",4,"Feature4","x1*sigmoid(x13)",1
"P4",4,"Feature5","x6",0.999999991730746
"P4",4,"Feature6","p0(x6)",0.999999991730746
"P4",4,"Feature7","x12",0.999999990539431
"P4",4,"Feature8","sigmoid(x5)",0.999999988969943
"P4",4,"Feature9","x11",0.999999913554599
"P4",4,"Feature10","x8",0.710700626895124
"P4",4,"Feature11","x7",0.696325136614772
"P4",4,"Feature12","x8",0.609357287669446
"P4",4,"Feature13","x12",0.591733743933889
"P4",4,"Feature14","x9",0.554123918119432
"P4",4,"Feature15","x7",0.439324843865157
"P4",4,"Feature16","x9",0.404663042074348
"P4",4,"Feature17","x12",0.292391835418316
"P5",4,"Feature1","x11",0.999999999999995
"P5",4,"Feature2","x9*x6",0.999999999996075
"P5",4,"Feature3","x9",0.999999999160712
"P5",4,"Feature4","p3(x6)",0.999952280603388
