"Experiment","Run","Number","Feature","Margs"
"P1",1,"Feature1","x6",2.71763455642371
"P1",1,"Feature2","x12",1.67307997111552
"P1",1,"Feature3","x10",1.55824941998857
"P1",1,"Feature4","x9",1.53910465584383
"P1",1,"Feature5","x11",1.47533038845806
"P1",1,"Feature6","x1",1.32836515734986
"P1",1,"Feature7","x8",1.2971157012999
"P1",1,"Feature8","x5",1.0799063880936
"P1",1,"Feature9","x7",0.923111076063671
"P1",1,"Feature10","x6*x9",0.799010985850468
"P1",1,"Feature11","x9*x13",0.798964489364091
"P1",1,"Feature12","x9*p0(x13)",0.798903852807133
"P1",1,"Feature13","p0(x6)",0.798903852749158
"P1",1,"Feature14","(x6*x9)*x6",0.79890371375039
"P1",1,"Feature15","x13",0.540472603589141
"P1",1,"Feature16","x6*x10",0.201092462397881
"P1",1,"Feature17","p0(x13)*x10",0.201092107240126
"P1",1,"Feature18","x2",0.00976818787293758
"P2",1,"Feature1","x7",1.74890579668204
"P2",1,"Feature2","x12",1.30822527875061
"P2",1,"Feature3","x10",1.28372316412054
"P2",1,"Feature4","x11",1.03422092261997
"P2",1,"Feature5","x1",1.01511429997816
"P2",1,"Feature6","x13",1.00218957348202
"P2",1,"Feature7","x8",1.00162562564254
"P2",1,"Feature8","x6",1.00000061773663
"P2",1,"Feature9","x1*sigmoid(x13)",0.992960835011277
"P2",1,"Feature10","x9",0.988652653207344
"P2",1,"Feature11","x6*x10",0.980637571432281
"P2",1,"Feature12","x13*(x6*x10)",0.973479367080773
"P2",1,"Feature13","sigmoid(x13)",0.56990366308474
"P2",1,"Feature14","x5",0.12159829145619
"P2",1,"Feature15","p0(x6)",0.0230370443699773
"P2",1,"Feature16","x10*p3(p3(x6))",0.0193543104227593
"P2",1,"Feature17","p3(x6)",0.0193543104227593
"P2",1,"Feature18","p0(x13)*x10",0.00703104684376272
"P3",1,"Feature1","x8",1.32783301714923
"P3",1,"Feature2","x1",1.01099111907699
"P3",1,"Feature3","x10",1.00767928100966
"P3",1,"Feature4","x9",1.00702882950375
"P3",1,"Feature5","x6",1.00000008826825
"P3",1,"Feature6","x11",0.999997441461717
"P3",1,"Feature7","x13",0.986623581166104
"P3",1,"Feature8","p0(x13)*x10",0.973569976161776
"P3",1,"Feature9","x10*x6",0.973569976161776
"P3",1,"Feature10","x5",0.856789408323858
"P3",1,"Feature11","x12",0.770313382083176
"P3",1,"Feature12","x7",0.240292752934698
"P3",1,"Feature13","x5*x6",0.0140909129444308
"P3",1,"Feature14","x6*x9",0.013610875612029
"P3",1,"Feature15","x9*x13",0.013610875612029
"P3",1,"Feature16","x9*exp_dbl(x13)",0.013610875612029
"P3",1,"Feature17","troot(x6)",0.0136062332982085
"P3",1,"Feature18","x11*x6",0.0128435337379773
"P3",1,"Feature19","x1*sigmoid(x13)",0.0128191482237136
"P3",1,"Feature20","x6*x13",0.0128183808106999
"P3",1,"Feature21","x1*x6",0.00452513640195503
"P3",1,"Feature22","x2",0.0014484351787678
"P4",1,"Feature1","x12",1.40348018644244
"P4",1,"Feature2","x8",1.23383882807075
"P4",1,"Feature3","x9",1.13645537221331
"P4",1,"Feature4","x1",1.00893260501389
"P4",1,"Feature5","x10",1.00150957257059
"P4",1,"Feature6","x11",0.989689078746797
"P4",1,"Feature7","x6*x10",0.749247319852628
"P4",1,"Feature8","x9*sigmoid(x13)",0.749247319852504
"P4",1,"Feature9","x6*x6",0.744415339031859
"P4",1,"Feature10","x13*x10",0.744415339031732
"P4",1,"Feature11","x7",0.742696590294994
"P4",1,"Feature12","x6",0.399159286939264
"P4",1,"Feature13","x13",0.273386258820208
"P4",1,"Feature14","p0(x6)",0.24735708797033
"P4",1,"Feature15","p3(x6)*(x11*x10)",0.247356828919152
"P4",1,"Feature16","x1*sigmoid(x13)",0.24735682888048
"P4",1,"Feature17","p3(x13)",0.0211493515399478
"P4",1,"Feature18","x13*(x6*x10)",0.00480923585061338
"P4",1,"Feature19","x6*x11",0.00466442366292796
"P4",1,"Feature20","x13*x9",0.00339631374463813
"P4",1,"Feature21","x1*(x5*exp_dbl(x13))",0.00339585125123132
"P4",1,"Feature22","p3(x6)",0.00339585122821686
"P4",1,"Feature23","(x6*x9)*x6",0.00339585122821686
"P4",1,"Feature24","x5",0.00339449436866254
"P4",1,"Feature25","exp_dbl(x13)",0.00338670615956358
"P4",1,"Feature26","x3",0.00106069761098177
"P5",1,"Feature1","x8",1.70943368906964
"P5",1,"Feature2","x1",1.00010256116158
"P5",1,"Feature3","x9",1.00003609562234
"P5",1,"Feature4","x11",0.999999726736203
"P5",1,"Feature5","p0(x13)*x9",0.999878597386961
"P5",1,"Feature6","p3(x6)",0.999717025427584
"P5",1,"Feature7","x5",0.998935017370781
"P5",1,"Feature8","exp_dbl(x13)",0.992846012626864
"P5",1,"Feature9","x10",0.982783078978511
"P5",1,"Feature10","(x9*x6)*x6",0.957031654988779
"P5",1,"Feature11","x9*x6",0.0428471652146754
"P6",1,"Feature1","x13",1.43245203843702
"P6",1,"Feature2","x11",1.03293565969377
"P6",1,"Feature3","x1",0.999999978464975
"P6",1,"Feature4","p3(x6)",0.998405972298121
"P6",1,"Feature5","x8",0.998381003290994
"P6",1,"Feature6","x5",0.998380463084164
"P6",1,"Feature7","(x5*x6)*(x11*p3(x6))",0.954643931112209
"P6",1,"Feature8","exp_dbl(x8*p0(x13))",0.954643931112209
"P6",1,"Feature9","x6",0.951202802942065
"P6",1,"Feature10","exp_dbl(x8)",0.676082779070992
"P6",1,"Feature11","x12",0.0451639828347058
"P6",1,"Feature12","x9",0.0437660498064951
"P6",1,"Feature13","((x6*x6)*x6)*x9",0.0437620411859685
"P6",1,"Feature14","exp_dbl(x13)*x9",0.0437620411859126
"P6",1,"Feature15","x13*x10",0.0437582674162228
"P6",1,"Feature16","x7",0.0348918143065328
"P6",1,"Feature17","p0(x6)",0.00504114349500409
"P6",1,"Feature18","p0(x13)",0.00282040439183793
"P6",1,"Feature19","troot(x6)",0.00159691124421563
"P6",1,"Feature20","x10",0.00159327173157536
"P6",1,"Feature21","p3(x6*x11)*x10",0.00159318551605094
"P6",1,"Feature22","x1*exp_dbl(x13)",0.00159243057546692
"P1",2,"Feature1","x6",2.30000009891568
"P1",2,"Feature2","x13",1.50597760206757
"P1",2,"Feature3","x1",1.20666275271592
"P1",2,"Feature4","x9",1.11902912342636
"P1",2,"Feature5","x12",1.1123229384549
"P1",2,"Feature6","x8",1.04095157614264
"P1",2,"Feature7","x5",1.00380033443496
"P1",2,"Feature8","x11",0.999456826311036
"P1",2,"Feature9","p0(x13)",0.968248714287219
"P1",2,"Feature10","x6*x9",0.96744270146858
"P1",2,"Feature11","x13*x9",0.96744270146858
"P1",2,"Feature12","x6*x6",0.919018426991676
"P1",2,"Feature13","x10",0.90092709244363
"P1",2,"Feature14","p0(x6)",0.0519991712237069
"P1",2,"Feature15","x6*x11",0.0313417893602301
"P1",2,"Feature16","sigmoid(x8*x13)",0.0313417890308353
"P1",2,"Feature17","x6*x5",0.0313417885552576
"P1",2,"Feature18","(x6*x5)*x13",0.0107007678531125
"P1",2,"Feature19","x1*x5",0.00175048956936958
"P2",2,"Feature1","x9",2.2794315878693
"P2",2,"Feature2","x6",2.26611151871225
"P2",2,"Feature3","x8",2.1224523167379
"P2",2,"Feature4","x1",1.58977354923759
"P2",2,"Feature5","x11",1.43860484526433
"P2",2,"Feature6","x5",1.43751637107614
"P2",2,"Feature7","x6*x6",1.00357083550631
"P2",2,"Feature8","p3(x6*x6)*x9",0.999863994926198
"P2",2,"Feature9","p0(x13)*x9",0.999863994926198
"P2",2,"Feature10","x9*x13",0.999863945420258
"P2",2,"Feature11","x10",0.911970444092488
"P2",2,"Feature12","x12",0.547630992955361
"P2",2,"Feature13","exp_dbl(x11)",0.00118541461326889
"P3",2,"Feature1","x11",1.50459129260309
"P3",2,"Feature2","x1",1.39800294180086
"P3",2,"Feature3","x8",1.37952272463383
"P3",2,"Feature4","x12",1.26618326804577
"P3",2,"Feature5","x9",1.18114197827114
"P3",2,"Feature6","x6",1.14660368764146
"P3",2,"Feature7","x10*x13",0.999982342737584
"P3",2,"Feature8","x1*exp_dbl(x13)",0.999418216150738
"P3",2,"Feature9","x5",0.942868845509659
"P3",2,"Feature10","x10",0.921688641705247
"P3",2,"Feature11","x6*(x6*x10)",0.921531301081176
"P3",2,"Feature12","x6*x6",0.921531301081162
"P3",2,"Feature13","x7",0.921245126999446
"P3",2,"Feature14","x13",0.204965718946886
"P3",2,"Feature15","p3(x13)",0.194314350377599
"P3",2,"Feature16","x5*x6",0.078470704710648
"P3",2,"Feature17","x11*x6",0.0784686938944467
"P3",2,"Feature18","x6*x13",0.0784686732574262
"P3",2,"Feature19","x11*x8",0.0104284824607596
"P4",2,"Feature1","x1",1.56719370836036
"P4",2,"Feature2","x8",1.31224608458654
"P4",2,"Feature3","x10",1.20532999330354
"P4",2,"Feature4","x11",1.0913302610503
"P4",2,"Feature5","x13",1.07609160419464
"P4",2,"Feature6","x5",0.999709337466228
"P4",2,"Feature7","x1*sigmoid(x13)",0.992948805790159
"P4",2,"Feature8","x9",0.961432789469839
"P4",2,"Feature9","x6",0.643290619646591
"P4",2,"Feature10","x6*x5",0.627426880981146
"P4",2,"Feature11","x11*p0(x6)",0.627404987178778
"P4",2,"Feature12","x10*x6",0.37259505690405
"P4",2,"Feature13","x6*x6",0.365543818610918
"P4",2,"Feature14","(x13*x10)*x6",0.241651396242362
"P4",2,"Feature15","x2",0.0123761264720057
"P4",2,"Feature16","x9*sigmoid(x13)",0.00705119420963515
"P4",2,"Feature17","x10*x13",0.00705118063477864
"P4",2,"Feature18","p3(x6)",0.00704834380280569
"P4",2,"Feature19","x12",0.00623847760412358
"P4",2,"Feature20","x4",0.0021311053380301
"P4",2,"Feature21","exp_dbl(x13)*x13",0.0014182345181866
"P5",2,"Feature1","x12",1.20639742507924
"P5",2,"Feature2","x9",1.19865038837843
"P5",2,"Feature3","x13",1.19705028562546
"P5",2,"Feature4","x10",0.999999999999862
"P5",2,"Feature5","x6",0.99999999998776
"P5",2,"Feature6","x10*x6",0.999999999987747
"P5",2,"Feature7","x10*p0(x13)",0.999999999864575
"P5",2,"Feature8","x8",0.99999883397396
"P5",2,"Feature9","x1",0.999515512979655
"P5",2,"Feature10","x11",0.993878138150509
"P5",2,"Feature11","x5",0.990268448530971
"P5",2,"Feature12","p0(x11)",0.00612205334798901
"P6",2,"Feature1","x1",1.14581757428617
"P6",2,"Feature2","x9",1.02202381993175
"P6",2,"Feature3","x11",0.999812152988893
"P6",2,"Feature4","x10",0.999719721852308
"P6",2,"Feature5","x8",0.999322095163066
"P6",2,"Feature6","x12",0.820386442769609
"P6",2,"Feature7","p3(x6)",0.520734223666649
"P6",2,"Feature8","x9*p3(x6)",0.520734183068476
"P6",2,"Feature9","p0(x13)*x9",0.520734183068476
"P6",2,"Feature10","exp_dbl(x13)",0.519506638955344
"P6",2,"Feature11","x6",0.50118575957809
"P6",2,"Feature12","x5",0.451026522146476
"P6",2,"Feature13","troot(x6)",0.438109008331611
"P6",2,"Feature14","(p3(x6)*x5)*x11",0.438109002988593
"P6",2,"Feature15","(exp_dbl(x13)*(x13*x13))*x1",0.438109002988593
"P6",2,"Feature16","x13",0.438109000849033
"P6",2,"Feature17","x7",0.0488833928673237
"P6",2,"Feature18","x9*x6",0.0411568082629773
"P6",2,"Feature19","exp_dbl(exp_dbl(x13)*x9)",0.0411568082629773
"P6",2,"Feature20","x5*(x9*x13)",0.0411568082629773
"P6",2,"Feature21","p0(x6)",0.0392830230814724
"P1",3,"Feature1","x10",1.56597193374464
"P1",3,"Feature2","x9",1.299930764666
"P1",3,"Feature3","x1",1.1766315921951
"P1",3,"Feature4","x8",1.15160447449889
"P1",3,"Feature5","exp_dbl(x13)*x1",0.999907018982921
"P1",3,"Feature6","x7",0.999388763671602
"P1",3,"Feature7","x13",0.789923456431674
"P1",3,"Feature8","(x6*x6)*x10",0.508118058440808
"P1",3,"Feature9","troot(x11)",0.501560077140134
"P1",3,"Feature10","x11",0.498439923009117
"P1",3,"Feature11","troot(x13)*x10",0.498374688635734
"P1",3,"Feature12","x13*(x10*x6)",0.492768764074031
"P1",3,"Feature13","x6*x10",0.491884074687441
"P1",3,"Feature14","x6",0.484434392233781
"P1",3,"Feature15","x12",0.482368009339095
"P1",3,"Feature16","x5",0.44787528725949
"P1",3,"Feature17","x6*x6",0.292799660719555
"P1",3,"Feature18","p3(x6)",0.224111451853733
"P1",3,"Feature19","x6*x9",0.00232318098071438
"P2",3,"Feature1","x10",1.60069465380172
"P2",3,"Feature2","x6",1.56244101763668
"P2",3,"Feature3","x8",1.15887527588946
"P2",3,"Feature4","x13",1.1235746229791
"P2",3,"Feature5","x9",1.00311656026451
"P2",3,"Feature6","x11",1.00161749115384
"P2",3,"Feature7","x10*x6",0.998795162394841
"P2",3,"Feature8","x5",0.795978018865853
"P2",3,"Feature9","x12",0.793136291610092
"P2",3,"Feature10","x7",0.66625307765427
"P2",3,"Feature11","x1",0.597155526896884
"P2",3,"Feature12","x13*x6",0.512418554060813
"P2",3,"Feature13","exp_dbl(x13)*x1",0.512386220934805
"P2",3,"Feature14","x13*x10",0.512386210979063
"P2",3,"Feature15","x8*x1",0.512361270468902
"P2",3,"Feature16","x10*p0(x13)",0.485988240617624
"P2",3,"Feature17","x6*x11",0.0103091465866918
"P2",3,"Feature18","exp_dbl(x13)",0.00305272605409011
"P2",3,"Feature19","p3(x6)",0.00163779573426288
"P2",3,"Feature20","sigmoid(x13)*x9",0.00162564580641407
"P2",3,"Feature21","x9*x6",0.00162564580641407
"P2",3,"Feature22","x9*x13",0.00160232509740141
"P2",3,"Feature23","x5*x11",0.00132732200798418
"P3",3,"Feature1","x6",1.8430026993789
"P3",3,"Feature2","x1",1.76059247661082
"P3",3,"Feature3","x11",1.19382908852691
"P3",3,"Feature4","x10",1.16595330855718
"P3",3,"Feature5","x9",1.1091389150955
"P3",3,"Feature6","x12",1.02866773199636
"P3",3,"Feature7","x13",0.916597904063281
"P3",3,"Feature8","x1*sigmoid(x13)",0.914868255209361
"P3",3,"Feature9","x6*x10",0.914868255209361
"P3",3,"Feature10","x1*x5",0.914861357802755
"P3",3,"Feature11","troot(x6)",0.611944016836316
"P3",3,"Feature12","p0(x6)",0.30292048455844
"P3",3,"Feature13","x5",0.197791178805958
"P3",3,"Feature14","p3(x6)",0.0851317445331844
"P3",3,"Feature15","x8",0.0851314033036229
"P3",3,"Feature16","(x10*p3(x6))*x11",0.0851163462405963
"P3",3,"Feature17","(x10*exp_dbl(x13))*x1",0.0851163462391496
"P3",3,"Feature18","x10*x13",0.0850788647156188
"P3",3,"Feature19","sigmoid(x13)",0.0844764352952299
"P3",3,"Feature20","x7",0.0839400621265097
"P3",3,"Feature21","x4",0.00485545363010578
"P4",3,"Feature1","x10",1.67377534411551
"P4",3,"Feature2","x1",1.64774352069481
"P4",3,"Feature3","x11",1.57703540132092
"P4",3,"Feature4","x5",1.45872128364593
"P4",3,"Feature5","x9",1.00146614863571
"P4",3,"Feature6","x6",0.999999940441402
"P4",3,"Feature7","x10*x6",0.998450293500283
"P4",3,"Feature8","x1*sigmoid(x13)",0.998446245212723
"P4",3,"Feature9","x13*(x10*x6)",0.998427990521617
"P4",3,"Feature10","sigmoid(x13)",0.997011288574528
"P4",3,"Feature11","x8",0.995197855062531
"P4",3,"Feature12","x12",0.988707111422267
"P4",3,"Feature13","x13",0.824629701680391
"P4",3,"Feature14","x4",0.0107552201565286
"P4",3,"Feature15","sigmoid(x13)*x9",0.00155369521580556
"P4",3,"Feature16","troot(x6)",0.00155362787045152
"P4",3,"Feature17","x13*x9",0.00155081509377012
"P4",3,"Feature18","x9*x6",0.00154964694682266
"P5",3,"Feature1","x6",1.45718351296203
"P5",3,"Feature2","x1",1.36209849558619
"P5",3,"Feature3","x9",1.29559292696817
"P5",3,"Feature4","x10",1.00001298808949
"P5",3,"Feature5","x11",1.00000638542749
"P5",3,"Feature6","x6*x10",0.99999999989961
"P5",3,"Feature7","x13",0.999877800972693
"P5",3,"Feature8","p0(x13)*x10",0.999846908616644
"P5",3,"Feature9","x8",0.99929499350926
"P5",3,"Feature10","x5",0.993666447168453
"P5",3,"Feature11","x12",0.767878291844371
"P5",3,"Feature12","p3(x1)",0.00435715159209692
"P6",3,"Feature1","x13",1.33217733706227
"P6",3,"Feature2","x1",1.32832007079347
"P6",3,"Feature3","x6*x10",1.00005479376727
"P6",3,"Feature4","x6",0.999999998650736
"P6",3,"Feature5","x9",0.999999997380577
"P6",3,"Feature6","x10",0.999999995261006
"P6",3,"Feature7","p0(x13)*x10",0.999991001458314
"P6",3,"Feature8","x11",0.999959122137825
"P6",3,"Feature9","x8",0.999903696999647
"P6",3,"Feature10","x12",0.994655094113419
"P6",3,"Feature11","x5",0.946333549500189
"P6",3,"Feature12","x13*x1",0.00185203392982654
"P1",4,"Feature1","x1",1.28523327856548
"P1",4,"Feature2","x6",1.04215886993369
"P1",4,"Feature3","x12",1.03910906935561
"P1",4,"Feature4","x10",1.0000535752681
