"Experiment","Run","Number","Feature","Margs"
"S1",23,"Feature1","x9*troot(x13)",0.99999999999996
"S1",23,"Feature2","x9*x13",0.999999999969938
"S1",23,"Feature3","p0(x6)",0.999999994327887
"S1",23,"Feature4","(x9*x6)*x6",0.999999993523577
"S1",23,"Feature5","x6*x9",0.999999979377233
"S1",23,"Feature6","x5",0.999751253417885
"S1",23,"Feature7","x8",0.999368635945013
"S1",23,"Feature8","x10",0.995014363623495
"S1",23,"Feature9","x6",0.847522054107141
"S1",23,"Feature10","x11",0.840871843856152
"S1",23,"Feature11","x7",0.820229000032957
"S1",23,"Feature12","x6",0.748104395833852
"S1",23,"Feature13","x6",0.70796324322711
"S1",23,"Feature14","x11",0.631079358504949
"S1",23,"Feature15","x1",0.60883961199752
"S1",23,"Feature16","x12",0.597468664278553
"S1",23,"Feature17","x1",0.564234314021573
"S1",23,"Feature18","x6",0.289980112319781
"S1",23,"Feature19","x6",0.274221756676797
"S1",23,"Feature20","x9",0.123809308962339
"S2",23,"Feature1","x10*x6",1
"S2",23,"Feature2","exp_dbl(x13)*x1",1
"S2",23,"Feature3","x10",1
"S2",23,"Feature4","x13",0.999999999999997
"S2",23,"Feature5","x11",0.999999999999997
"S2",23,"Feature6","x6",0.999999998940285
"S2",23,"Feature7","x12",0.999991646452805
"S2",23,"Feature8","x8",0.959620964016776
"S2",23,"Feature9","troot(x6)",0.941876388160907
"S2",23,"Feature10","x5",0.9412991976078
"S2",23,"Feature11","x9",0.826366260925541
"S2",23,"Feature12","exp_dbl(x13)",0.755280666682952
"S2",23,"Feature13","x1",0.717272877305321
"S2",23,"Feature14","x1",0.66940299895833
"S2",23,"Feature15","x9",0.516101893584701
"S2",23,"Feature16","x1*x5",0.166387521537294
"S2",23,"Feature17","sigmoid(x6)",0.0354862378722989
"S3",23,"Feature1","troot(x6)",1
"S3",23,"Feature2","(sigmoid(x13)*x5)*x9",1
"S3",23,"Feature3","x9*p3(x6)",1
"S3",23,"Feature4","x5*x9",1
"S3",23,"Feature5","x1",0.999999999990197
"S3",23,"Feature6","x11",0.999999999962836
"S3",23,"Feature7","x10*x13",0.999994988966388
"S3",23,"Feature8","x7",0.999989432370027
"S3",23,"Feature9","x9",0.999988318720215
"S3",23,"Feature10","x12",0.998054998830254
"S3",23,"Feature11","x8",0.831713250992668
"S3",23,"Feature12","x6",0.748538343953296
"S3",23,"Feature13","x6",0.667316240041905
"S3",23,"Feature14","x8",0.584144488121
"S3",23,"Feature15","x9",0.416835576827775
"S4",23,"Feature1","x10",1
"S4",23,"Feature2","x6*x10",1
"S4",23,"Feature3","x6",1
"S4",23,"Feature4","x1*sigmoid(x13)",1
"S4",23,"Feature5","x11",0.99999999999796
"S4",23,"Feature6","x13*(x6*x10)",0.99999939035518
"S4",23,"Feature7","x8",0.999974544967296
"S4",23,"Feature8","x7",0.999921919460856
"S4",23,"Feature9","x9",0.999765675954399
"S4",23,"Feature10","x13",0.998300402176465
"S4",23,"Feature11","x12",0.861052934376639
"S4",23,"Feature12","x12",0.773478106925314
"S4",23,"Feature13","x1",0.661202959695665
"S4",23,"Feature14","x1",0.650522072749426
"S4",23,"Feature15","x5",0.561096323298667
"S4",23,"Feature16","x12",0.5527628761139
"S4",23,"Feature17","x1",0.376485679600183
"S4",23,"Feature18","x1",0.152564536004149
"S4",23,"Feature19","p0(x13)",0.00973735299511764
"S4",23,"Feature20","x3",0.00624136204459763
"S4",23,"Feature21","p0(x6)",0.00159945563003396
"S5",23,"Feature1","x9",1
"S5",23,"Feature2","p3(x6)",1
"S5",23,"Feature3","p3(x6)*p3(x10)",1
"S5",23,"Feature4","p0(x10)",1
"S5",23,"Feature5","x9*sigmoid(troot(x13))",1
"S5",23,"Feature6","x10",1
"S5",23,"Feature7","x1",0.963004774787152
"S5",23,"Feature8","x8",0.919588016570955
"S5",23,"Feature9","x7",0.783338725139337
"S5",23,"Feature10","x11",0.780910565134989
"S5",23,"Feature11","x11",0.718354268038362
"S5",23,"Feature12","x7",0.440269180520139
"S5",23,"Feature13","x11",0.272268818046245
"S5",23,"Feature14","x1",0.182860599589962
"S5",23,"Feature15","x3",0.168101885842762
"S5",23,"Feature16","x13",0.00901589964103167
"S5",23,"Feature17","x6",0.00642991911540156
"S6",23,"Feature1","x10*x13",1
"S6",23,"Feature2","x10*exp_dbl(x13)",1
"S6",23,"Feature3","x6",1
"S6",23,"Feature4","x9",0.99999999999948
"S6",23,"Feature5","x1",0.99999999999948
"S6",23,"Feature6","x8",0.99999999999948
"S6",23,"Feature7","x11",0.999999999999478
"S6",23,"Feature8","x10*x6",0.999999999981472
"S6",23,"Feature9","x10",0.999999983223064
"S6",23,"Feature10","x5",0.99988542152082
"S6",23,"Feature11","x13*x13",0.998693056480503
