"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"S1",1,0.846987870224513,3.27240758229042,5.39077335787098,1389.988,"p0(x6*x13)","x6*x2","x5","x6","exp_dbl(p0(x8))"
"S1",2,0.425483215437548,4.12248766646959,11.2890796121388,1980.322,"x1","exp_dbl(x13)","x5","sigmoid(x6)","x7"
"S1",3,0.900516755032931,2.77710866531021,4.40803666228728,2390.238,"x1","x5","(x9*x6)*(p0(x13)*troot(x9))","troot(((x9*x6)*x6)*x6)","(x9*x6)*troot(x9)"
"S1",4,0.900755196546094,2.78398232323273,4.37619681349314,2115.105,"x1","x12","(x6*x4)*troot(troot(x13))","(x13*x9)*x10","x6*(x5*x13)"
"S1",5,0.881237278770729,3.19907705670679,4.80081463549753,1985.987,"x5","x6","x13*x13","p0(x6*x2)","troot(x6*x2)"
"S1",6,0.888005201730643,3.0061360603571,4.64327839145396,2042.561,"p3(x10)","x1","p0(x11)","x13*(x6*x8)","x6"
"S1",7,0.877103374336986,2.96842313997423,5.02716074932268,2148.411,"troot(p0(x6))","x5","x9","(x9*x6)*x13","x7"
"S1",8,0.868959944526538,3.08979818610157,5.27266843114705,2100.314,"((troot(x10)*x6)*troot(x10))*troot(x6*x13)","troot(troot(x10))","x1","x8","troot(x7)"
"S1",9,0.867293341909804,3.1711285064306,5.05475930752472,2501.196,"x1","p3(x6)","x4","x5","p3(x6)*troot(sigmoid(x8))"
"S1",10,0.845531036225338,3.13219350184947,5.9643345146489,1778.558,"x12*(x6*exp_dbl(1+(x13+troot(troot(x10)))))","x6","x12","x5","x9"
"S1",11,0.891951149848958,3.01754425637756,4.58034427898508,2409.309,"x1","p3(x6)","x4","x8*x4","x10"
"S1",12,0.822829377648039,3.4591918875814,7.12695920244382,2307.874,"x1","sigmoid(p0(x13))*x10","exp_dbl(x6)*x6","x9*x10","exp_dbl(x8*x13)"
"S1",13,0.0658602079389922,5.62714245366795,19.0521810712625,2363.768,"p3(x13)","x9*x6","x5","x6","p3(1+x1)"
"S1",14,0.907639127231036,2.82825469483337,4.28204667414164,2318.151,"x1","x11*x6","p3(exp_dbl(troot(x10)))","x5","exp_dbl(p3(x8))"
"S1",15,0.15536816960189,5.16866035373816,16.5857532707065,2223.944,"x1","troot(x8)","x5","x6","sigmoid(x13)"
"S1",16,0.863842063286228,3.13307134183386,6.0020751543395,1959.865,"p0(p0(troot(x8)+p0(x13)))","x12","p0(x5*x10)","p0(x6)","p3(x1)"
"S1",17,0.871127272956485,3.14084966514368,4.9630125345251,2368.754,"x8*x13","troot(sigmoid(x6))","troot(exp_dbl(x13))","p3(x11)","troot(x8)"
"S1",18,0.774420653704612,3.95486294852158,8.91451170537417,2564.339,"x7","x12*p3(x13)","x8","x9","x11*(x7*x12)"
"S1",19,0.865308071574889,3.16743937444744,5.20846043632589,1859.141,"p3(x10)*exp_dbl(x6)","x12","x5*p3(x8)","p3(x13)","x5*(x6*x9)"
"S1",20,0.880894218914881,3.12751290112266,4.79240452390274,2420.887,"x5","p0(x10)","x6","sigmoid(x8)","x1*x1"
"S1",21,0.859366687258009,3.03423018297413,5.16662520657032,2528.652,"x6*sigmoid(x13)","p0(x1)","x8","x5","p3(x6)*p3(x6)"
"S1",22,0.895284602152613,2.86184572387622,4.49404695818226,1905.411,"p3(x6)","sigmoid(x8)","x9*x6","troot(x9)","x5"
"S1",23,0.877798953139588,3.03497723009205,4.87108323278883,2754.436,"x6*x6","x5","x6","x1","x9"
"S1",24,0.226174869214569,4.91978195681802,14.3420808557489,2246.239,"sigmoid(1+x13)","(x1*x5)*x12","sigmoid(x6)","troot(x8)","x12"
"S1",25,0.898594367635636,2.72193674256225,4.41939653275371,2091.519,"(x7*troot(x9))*exp_dbl(troot(x6))","(x7*troot(x9))*troot(x6)","x10*x11","x6","exp_dbl(troot(x8))"
"S1",26,0.897419800371071,2.79846493014766,4.44303265072421,2567.161,"x1","(x10*x9)*x9","troot(x10*x13)*(x10*x9)","x13*x12","(x13*(x8*(x10*x9)))*x6"
"S1",27,0.892396172421339,2.77315187627562,4.59885842985192,2467.7,"x6*(x10*x11)","p0(x13)*x10","sigmoid(x13)*(x5*x9)","((x6*x6)*x7)*x12","p0(x13)*(x5*(x12*x1))"
"S1",28,0.877102893244586,3.13242233086366,4.9043060548015,2478.571,"x1","sigmoid(x5)*x11","exp_dbl(x13)","x4","x5"
"S1",29,0.878804535070003,2.82161516742517,4.81189850882035,2448.054,"x9*x6","x10","x6","x9","(x9*x6)*x6"
"S1",30,0.870452284208087,3.07156782047606,4.9638329563972,2543.501,"troot(x13)","p0(x8)","x4","x5","x6"
"S2",1,0.885588963004152,2.88302358150884,5.11103393486129,2016.283,"((x11*p3(x6))*x7)*sigmoid(x8)","x3","x5*x12","x10","x6*p0(sigmoid(p0(x8*(x13*x8))))"
