"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"P1","Mod",FALSE,FALSE,FALSE,FALSE,3,0.988045313943242,0.988045313943242,0.118725029547977,3,592.15,"troot(x4*x4)","x4","troot(x4)*x9"
"P1",2,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.053777541289098,2,578.42,"troot(x4*x4)*x9","troot(x4*x4)","NA"
"P1","Mod",FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0625536016550278,1,641.34,"x9*troot(x4*x4)","NA","NA"
"P1",4,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0608611836046546,1,567.05,"troot((x4*x4)*x9)","NA","NA"
"P1",5,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0577739698741514,1,561.27,"troot((x9*x4)*x4)","NA","NA"
"P1",6,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0674594781981807,1,575.83,"x9*troot(x4*x4)","NA","NA"
"P1",7,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.199860232979326,2,591.07,"troot(x4*x4)","x4","NA"
"P1","Mod",FALSE,FALSE,FALSE,FALSE,3,0.996013600229108,0.996013600229108,0.0253150881889352,3,578.25,"(troot(x4)*troot(x4))*x9","x4","pm05(x4)*x4"
"P1",9,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.00375333699577107,1,592.29,"troot(x6*(x4*x4))","NA","NA"
"P1","Mod",FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0601756262778957,1,597.57,"troot(x9*(x4*x4))","NA","NA"
"P1","Mod",FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0640767374787521,1,639.56,"troot(x4*x4)*x9","NA","NA"
"P1","Mod",FALSE,TRUE,FALSE,FALSE,3,0.991033897321603,0.988045313943242,0.11044891098679,4,593.7,"troot(x4*x4)","x4","troot(x9*x4)*troot(x4)"
"P1",13,TRUE,FALSE,FALSE,FALSE,3,0.991200560138521,0.988267413518028,0.107048235382022,4,603.57,"x4","troot(x4)","(troot(x4)*troot(x4))*troot(x6)"
"P1",14,FALSE,TRUE,FALSE,FALSE,1,0.999999695829097,0.99999974420151,0.0275095700748293,2,605.97,"troot((x9*x4)*x4)","troot(x4*x4)*x9","NA"
"P1",15,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0155905934603753,1,635.620000000001,"troot((x4*x7)*x4)","NA","NA"
"P1",16,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0156772117148555,1,579.029999999999,"troot(x4*(x7*x4))","NA","NA"
"P1",17,FALSE,FALSE,FALSE,FALSE,3,0.988045313943242,0.988045313943242,0.127313585942739,3,603.719999999999,"troot(x4*x4)","x4","x9*troot(x4)"
"P1",18,FALSE,FALSE,FALSE,TRUE,1,0.999999116795182,0.999999312170039,0.0513312749134548,2,592.91,"troot(x4*x4)*troot(x7)","troot(x4*x4)","NA"
