"Experiment","Run","Number","Feature","Margs"
"P1",1,"Feature1","x4*x4",1
"P1",1,"Feature2","x4",0.999997955171973
"P1",1,"Feature3","x4*x10",0.997977473114177
"P1",1,"Feature4","x8",0.00293807213314929
"P2",1,"Feature1","troot(x4)*troot(x4)",0.999177179787894
"P2",1,"Feature2","x4*x2",0.659434726584345
"P3",1,"Feature1","x4",1
"P3",1,"Feature2","x4*x4",0.999980327348142
"P3",1,"Feature3","x1",0.00627305102720929
"P4",1,"Feature1","troot(x4*x4)",0.975793877816828
"P4",1,"Feature2","x4",0.0242061221831725
"P4",1,"Feature3","troot(x4)",0.0242061221831725
"P5",1,"Feature1","troot(x4)",0.999995600424827
"P5",1,"Feature2","x4",0.999995599806702
"P5",1,"Feature3","x8",0.00313117107658411
"P5",1,"Feature4","x9",0.00310514389934014
"P5",1,"Feature5","x1",0.00228182120583336
"P6",1,"Feature1","x4",1
"P6",1,"Feature2","troot(x4)",0.998375590394466
"P6",1,"Feature3","x6",0.0090861694122521
"P6",1,"Feature4","x10",0.00162913133297435
"P6",1,"Feature5","x10*p3(x4)",0.0016244062464166
"P6",1,"Feature6","p3(x4)",0.0015252533958532
