"Experiment","Run","Number","Feature","Margs"
"P1",4,"Feature1","x4",1
"P1",4,"Feature2","x3",0.788198207779278
"P1",4,"Feature3","x2",0.781598191785
"P1",4,"Feature4","x10",0.781590193518013
"P1",4,"Feature5","x6",0.781484965151504
"P1",4,"Feature6","x8",0.781178464475672
"P1",4,"Feature7","x9",0.0363633101680366
"P1",4,"Feature8","x1",0.00687805946274757
"P2",4,"Feature1","x4",1
"P2",4,"Feature2","p3(1+(x1+(x6+x4)))",1
"P2",4,"Feature3","x6",0.997447943292515
"P2",4,"Feature4","x8",0.361893093861398
"P2",4,"Feature5","x7",0.27983013289616
"P2",4,"Feature6","x1",0.0100186147902321
"P2",4,"Feature7","x3",0.00418069990233389
"P2",4,"Feature8","sigmoid(x4)",0.00107738092330595
"P3",4,"Feature1","x4",1
"P3",4,"Feature2","x4*x4",1
"P3",4,"Feature3","x1",0.00587993758530117
"P3",4,"Feature4","x2*x8",0.00244629490744548
"P4",4,"Feature1","x4",1
"P4",4,"Feature2","(x2*x8)*x6",0.99999999998161
"P4",4,"Feature3","x2*x8",0.999999961333192
"P4",4,"Feature4","x2*x4",0.999996172708574
"P4",4,"Feature5","(x2*x8)*x4",0.676634412111344
"P4",4,"Feature6","x1",0.327817876622503
"P5",4,"Feature1","x4",1
"P5",4,"Feature2","x4*(x3*x4)",1
"P5",4,"Feature3","x3*x4",0.999999997580981
"P5",4,"Feature4","x1",0.00612670274929819
"P6",4,"Feature1","x4",1
"P6",4,"Feature2","x4*x4",1
"P6",4,"Feature3","x1",0.00593014215469754
