"Experiment","Run","Number","Feature","Margs"
"S1",15,"Feature1","troot((x6*x4)*x4)",1
"S1",15,"Feature2","x2",0.331735963065171
"S1",15,"Feature3","x4",0.0992838704772593
"S1",15,"Feature4","x9",0.0441364138678226
"S1",15,"Feature5","x6",0.0094249619894904
"S2",15,"Feature1","troot(x4*(x6*x4))",1
"S2",15,"Feature2","x4",0.112051115221753
"S2",15,"Feature3","x7",0.0136980204366547
"S2",15,"Feature4","troot(x4)",0.00102087798974778
"S3",15,"Feature1","troot(x7)*troot(x4*x4)",0.658402497172048
"S3",15,"Feature2","x4*x3",0.341994588480767
"S3",15,"Feature3","troot(x4*x4)",0.341599537130266
"S3",15,"Feature4","x10",0.143388061113608
"S3",15,"Feature5","exp_dbl(x10)",0.00356324245993341
"S4",15,"Feature1","x4*x2",0.999998074670712
"S4",15,"Feature2","troot(x4*x4)",0.999726269011372
"S4",15,"Feature3","x6",0.231624003743077
"S4",15,"Feature4","x2",0.188449824721135
"S4",15,"Feature5","x7",0.10963583984409
"S4",15,"Feature6","x4",0.0641137655000265
"S4",15,"Feature7","x5",0.0110414783398677
"S4",15,"Feature8","x9",0.00256236704179752
"S5",15,"Feature1","troot(x4*(x4*x7))",0.999999999857279
"S5",15,"Feature2","x4",0.131840263439261
"S5",15,"Feature3","x7",0.0813794658110333
"S5",15,"Feature4","x9",0.0651433211959918
"S5",15,"Feature5","x1",0.0529932886186516
"S5",15,"Feature6","p3(x4)",0.00168626141550994
"S6",15,"Feature1","x4",0.99998040688683
"S6",15,"Feature2","x10*x4",0.999869629391111
"S6",15,"Feature3","troot(x4)*x4",0.999866000281606
"S6",15,"Feature4","x10",0.153969988307512
