"Experiment","Run","Number","Feature","Margs"
"S1",8,"Feature1","troot(x4*x4)*x7",1
"S1",8,"Feature2","x9*troot(x4*x4)",1
"S1",8,"Feature3","troot(x4*x4)",1
"S1",8,"Feature4","x1*(x9*(x2*x4))",0.99306460741657
"S1",8,"Feature5","x8",0.924691454070465
"S1",8,"Feature6","x9",0.06567418207395
"S1",8,"Feature7","x1*(sigmoid(x9)*(x2*x4))",0.00693539270615762
"S2",8,"Feature1","troot((x6*x4)*x4)",1
"S2",8,"Feature2","x4",0.999999999999999
"S2",8,"Feature3","x6*x4",0.999999999999998
"S2",8,"Feature4","x5",0.441235851669084
"S2",8,"Feature5","troot(x6)",0.00106762066755073
"S3",8,"Feature1","troot(x6*x4)*troot(x4)",1
"S3",8,"Feature2","x4",1
"S3",8,"Feature3","x7*x4",0.999999942736867
"S3",8,"Feature4","x5",0.447891521309042
"S3",8,"Feature5","x2",0.0902400621356677
"S4",8,"Feature1","troot(x4)*troot(x4*x6)",1
"S4",8,"Feature2","x4",1
"S4",8,"Feature3","x4*x7",0.999999998562476
"S5",8,"Feature1","troot(x4)*p0(x4)",1
"S5",8,"Feature2","troot(((troot(x4)*p0(x4))*x4)*troot(x4))",1
"S5",8,"Feature3","x4",1
"S5",8,"Feature4","(troot(x4)*(x4*x3))*x7",1
"S5",8,"Feature5","p3(x4*x8)",1
"S5",8,"Feature6","x4*x8",1
"S5",8,"Feature7","x4*x3",1
"S5",8,"Feature8","x7",0.999999999150414
"S5",8,"Feature9","x9",0.999968691002561
"S5",8,"Feature10","x5",0.999434674151871
"S5",8,"Feature11","sin_deg(x4)",0.530941078326104
"S5",8,"Feature12","x8",0.0930618993246737
"S6",8,"Feature1","troot(x4*x4)",1
"S6",8,"Feature2","x6*troot(x4*x4)",1
"S6",8,"Feature3","x9",0.57451903183963
"S6",8,"Feature4","x5",0.475116949194429
"S6",8,"Feature5","x10",0.0288668673254555
"S6",8,"Feature6","x2",0.0232367991766192
