"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",1,FALSE,FALSE,FALSE,FALSE,15,0.494705946720892,0.494705946720892,0.0300271541437384,0.20639127775165,631.786594109748,0.998560723231899,15,1965.457,"x4*x4","x4","x6",1,1,1
"S2",1,TRUE,FALSE,FALSE,FALSE,1,0.999999656085019,0.999999312170039,0.000809586307553598,0.00163731628287768,684.777371260963,0.999999909421151,2,1823.574,"troot(x6*(x4*x4))","troot(x4*x4)",NA,1,0.998857447618518,NA
"S4",1,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.0015282104833395,0.00239264524053599,700.057650136979,0.999999806572483,5,2218.269,"troot(x4*x4)","troot(x4*x4)*x9","troot(x4*x4)*x7",1,1,1
"S5",1,FALSE,FALSE,FALSE,FALSE,11,0.777147403043364,0.777147403043364,0.082495938585544,0.592459650260438,634.516554382553,0.988140150126644,11,1851.896,"x2*x4","x4","exp_dbl(troot(x4))",1,1,1
"S6",1,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000922098294689725,0.00159158738203328,683.955183587772,0.999999914410082,4,1920.313,"troot(x4*x4)*x6","troot(x4*x4)","x9",1,1,0.590058656544184
"S1",2,FALSE,FALSE,FALSE,FALSE,14,0.613984972879755,0.613984972879755,0.086449938060107,0.595773504614689,590.778481174598,0.98800710568995,14,2101.995,"p3(x6)","x9*(x4*x2)","(x10*x4)*x6",1,1,1
"S2",2,FALSE,FALSE,FALSE,FALSE,5,0.213510647017688,0.213510647017688,0.00178277041195002,0.00327026250168552,701.410762933293,0.999999638650994,5,2117.353,"troot(x4*((x4*troot(x9))*x6))","p3(x5)","troot((x4*(x4*x8)))",1,1,1
"S3",2,FALSE,FALSE,FALSE,FALSE,8,0.410588489021402,0.410588489021402,0.00179325638048106,0.00365356565622566,687.661132439271,0.999999548980345,8,2012.735,"troot(x4*x4)*x7","x9*troot(x4*x4)","(x9*troot(x4*x4))*x7",1,1,1
"S4",2,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000919405799273897,0.00158929469901345,683.955183587772,0.999999914656489,4,2310.609,"x6*troot(x4*x4)","troot(x4*x4)","x9",1,1,0.540005355616029
"S5",2,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.00154856532720433,0.00240439548518613,700.057650136979,0.999999804667979,5,2046.314,"x7*troot(x4*x4)","troot(x4*x4)","troot(x4*x4)*x9",1,1,1
"S6",2,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.00156300437876824,0.00242973316069976,700.057650136979,0.999999800529444,5,2704.715,"troot(x4*x4)","x9*troot(x4*x4)","x7*troot(x4*x4)",1,1,0.999999999652302
"S1",3,FALSE,FALSE,FALSE,FALSE,8,0.384541957998663,0.384541957998663,0.00158422046677788,0.00238408079495779,695.312635688231,0.999999807954748,8,2492.979,"x7*troot(x4*x4)","x9*troot(x4*x4)","troot(x4*x4)",1,1,1
"S2",3,FALSE,TRUE,FALSE,FALSE,6,0.400667993611521,0.300779384637327,0.0014774984537536,0.00239733403862576,697.842148775098,0.999999805813632,7,1841.603,"troot((x4*x4)*x9)","troot(x4*x4)","x7*troot(x4*x4)",1,1,1
"S3",3,FALSE,FALSE,FALSE,FALSE,6,0.517560521539111,0.517560521539111,0.00148988672748962,0.00233128394316218,684.667953992209,0.999999816366471,6,2326.217,"troot(x4)*troot(x4)","x9*(troot(x4)*troot(x4))","x7*(troot(x4)*troot(x4))",1,1,1
"S4",3,FALSE,FALSE,TRUE,FALSE,4,0.588068472332437,0.485085642491137,0.00152246317815855,0.00274265050024198,671.078349896605,0.999999745842709,5,2634.788,"(troot((x9*x4)*(x4*x9))*x9)*(x7*x7)","sigmoid(p0(x5))","troot((x9*x4)*(x4*x9))",1,0.99985884287898,0.999413978615105
"S5",3,FALSE,FALSE,FALSE,FALSE,6,0.491002715510606,0.491002715510606,0.00182211233212236,0.00311086920512219,660.420055964077,0.999999673017026,6,2109.209,"(troot(x4)*troot(x4))*x9","((troot(x4)*troot(x4))*x9)*x7","x9*(((troot(x4)*troot(x4))*x9)*x7)",1,1,1
"S6",3,FALSE,FALSE,FALSE,FALSE,4,0.504767665872465,0.504767665872465,0.00119843046438053,0.00179353270772009,638.651815421276,0.99999989131234,4,2275.46,"troot(1+(x6+(x4*x4)))","troot(1+(x6+(x4*x4)))*x6","exp_dbl(x4)",1,1,0.996723272606513
"S1",4,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000917652731621757,0.00158992527960463,673.695386157929,0.999999914588752,4,1758.689,"troot(x4)*troot(x4)","(troot(x4)*troot(x4))*x6","x9",1,0.999999983478873,0.583208601891366
"S2",4,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.00155042737294576,0.00240696964114017,700.057650136979,0.999999804249509,5,2284.517,"troot(x4*x4)*x9","troot(x4*x4)*x7","troot(x4*x4)",1,1,1
"S3",4,FALSE,FALSE,FALSE,FALSE,11,0.720304052700049,0.720304052700049,0.00210330600240883,0.00406862896662135,629.684399494008,0.999999440683271,11,2403.583,"troot(x4)","p3(p0(x4))*x6","x4*x6",1,1,1
"S4",4,FALSE,FALSE,FALSE,FALSE,5,0.578492550727803,0.578492550727803,0.00148786445671584,0.00217510128245323,674.410276142837,0.999999840147069,5,2192.337,"(troot(x4)*troot(x4))*x9","(x6*(troot(x4)*troot(x4)))*x7","troot(x4)*troot(x4)",1,1,1
"S5",4,FALSE,FALSE,FALSE,TRUE,7,0.602349870387321,0.545542863096892,0.00151459715055123,0.00249718952261869,653.575729900445,0.999999789299947,8,1947.992,"x7*x4","troot(x7*(x4*x4))","x7",1,1,0.999999999974695
"S6",4,FALSE,FALSE,FALSE,FALSE,4,0.461304886941158,0.461304886941158,0.00194495274002422,0.00315041775396088,547.551225651094,0.999999664650295,4,2012.67,"x6*troot(x6*((x4*x4)*x7))","troot(1+(troot(x6*((x4*x4)*x7))+(troot((x4*x4)*x7)+(x4*(x4*sigmoid(x7))))))","x6",1,1,0.999903838709383
"S1",5,FALSE,FALSE,FALSE,FALSE,15,0.421761500508118,0.421761500508118,1.33191312974643,9.72096372623283,512.8298811721,-2.19286297685042,15,1896.206,"troot(x4)*(x5*x4)","troot((x4*x3)*x4)","x4",1,1,1
"S2",5,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.0015524110111304,0.00241083954556671,684.66795399221,0.999999803619551,5,1909.651,"troot((x4*x4))","troot((x4*x4))*x9","p3(x5)",1,1,0.999999997524688
"S3",5,TRUE,FALSE,FALSE,FALSE,2,0.995239647353662,0.992859471030492,0.000829684449810543,0.00180510826274922,687.881431327976,0.999999889904861,3,2370.245,"troot((x6*x4)*x4)","x4","x7*x4",1,0.999998836995134,0.999998723397732
"S4",5,FALSE,FALSE,FALSE,FALSE,3,0.714245288772719,0.714245288772719,0.00122621103761227,0.00173922780389366,663.001318236872,0.999999897794428,3,1908.686,"troot(((x4*x6)*x6)*x4)","troot(1+((x4*x4)+x4))","x5",1,1,0.961106542679647
"S5",5,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.00155052914557548,0.00240725701772135,684.66795399221,0.999999804202763,5,2397.021,"(troot(x4)*troot(x4))*x7","(troot(x4)*troot(x4))*x9","troot(x4)*troot(x4)",1,1,1
"S6",5,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.00155012446101566,0.00240571196566817,700.057650136979,0.99999980445402,5,2330.414,"troot(x4*x4)","x9*troot(x4*x4)","x7*troot(x4*x4)",1,1,1
