"Experiment","Run","Number","Feature","Margs"
"P1",11,"Feature1","troot(x6*(x4*x4))",0.963215384564685
"P1",11,"Feature2","x4",0.915047867891705
"P1",11,"Feature3","x6*x4",0.903448039927397
"P1",11,"Feature4","troot(x4*x4)",0.0910330575021207
"P1",11,"Feature5","x6*troot(x4*x4)",0.0370550028132278
"P1",11,"Feature6","x9*(x8*x4)",0.00529135399645441
"P1",11,"Feature7","x8",0.00146301616294396
"P2",11,"Feature1","x4",1
"P2",11,"Feature2","troot((x6*x4)*x4)",1
"P2",11,"Feature3","x4*x6",1
"P3",11,"Feature1","troot((x4*x4)*x6)",0.999986676165349
"P3",11,"Feature2","troot(x4*x4)",0.999768087012021
"P3",11,"Feature3","x6",0.249898434167424
"P3",11,"Feature4","x9",0.13201398545542
"P4",11,"Feature1","troot(x4*(x4*x9))",0.993177467957964
"P4",11,"Feature2","troot((x9*x4)*x4)*x6",0.993177467957964
"P4",11,"Feature3","p3(x5)",0.993177467957813
"P4",11,"Feature4","p3(x7)",0.993177139606316
"P4",11,"Feature5","x7",0.0760845912854127
"P4",11,"Feature6","troot(x6*(x4*x4))",0.00682253204203631
"P4",11,"Feature7","troot(x4*x4)",0.00678539038614919
"P5",11,"Feature1","troot(x4*(x4*x7))",1
"P5",11,"Feature2","troot((x4*x6)*(x4*x6))",1
"P5",11,"Feature3","troot(x4*(x4*x7))*x7",0.999999999997827
"P5",11,"Feature4","x7*(x7*x7)",0.991160990275552
"P5",11,"Feature5","x7",0.961989986899335
"P5",11,"Feature6","x2",0.116031317489192
"P5",11,"Feature7","x7*x7",0.0519440438443009
"P6",11,"Feature1","troot(x4*x4)",1
"P6",11,"Feature2","x6*troot(x4*x4)",0.999999998632064
"P6",11,"Feature3","x5",0.349150827207419
"P6",11,"Feature4","x7",0.120553425122368
"P6",11,"Feature5","exp_dbl(x5)",0.00536330369968171
