"Experiment","Run","Number","Feature","Margs"
"P1",29,"Feature1","(x10*x4)*x4",1
"P1",29,"Feature2","x4",1
"P1",29,"Feature3","x4*x4",1
"P1",29,"Feature4","x4*x7",1
"P1",29,"Feature5","p0(x4)",1
"P1",29,"Feature6","p0(x4)*x4",1
"P1",29,"Feature7","(x10*x4)*x2",1
"P1",29,"Feature8","x10*x4",1
"P1",29,"Feature9","p3(p0(x4))",1
"P1",29,"Feature10","sin_deg(x4*x4)",0.999998740091512
"P1",29,"Feature11","x5",0.994289926426539
"P1",29,"Feature12","sigmoid(sigmoid(x7))",0.975688747247983
"P1",29,"Feature13","x7",0.973704730916607
"P1",29,"Feature14","sigmoid(x7)",0.0257954739854332
"P2",29,"Feature1","x4*x4",1
"P2",29,"Feature2","x4*((x4*x2)*x3)",1
"P2",29,"Feature3","x4*x2",1
"P2",29,"Feature4","x4*x3",1
"P2",29,"Feature5","p0(x4)*(x6*x4)",1
"P2",29,"Feature6","troot(x4)",1
"P2",29,"Feature7","(x4*x2)*x3",1
"P2",29,"Feature8","p3(p0(x4))",1
"P2",29,"Feature9","x9",1
"P2",29,"Feature10","x4",1
"P2",29,"Feature11","x6*x4",1
"P2",29,"Feature12","x6*(x4*x2)",1
"P2",29,"Feature13","x6",0.103398426565753
"P3",29,"Feature1","troot(x4)",1
"P3",29,"Feature2","x4",1
"P3",29,"Feature3","x9*(troot(x4)*x4)",1
"P3",29,"Feature4","x6*x4",1
"P3",29,"Feature5","exp_dbl(x7)",1
"P3",29,"Feature6","x2*x4",0.999999961520021
"P3",29,"Feature7","x4*(x2*x4)",0.999993648063392
"P3",29,"Feature8","x4*x4",0.999981034053654
"P3",29,"Feature9","troot(troot(x4)*x4)",0.996840594737052
"P3",29,"Feature10","x5",0.165573515360054
"P3",29,"Feature11","exp_dbl(x4)",0.00613589470406961
"P3",29,"Feature12","troot(x4)*x4",0.00330041337320419
"P3",29,"Feature13","x4*p0(x4*(x6*(x4*x4)))",0.00317842913662404
"P3",29,"Feature14","(x2*x4)*x5",0.00315944693057217
"P4",29,"Feature1","x5*x4",1
"P4",29,"Feature2","x4",1
"P4",29,"Feature3","x9*x4",1
"P4",29,"Feature4","troot(x9*((x9*x4)*x4))",1
"P4",29,"Feature5","x7*(x7*x4)",1
"P4",29,"Feature6","x5",0.994814599907977
"P4",29,"Feature7","x4*(x5*x4)",0.899520659000405
"P4",29,"Feature8","(x5*x4)*(x5*x4)",0.0955406262136045
"P4",29,"Feature9","x3",0.067285418828272
"P4",29,"Feature10","(x9*x4)*(x5*x4)",0.00557498325993137
"P5",29,"Feature1","troot(x4)*troot(x4)",1
"P5",29,"Feature2","x6*(troot(x4)*troot(x4))",0.999999999989489
"P5",29,"Feature3","x9",0.515628580189704
"P5",29,"Feature4","exp_dbl(x6)",0.00104889058804711
"P6",29,"Feature1","sin_deg(troot(x4))*sin_deg(troot(x4))",1
"P6",29,"Feature2","x4",1
"P6",29,"Feature3","(x6*sin_deg(troot(x4)))*sin_deg(troot(x4))",1
"P6",29,"Feature4","x4*x4",1
"P6",29,"Feature5","x4*sin_deg(x9)",0.999999999999907
"P6",29,"Feature6","p3(sin_deg(troot(x4))*sin_deg(troot(x4)))",0.999999999999906
"P6",29,"Feature7","x5",0.998597365108311
"P6",29,"Feature8","x9",0.985777067338772
