"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",1,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000917652731621755,673.695386157929,0.999999914588752,4,NA,"troot(x4)*troot(x4)","(troot(x4)*troot(x4))*x6","x9",1,0.999999983478873,0.583208601891366
"P2",1,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,5.42252016407406e+269,700.057650136979,-Inf,5,NA,"troot(x4*x4)","troot(x4*x4)*x9","troot(x4*x4)*x7",1,0.999999917425367,0.999999917425367
"P3",1,TRUE,FALSE,FALSE,FALSE,5,0.674305625146887,0.609166750176264,1.20210196863956e+221,687.881431327976,-Inf,6,NA,"troot((x6*x4)*x4)","x4","x7*x4",0.999999402196294,0.999979714633912,0.730168122139777
"P4",1,FALSE,FALSE,FALSE,FALSE,3,0.714244403037591,0.714244403037591,0.000977706266956257,683.748086912524,0.999999912401488,3,NA,"troot(x4*x4)","troot(x4*x4)*x6","x5",0.999999999023315,0.999911974824022,0.364311260683495
"P5",1,FALSE,FALSE,FALSE,FALSE,6,0.504396544739986,0.504396544739986,0.00148152105423464,647.268767612854,0.99999967612207,6,NA,"((troot(x4)*troot(x4))*x9)*x6","(troot(x4)*troot(x4))*x9","x9*((troot(x4)*troot(x4))*x9)",1,1,1
"P6",1,FALSE,FALSE,FALSE,FALSE,8,0.750351261974582,0.750351261974582,0.00732004260934981,583.743173598071,0.999964360338726,8,NA,"x4","troot(x4*x4)","x4*sigmoid(1+p3(sin_deg(x4)))",0.999999999999985,0.999999992899474,0.999999992899474
"P1",2,FALSE,FALSE,FALSE,FALSE,3,0.999982575791203,0.999982575791203,3.16336200574444e+291,602.295155491231,-Inf,3,NA,"troot(1+((x4*x4)+x5))","x9*troot(1+((x4*x4)+x5))","x7*troot((x4*x4)+x5)",0.999998393860793,0.999998393860793,0.993441868109446
"P2",2,TRUE,TRUE,FALSE,FALSE,9,0.722587104364402,0.660939833394638,0.00105796518049337,687.684548542455,0.999999894502207,11,NA,"x4","troot((x6*x4)*x4)","x6*x4",0.752977720725719,0.733433840438823,0.733433840438822
"P3",2,FALSE,FALSE,FALSE,FALSE,5,0.414563800477888,0.414563800477888,2.1716644909033e+276,673.695386157928,-Inf,5,NA,"x6*(troot(x4)*troot(x4))","troot(x4)*troot(x4)","x9",0.999999999999903,0.999999999983221,0.686621895658741
"P4",2,FALSE,FALSE,TRUE,FALSE,6,0.322522870506913,0.209610050308459,0.00190410794966033,692.930307846024,0.999999564441237,7,NA,"x7*troot(x4*x4)","troot(x9*x4)*troot(x9*x4)","x5*x5",0.999971493440851,0.999971493440851,0.999968204157608
"P5",2,FALSE,FALSE,TRUE,FALSE,7,0.729852182894504,0.6912596673512,2.09121164808964e+280,657.517890754876,-Inf,8,NA,"x4*x9","troot((x4*x9)*(x4*x9))","x4",1,1,1
"P6",2,FALSE,FALSE,FALSE,FALSE,11,0.799810278613786,0.799810278613786,1.24217354155348e+273,640.910664380327,-Inf,11,NA,"x4*p0(x4)","x9","x4",0.999999999999998,0.999999998763684,0.999999906750096
"P1",3,FALSE,FALSE,FALSE,FALSE,15,0.524444888178364,0.524444888178364,0.300517736093997,584.98610907617,0.843294289743339,15,NA,"x4","x4*x4","x6",1,0.999999806744417,0.999994861022108
"P2",3,FALSE,FALSE,FALSE,FALSE,7,0.424484828665895,0.424484828665895,0.00158854653141864,695.312635688231,0.999999804660899,7,NA,"troot(x4*x4)","troot(x4*x4)*x9","troot(x4*x4)*x7",1,0.999988318028271,0.999988318028271
"P3",3,FALSE,TRUE,TRUE,FALSE,5,0.601947748045292,0.442726959432545,0.00168170604416397,679.720565730869,0.999999778751339,7,NA,"troot(x4*(x9*x4))","troot(x4*(x9*x4))*x7","troot((x9*x4)*(x9*x4))",0.999999970807798,0.999999970807798,0.999999970807798
"P4",3,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,5.39502544103509e+220,700.057650136978,-Inf,5,NA,"troot(x4*x4)","troot(x4*x4)*x7","troot(x4*x4)*x9",1,0.999999898424823,0.999999898424823
"P5",3,FALSE,FALSE,FALSE,TRUE,8,0.488426254587179,0.424479671233035,2.7608020443743e+289,645.160585034541,-Inf,9,NA,"x4","troot(x4*(x7*x4))","x4*x7",1,1,1
"P6",3,TRUE,FALSE,FALSE,FALSE,3,0.782114101805464,0.709485469073952,9.41666235736101e+262,682.464833670682,-Inf,4,NA,"x4","x4*x9","troot(x4)*troot(x4*x6)",0.999844614729678,0.999844614729678,0.999844614729678
"P1",4,FALSE,FALSE,FALSE,FALSE,13,0.706660721694156,0.706660721694156,0.0583388793565651,602.299336312986,0.994309004773073,13,NA,"x4","troot(x4)*x4","troot(x4)",1,1,0.999999999999737
"P2",4,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000825928259557648,687.684548542455,0.999999893605285,3,NA,"troot((x4*x6)*x4)","x4","x4*x6",0.979634207223034,0.979621919544211,0.979474182489556
"P3",4,FALSE,FALSE,FALSE,FALSE,5,0.314599591611576,0.314599591611576,0.000917008505526902,683.81122596715,0.999999911846048,5,NA,"x6*troot(x4*x4)","troot(x4*x4)","x9",1,1,0.524842528456983
"P4",4,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000919469632068458,683.955183587772,0.999999915963948,4,NA,"troot(x4*x4)","troot(x4*x4)*x6","x9",1,0.950815603657493,0.371180635711789
"P5",4,FALSE,FALSE,FALSE,FALSE,6,0.659412675170091,0.659412675170091,0.00151556695667104,685.626222586267,0.999999804931576,6,NA,"troot(x4*x4)","x9*troot(x4*x4)","(troot(x4)*troot(x4))*x7",1,0.859964677228359,0.859964677228359
"P6",4,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,1.18884819407834e+250,683.955183587772,-Inf,4,NA,"troot(x4*x4)","troot(x4*x4)*x6","x9",1,0.999999999526477,0.571805870346252
