"Experiment","Run","Number","Feature","Margs"
"S1",4,"Feature1","x4",0.996797945352193
"S1",4,"Feature2","x9*troot(x4)",0.95054863543548
"S1",4,"Feature3","troot(x4)",0.0370096760013027
"S1",4,"Feature4","troot(x9*x4)",0.0110151894180984
"S1",4,"Feature5","x9*x4",0.00324965749102108
"S1",4,"Feature6","pm05(pm05(x4*x4))",0.00150932348817228
"S2",4,"Feature1","troot(x4*x4)*x9",1
"S2",4,"Feature2","x4",0.00638230087967031
"S3",4,"Feature1","troot(x4*x4)*x9",1
"S3",4,"Feature2","x3",0.00639358597368531
"S3",4,"Feature3","x4",0.00629365936353925
"S3",4,"Feature4","x5",0.00581759936145768
"S4",4,"Feature1","troot(x4*x4)*x9",1
"S5",4,"Feature1","sigmoid(pm05(x4))",0.685963633752737
"S5",4,"Feature2","x7*x4",0.375403768371944
"S5",4,"Feature3","x4*x9",0.315294650662446
"S5",4,"Feature4","x4*pm05(x4)",0.314036408115655
"S5",4,"Feature5","x4",0.313899558408898
"S5",4,"Feature6","x3",0.00537290087727416
"S5",4,"Feature7","x7",0.00189049998129932
"S6",4,"Feature1","troot(x4*x4)*x9",1
"S6",4,"Feature2","x10",0.0064751971081124
