"Experiment","Run","Number","Feature","Margs"
"S1",12,"Feature1","(troot(x4)*troot(x4))*x9",1
"S1",12,"Feature2","((troot(x4)*troot(x4))*x7)*x7",1
"S1",12,"Feature3","troot(x4)*troot(x4)",1
"S1",12,"Feature4","p3(x5)",0.802532356982862
"S1",12,"Feature5","x4*(x5*x8)",0.104400612271329
"S1",12,"Feature6","x5*x8",0.0912225353420179
"S1",12,"Feature7","troot(x4)*(x5*x8)",0.00259016302840799
"S2",12,"Feature1","(troot(x4)*troot(x4))*troot(x9)",1
"S2",12,"Feature2","x8*(troot(x4)*troot(x4))",1
"S2",12,"Feature3","x8",0.999999999939553
"S2",12,"Feature4","p3(x5*x5)",0.793560081522085
"S2",12,"Feature5","x7",0.760800089337647
"S2",12,"Feature6","sin_deg(x7)",0.743592580964585
"S2",12,"Feature7","x7*x7",0.370763857741518
"S2",12,"Feature8","p3(x5)",0.209333329886222
"S2",12,"Feature9","x10",0.0219670247337102
"S2",12,"Feature10","sin_deg(x7)*x7",0.00126901777136045
"S3",12,"Feature1","troot(x4*x4)",1
"S3",12,"Feature2","x6*troot(x4*x4)",1
"S3",12,"Feature3","troot(x4*(x4*x8))",0.999160557324402
"S3",12,"Feature4","x5",0.991388134373007
"S3",12,"Feature5","sin_deg(x5)",0.985479539790117
"S3",12,"Feature6","x7",0.111536174850299
"S3",12,"Feature7","p3(sin_deg(x5))",0.0145878712775148
"S4",12,"Feature1","troot(x4*(x6*(x4*troot(x9))))",1
"S4",12,"Feature2","troot(x4*(x4*x8))",1
"S4",12,"Feature3","x1*(x4*(x4*x9))",0.999999999999864
"S4",12,"Feature4","x1",0.0836828815088358
"S4",12,"Feature5","x2",0.0663057752995848
"S4",12,"Feature6","x8",0.00847903563540091
"S5",12,"Feature1","x7*(p3(x6)*troot((x9*x4)*x4))",1
"S5",12,"Feature2","troot((x9*x4)*x4)",1
"S5",12,"Feature3","x7",0.930378647894775
"S5",12,"Feature4","p3(x5)",0.780662848135163
"S5",12,"Feature5","p3(x5*x5)",0.217350203730393
"S5",12,"Feature6","x5",0.141912463871305
"S5",12,"Feature7","x3",0.1109500187661
"S5",12,"Feature8","x4",0.0365484222851
"S6",12,"Feature1","troot(x4*x4)",1
"S6",12,"Feature2","x9*troot(x4*x4)",1
"S6",12,"Feature3","x7*troot(x4*x4)",1
"S6",12,"Feature4","p3(x5)",0.998128729813784
"S6",12,"Feature5","x8",0.740275511035328
"S6",12,"Feature6","p3(x5)*x9",0.00187073950951666
