"Experiment","Run","Number","Feature","Margs"
"S1",1,"Feature1","x4*x4",1
"S1",1,"Feature2","x4",1
"S1",1,"Feature3","x6",1
"S1",1,"Feature4","troot(troot(x6*x4))",1
"S1",1,"Feature5","x10*x4",1
"S1",1,"Feature6","x4*troot(troot(x6*x4))",1
"S1",1,"Feature7","x6*x4",1
"S1",1,"Feature8","(x10*x4)*x9",1
"S1",1,"Feature9","troot(x6*x4)",1
"S1",1,"Feature10","(x10*x4)*x2",1
"S1",1,"Feature11","x9",0.999947256875385
"S1",1,"Feature12","exp_dbl(x6*x4)",0.842644113397947
"S1",1,"Feature13","x8",0.427419051019944
"S1",1,"Feature14","sigmoid(troot(x6*x4))",0.157357241663042
"S1",1,"Feature15","x5",0.10431402943276
"S2",1,"Feature1","troot(x6*(x4*x4))",1
"S2",1,"Feature2","troot(x4*x4)",0.998857447618518
"S2",1,"Feature3","x4*x3",0.00151804923436928
"S4",1,"Feature1","troot(x4*x4)",1
"S4",1,"Feature2","troot(x4*x4)*x9",1
"S4",1,"Feature3","troot(x4*x4)*x7",1
"S4",1,"Feature4","x8",0.987521897796502
"S4",1,"Feature5","p3(x5)",0.987521375846345
"S4",1,"Feature6","p3(p3(x5))",0.0127995534886448
"S4",1,"Feature7","x2",0.00113410293106867
"S5",1,"Feature1","x2*x4",1
"S5",1,"Feature2","x4",1
"S5",1,"Feature3","exp_dbl(troot(x4))",1
"S5",1,"Feature4","troot(troot(x4))",1
"S5",1,"Feature5","x4*x9",1
"S5",1,"Feature6","x7*troot(x4)",1
"S5",1,"Feature7","troot(x4)",1
"S5",1,"Feature8","(x4*x9)*x9",1
"S5",1,"Feature9","x4*x4",0.999999999999931
"S5",1,"Feature10","x5*x4",0.999999999999905
"S5",1,"Feature11","(x4*x9)*troot(x4)",0.999999999998396
"S6",1,"Feature1","troot(x4*x4)*x6",1
"S6",1,"Feature2","troot(x4*x4)",1
"S6",1,"Feature3","x9",0.590058656544184
"S6",1,"Feature4","x5",0.448258832453667
"S6",1,"Feature5","p3(x5)",0.0787608361938244
"S6",1,"Feature6","x2",0.00395478859268632
"S1",2,"Feature1","p3(x6)",1
"S1",2,"Feature2","x9*(x4*x2)",1
"S1",2,"Feature3","(x10*x4)*x6",1
"S1",2,"Feature4","x2*(x4*x6)",1
"S1",2,"Feature5","(x4*x6)*x6",1
"S1",2,"Feature6","x10*x4",1
"S1",2,"Feature7","x4*x6",1
"S1",2,"Feature8","x4*(x4*x2)",1
"S1",2,"Feature9","x4",1
"S1",2,"Feature10","troot(((x4*x6)*x6)*(x4*x6))",1
"S1",2,"Feature11","x9",0.999652727045568
"S1",2,"Feature12","x4*x5",0.982276092832292
"S1",2,"Feature13","x4*x4",0.718145061411806
"S1",2,"Feature14","x5",0.479317014240459
"S2",2,"Feature1","troot(x4*((x4*troot(x9))*x6))",1
"S2",2,"Feature2","p3(x5)",1
"S2",2,"Feature3","troot((x4*(x4*x8)))",1
"S2",2,"Feature4","x7",0.994779682299484
"S2",2,"Feature5","x6",0.972793560454249
"S2",2,"Feature6","p3(x6)",0.0307536819077569
"S3",2,"Feature1","troot(x4*x4)*x7",1
"S3",2,"Feature2","x9*troot(x4*x4)",1
"S3",2,"Feature3","(x9*troot(x4*x4))*x7",1
"S3",2,"Feature4","x5",0.999999999498351
"S3",2,"Feature5","sin_deg(x5)",0.999999949876368
"S3",2,"Feature6","x9",0.994608845138674
"S3",2,"Feature7","x5*x7",0.990944988051931
"S3",2,"Feature8","x6",0.94224302206997
"S4",2,"Feature1","x6*troot(x4*x4)",1
"S4",2,"Feature2","troot(x4*x4)",1
"S4",2,"Feature3","x9",0.540005355616029
"S4",2,"Feature4","x5",0.464903116449081
"S4",2,"Feature5","x10",0.0413484273248167
"S4",2,"Feature6","x8",0.0369866540940215
"S4",2,"Feature7","p3(x5)",0.00391940610956348
"S5",2,"Feature1","x7*troot(x4*x4)",1
"S5",2,"Feature2","troot(x4*x4)",1
"S5",2,"Feature3","troot(x4*x4)*x9",1
