"Experiment","Run","Number","Feature","Margs"
"P2",18,"Feature1","x7*((x6*troot((x4*x4)))*x9)",1
"P2",18,"Feature2","troot(x9)*troot((x4*x4))",1
"P2",18,"Feature3","p3(x5)",0.998286540427564
"P2",18,"Feature4","x8",0.687408543446337
"P2",18,"Feature5","x5",0.150459367406643
"P3",18,"Feature1","x4*troot(x4)",1
"P3",18,"Feature2","x4",1
"P3",18,"Feature3","(x10*x4)*x4",1
"P3",18,"Feature4","(x10*x4)*x2",1
"P3",18,"Feature5","x10*x4",1
"P3",18,"Feature6","x4*x3",0.999999999999946
"P3",18,"Feature7","p0(x4*x4)",0.999999999999928
"P3",18,"Feature8","x4*x4",0.999962038502301
"P3",18,"Feature9","x9*(x4*x3)",0.999865960671151
"P3",18,"Feature10","troot(x4)*x7",0.99955551704701
"P3",18,"Feature11","x9",0.991936893385795
"P3",18,"Feature12","troot(x4)",0.877215791821005
"P3",18,"Feature13","x7*x7",0.76620921178462
"P3",18,"Feature14","x7",0.19360071550644
"P3",18,"Feature15","troot(x4)*p0(x4*x4)",0.13809808930483
"P5",18,"Feature1","p3(p0(x4)*p0(x4))",1
"P5",18,"Feature2","x4",1
"P5",18,"Feature3","p0(x4)",1
"P5",18,"Feature4","x7*p0(x4)",1
"P5",18,"Feature5","troot(x4)",1
"P5",18,"Feature6","(x9*troot(x4))*troot(x4)",1
"P5",18,"Feature7","x4*p3(p0(x4))",1
"P5",18,"Feature8","x5",0.999999889855952
"P5",18,"Feature9","x8",0.322971119444256
