"Experiment","Run","Number","Feature","Margs"
"P2",34,"Feature1","troot((x4*x9)*x4)",0.996021684492096
"P2",34,"Feature2","troot((x4*x9)*x4)*x6",0.996021684492096
"P2",34,"Feature3","p3(x7)",0.996020745475249
"P2",34,"Feature4","p3(x5)",0.994032598398721
"P2",34,"Feature5","x7",0.0763026580234136
"P2",34,"Feature6","x5",0.0039783155079035
"P2",34,"Feature7","troot(x4*x4)",0.00397831550790347
"P2",34,"Feature8","troot(x4*x4)*x9",0.00397831550790347
"P2",34,"Feature9","x7*(troot(x4*x4)*x6)",0.00397831550790347
"P2",34,"Feature10","x6*p3(x5)",0.00199468762539545
"P4",34,"Feature1","troot((x4*x6)*x4)",0.999963330728323
"P4",34,"Feature2","troot(x4*x4)",0.999872372904151
"P4",34,"Feature3","x5",0.329096049035802
"P4",34,"Feature4","x7",0.0575367705926437
"P4",34,"Feature5","x2",0.00668326281923893
