"Experiment","Run","Number","Feature","Margs"
"P1",1,"Feature1","troot(x4)*troot(x4)",1
"P1",1,"Feature2","(troot(x4)*troot(x4))*x6",0.999999983478873
"P1",1,"Feature3","x9",0.583208601891366
"P1",1,"Feature4","x5",0.477151230537139
"P1",1,"Feature5","troot(x4)",0.0038912669266062
"P1",1,"Feature6","p0(x10)",0.00153290743061518
"P4",1,"Feature1","troot(x4*x4)",0.999999999023315
"P4",1,"Feature2","troot(x4*x4)*x6",0.999911974824022
"P4",1,"Feature3","x5",0.364311260683495
"P4",1,"Feature4","x6",0.0764758802842136
"P5",1,"Feature1","((troot(x4)*troot(x4))*x9)*x6",1
"P5",1,"Feature2","(troot(x4)*troot(x4))*x9",1
"P5",1,"Feature3","x9*((troot(x4)*troot(x4))*x9)",1
"P5",1,"Feature4","x2*x1",0.999875613934853
"P5",1,"Feature5","x1",0.988481123181134
"P5",1,"Feature6","x5",0.270926373423527
"P5",1,"Feature7","x2",0.0750058568737075
"P6",1,"Feature1","x4",0.999999999999985
"P6",1,"Feature2","troot(x4*x4)",0.999999992899474
"P6",1,"Feature3","x4*sigmoid(1+p3(sin_deg(x4)))",0.999999992899474
"P6",1,"Feature4","x4*x7",0.999999992899474
"P6",1,"Feature5","x6",0.99425788548066
"P6",1,"Feature6","(x4*x7)*(x4*x7)",0.992697414455905
"P6",1,"Feature7","troot(x4*x4)*x4",0.982493379555598
"P6",1,"Feature8","x5",0.318419104679942
"P6",1,"Feature9","x1",0.0759662657280926
"P6",1,"Feature10","sin_deg(x6)",0.0114879281633808
"P6",1,"Feature11","x4*(troot(x4*x4)*x4)",0.00731677642971193
"P6",1,"Feature12","p3(x5)",0.00417104269691316
"P2",2,"Feature1","x4",0.752977720725719
"P2",2,"Feature2","troot((x6*x4)*x4)",0.733433840438823
"P2",2,"Feature3","x6*x4",0.733433840438822
"P2",2,"Feature4","x5",0.332172120183759
"P2",2,"Feature5","troot(x4*x4)",0.266566159561177
"P2",2,"Feature6","troot(x4)",0.248993263835216
"P2",2,"Feature7","troot(x4)*x7",0.248957823288769
"P2",2,"Feature8","troot(x4*x9)",0.248957823288769
"P2",2,"Feature9","troot((x4*x9)*x4)",0.248957823288769
"P2",2,"Feature10","x7",0.248957823288754
"P2",2,"Feature11","p3(x5)",0.248957823288709
"P2",2,"Feature12","troot(x4*x4)*x6",0.0176083362724082
"P2",2,"Feature13","x9",0.00948761496385711
"P2",2,"Feature14","x3",0.00271875591328047
"P2",2,"Feature15","x1",0.00182104483562948
"P4",2,"Feature1","x7*troot(x4*x4)",0.999971493440851
"P4",2,"Feature2","troot(x9*x4)*troot(x9*x4)",0.999971493440851
"P4",2,"Feature3","x5*x5",0.999968204157608
"P4",2,"Feature4","x8",0.999942521373791
"P4",2,"Feature5","x9",0.999590399724599
"P4",2,"Feature6","sin_deg(x5*x5)",0.999580546170184
"P4",2,"Feature7","troot(x8)*troot(x4*x4)",0.999565615815419
"P4",2,"Feature8","troot(x8)",0.00552156202807715
"P4",2,"Feature9","p0(x8)",0.00301021515815137
"P1",3,"Feature1","x4",1
"P1",3,"Feature2","x4*x4",0.999999806744417
"P1",3,"Feature3","x6",0.999994861022108
"P1",3,"Feature4","((x4*x2)*x6)*troot(x3*x4)",0.999991515713939
"P1",3,"Feature5","x3*(x4*(x4*x2))",0.999991515713939
"P1",3,"Feature6","x4*x6",0.999991515713939
"P1",3,"Feature7","x4*(x4*x2)",0.999991515713735
"P1",3,"Feature8","x3*x4",0.999991507082154
"P1",3,"Feature9","(x3*x4)*x5",0.99999142432179
"P1",3,"Feature10","(x4*x4)*troot(troot(x4))",0.999991037652532
"P1",3,"Feature11","troot(x4)",0.999986849138701
"P1",3,"Feature12","p0(x4)",0.99709728894879
"P1",3,"Feature13","troot(troot(x4))",0.694287814803359
"P1",3,"Feature14","sigmoid(troot(x4))",0.308618023688105
"P1",3,"Feature15","x7",0.124159673541648
"P2",3,"Feature1","troot(x4*x4)",1
"P2",3,"Feature2","troot(x4*x4)*x9",0.999988318028271
"P2",3,"Feature3","troot(x4*x4)*x7",0.999988318028271
"P2",3,"Feature4","x5*x5",0.898989184749969
"P2",3,"Feature5","x8",0.724865556410517
"P2",3,"Feature6","x5",0.4706095056589
"P2",3,"Feature7","exp_dbl(x5)",0.108776900867714
"P2",3,"Feature8","p3(x7)",0.00929940594517739
"P3",3,"Feature1","troot(x4*(x9*x4))",0.999999970807798
"P3",3,"Feature2","troot(x4*(x9*x4))*x7",0.999999970807798
"P3",3,"Feature3","troot((x9*x4)*(x9*x4))",0.999999970807798
"P3",3,"Feature4","x5",0.999999238225051
"P3",3,"Feature5","sin_deg(x5)",0.999874760572345
"P3",3,"Feature6","x4",0.112038083990836
"P3",3,"Feature7","x7",0.105795006655188
"P1",4,"Feature1","x4",1
"P1",4,"Feature2","troot(x4)*x4",1
"P1",4,"Feature3","troot(x4)",0.999999999999737
"P1",4,"Feature4","x4*x4",0.999999999999737
"P1",4,"Feature5","x10*x4",0.999999999999737
"P1",4,"Feature6","x7*x4",0.999999999999737
"P1",4,"Feature7","x3*((x4*x10)*x10)",0.999999999354961
"P1",4,"Feature8","exp_dbl(x7)",0.999999999349719
"P1",4,"Feature9","x3*((troot(x4)*x4)*x10)",0.999999972666798
"P1",4,"Feature10","x7",0.995508928581848
"P1",4,"Feature11","troot(troot(x4)*x4)",0.882556707789223
"P1",4,"Feature12","x2",0.285312733941089
"P1",4,"Feature13","p0(x4)",0.118703285809948
"P2",4,"Feature1","troot((x4*x6)*x4)",0.979634207223034
"P2",4,"Feature2","x4",0.979621919544211
"P2",4,"Feature3","x4*x6",0.979474182489556
"P2",4,"Feature4","troot(x4*x4)",0.0203657927769306
"P2",4,"Feature5","x6*troot(x4*x4)",0.0203657927769306
"P2",4,"Feature6","x9",0.00937398393228025
"P2",4,"Feature7","x8",0.00152240567696437
"P2",4,"Feature8","x6",0.00123995799158763
"P2",4,"Feature9","x10",0.0011084897080368
"P3",4,"Feature1","x6*troot(x4*x4)",1
"P3",4,"Feature2","troot(x4*x4)",1
"P3",4,"Feature3","x9",0.524842528456983
"P3",4,"Feature4","x6",0.189825371961989
"P3",4,"Feature5","x3",0.143252720518155
"P4",4,"Feature1","troot(x4*x4)",1
"P4",4,"Feature2","troot(x4*x4)*x6",0.950815603657493
"P4",4,"Feature3","x9",0.371180635711789
"P4",4,"Feature4","x5",0.358199325637338
"P4",4,"Feature5","x7",0.0728242879115221
"P4",4,"Feature6","x9*(troot(x4*x4)*x6)",0.0491481774392996
"P4",4,"Feature7","x6",0.0315842210400616
"P4",4,"Feature8","x4",0.0219413320808696
"P4",4,"Feature9","x8",0.00971353893909221
"P4",4,"Feature10","p0(x2)",0.00420546344923519
"P4",4,"Feature11","x10",0.00334462727289372
"P5",4,"Feature1","troot(x4*x4)",1
"P5",4,"Feature2","x9*troot(x4*x4)",0.859964677228359
"P5",4,"Feature3","(troot(x4)*troot(x4))*x7",0.859964677228359
"P5",4,"Feature4","x1*(x2*x4)",0.859964677228359
"P5",4,"Feature5","troot(x4*x4)*x6",0.140035322771641
"P5",4,"Feature6","x9",0.114869091982041
"P5",4,"Feature7","x4",0.0858996683714909
"P5",4,"Feature8","x2",0.0660111783630832
"P5",4,"Feature9","x7",0.0175416868425187
"P1",5,"Feature1","x4",0.999537147469321
"P1",5,"Feature2","x8*(x4*(exp_dbl(x3)*x4))",0.999493882110797
"P1",5,"Feature3","x7*((x3*x4)*(x4*x3))",0.999493882110797
"P1",5,"Feature4","x7*(x4*x3)",0.999493882110797
"P1",5,"Feature5","p0(x10+x3)*x4",0.999493882110797
"P1",5,"Feature6","(x7*x4)*x4",0.999493882110797
"P1",5,"Feature7","troot((x7*x4)*x4)",0.999493882110797
"P1",5,"Feature8","x4*x3",0.999493882110797
"P1",5,"Feature9","x4*(exp_dbl(x3)*x4)",0.999493882110797
"P1",5,"Feature10","troot(x4)",0.9994938820875
"P1",5,"Feature11","x8",0.999493785624436
"P1",5,"Feature12","x7",0.999438336101516
"P1",5,"Feature13","sin_deg(x4*x3)",0.999421786473932
"P1",5,"Feature14","p0(x7)",0.0493725775788778
"P2",5,"Feature1","troot(x4*x4)",1
"P2",5,"Feature2","troot(x4*x4)*x6",0.999999998337405
"P2",5,"Feature3","x9",0.569662682462085
"P2",5,"Feature4","x5",0.444233793045146
"P2",5,"Feature5","x2",0.0681110827422526
"P3",5,"Feature1","troot(x4)*troot(x4*x6)",0.999999999974696
"P3",5,"Feature2","x6*x4",0.948432152882578
"P3",5,"Feature3","x4",0.94840395085673
"P3",5,"Feature4","troot(x4*x4)",0.0516004872839258
"P3",5,"Feature5","sin_deg(x5)",0.00440596714256404
"P4",5,"Feature1","troot((x4*x9)*x4)*x7",1
"P4",5,"Feature2","troot((x4*x9)*x4)",1
"P4",5,"Feature3","x9*troot((x4*x9)*x4)",1
"P4",5,"Feature4","x5*x5",0.918809738429539
"P4",5,"Feature5","x8",0.723038356741562
"P4",5,"Feature6","x5",0.426455222129034
"P4",5,"Feature7","exp_dbl(x5)",0.0815322482306418
"P4",5,"Feature8","x6",0.0240099099314288
"P4",5,"Feature9","x3",0.0069512918254535
"P5",5,"Feature1","x4",1
