"Experiment","Run","Number","Feature","Margs"
"P1",16,"Feature1","troot(x4*x4)",0.970643369237165
"P1",16,"Feature2","x4*x2",0.940800805361721
"P1",16,"Feature3","x4",0.0968455585909314
"P1",16,"Feature4","x6",0.082796072062067
"P1",16,"Feature5","x10",0.0651101015644833
"P1",16,"Feature6","x1",0.0318642566535337
"P1",16,"Feature7","x4*x10",0.031105297969598
"P1",16,"Feature8","x4*troot(x4)",0.0293021896985347
"P1",16,"Feature9","x5",0.0280501207312302
"P1",16,"Feature10","x3*x4",0.0226814821845174
"P1",16,"Feature11","x2",0.00718894739857121
"P1",16,"Feature12","x4*x8",0.00311597714011679
"P1",16,"Feature13","(x4*x2)*x9",0.00290087115749889
"P1",16,"Feature14","x4*x4",0.00179920789273497
"P1",16,"Feature15","p3(x4)",0.00112949313922233
"P2",16,"Feature1","troot((x4*x4)*x7)",0.84573410933064
"P2",16,"Feature2","troot(x4*x4)",0.149467142314247
"P2",16,"Feature3","x4*x2",0.149416796968735
"P2",16,"Feature4","x2",0.142011930835722
"P2",16,"Feature5","x10",0.11623553824785
"P2",16,"Feature6","x4",0.0824572344369095
"P2",16,"Feature7","x7",0.0588881907866215
"P2",16,"Feature8","x9",0.0340968578001679
"P2",16,"Feature9","x1",0.0314632808345937
"P2",16,"Feature10","x3",0.00850259065131283
"P2",16,"Feature11","x4*x10",0.00488958160831554
"P2",16,"Feature12","x4*troot(x4)",0.00479874835252242
"P2",16,"Feature13","x6*x2",0.00122015009395194
"P3",16,"Feature1","troot(x4*x4)",0.999986067295601
"P3",16,"Feature2","x2*x4",0.962355594254203
"P3",16,"Feature3","x4",0.0939289118978141
"P3",16,"Feature4","x1",0.0654821176483491
"P3",16,"Feature5","x4*x3",0.0200331193990001
"P3",16,"Feature6","x6*x4",0.00887933436881921
"P3",16,"Feature7","x4*x7",0.00494758643377294
"P3",16,"Feature8","x9*x4",0.00487875761970365
"P3",16,"Feature9","x7",0.00149182734120466
"P4",16,"Feature1","troot(x6*(x4*x4))",0.89975342270083
"P4",16,"Feature2","troot(x4*x4)",0.0998062991633649
"P4",16,"Feature3","x4*x2",0.0930601045828747
"P4",16,"Feature4","x9",0.0662354614699244
"P4",16,"Feature5","x7",0.0165189536219221
"P4",16,"Feature6","x4*x3",0.00426029235787179
"P4",16,"Feature7","x4",0.0034928380244288
"P4",16,"Feature8","x4*x9",0.00254008624563321
"P5",16,"Feature1","x4*x2",0.923186267668538
"P5",16,"Feature2","troot(x4*x4)",0.921255387175345
"P5",16,"Feature3","x4",0.0627998066154681
"P5",16,"Feature4","x4*x10",0.0592791008922641
"P5",16,"Feature5","x4*troot(x4)",0.058557795760833
"P5",16,"Feature6","troot((x9*x4)*(x9*x4))",0.0175345560332612
"P5",16,"Feature7","x7",0.0131210709343386
"P5",16,"Feature8","x8",0.0045267554478731
"P5",16,"Feature9","x4*x4",0.00326404936805018
"P5",16,"Feature10","x4*p0(x4)",0.00193094984018556
"P5",16,"Feature11","x5",0.0015469820139985
"P6",16,"Feature1","troot(x4*x4)",0.999965720171372
"P6",16,"Feature2","x4*x2",0.999965719544302
"P6",16,"Feature3","x10",0.105872899397737
"P6",16,"Feature4","x2",0.0789235744656869
"P6",16,"Feature5","x7",0.0649832580043699
"P6",16,"Feature6","x5",0.0427347427384753
"P6",16,"Feature7","x4",0.0378894774627678
"P6",16,"Feature8","x8",0.0360610873832053
"P6",16,"Feature9","x9",0.00873316152131223
