"Experiment","Run","Number","Feature","Margs"
"P6",31,"Feature1","troot(x4*x4)",0.863325731510729
"P6",31,"Feature2","x2*x4",0.416862812583403
"P6",31,"Feature3","x4",0.410616130591216
"P6",31,"Feature4","x3",0.347670331988845
"P6",31,"Feature5","x9*x4",0.200420078844741
"P6",31,"Feature6","x7*x4",0.197908111271185
"P6",31,"Feature7","x4*x3",0.172427929777981
"P6",31,"Feature8","troot(x4*(x4*x9))",0.135767157193875
"P6",31,"Feature9","x10",0.0482391041170348
"P6",31,"Feature10","x7",0.0352128449558975
"P6",31,"Feature11","x8",0.0101582626784167
"P6",31,"Feature12","troot(x4)",0.00589242486579072
"P6",31,"Feature13","x4*x6",0.00541695649496581
"P6",31,"Feature14","x5",0.00145887293089257
