"Experiment","Run","Number","Feature","Margs"
"P5",42,"Feature1","x4",0.999559865818301
"P5",42,"Feature2","troot(x4)*x4",0.99578989836657
"P5",42,"Feature3","p3(x4)",0.742052953823063
"P5",42,"Feature4","x7*x4",0.663599096856753
"P5",42,"Feature5","x9",0.416040909941134
"P5",42,"Feature6","x5",0.393597595389112
"P5",42,"Feature7","x8",0.373180016504187
"P5",42,"Feature8","x3",0.368263261916121
"P5",42,"Feature9","x9*x4",0.337120763860376
"P5",42,"Feature10","x4*x4",0.297277014699212
"P5",42,"Feature11","troot(x4)",0.00640331802039472
