"Experiment","Run","Number","Feature","Margs"
"P2",1,"Feature1","troot((x7*x4)*x4)",0.544030029621316
"P2",1,"Feature2","troot(x4*(x4*x6))",0.45270545576817
"P2",1,"Feature3","x2",0.14187942152756
"P2",1,"Feature4","x4",0.0447332565547399
"P2",1,"Feature5","x3",0.038188755630704
"P2",1,"Feature6","x4*x10",0.00326451216176521
"P2",1,"Feature7","x4*troot(x4)",0.00308686049145404
"P2",1,"Feature8","exp_dbl(x10)",0.00238300189680648
"P3",1,"Feature1","x4",0.999999990391881
"P3",1,"Feature2","x4*p0(x4)",0.987013348937264
"P3",1,"Feature3","x4*x7",0.64522453295345
"P3",1,"Feature4","x4*x6",0.239397580655096
"P3",1,"Feature5","x7",0.131745538448729
"P3",1,"Feature6","x4*x10",0.131360897160453
"P3",1,"Feature7","p3(x4)",0.129649829965816
"P3",1,"Feature8","x2",0.0955720745193453
"P3",1,"Feature9","x6",0.0715439906380793
"P3",1,"Feature10","(x3*x4)*x4",0.0414129575035217
"P3",1,"Feature11","x4*x4",0.0129788384699532
"P3",1,"Feature12","x4*x2",0.00388692164311666
"P3",1,"Feature13","troot(x4)",0.00294108716567002
"P3",1,"Feature14","x5",0.00234242431739362
"P4",1,"Feature1","troot(x4*x4)",0.890518545639729
"P4",1,"Feature2","x4*x2",0.852506385625232
"P4",1,"Feature3","x2",0.194058472304622
"P4",1,"Feature4","x4",0.18611093366179
"P4",1,"Feature5","x4*troot(x4)",0.10948128262526
"P4",1,"Feature6","x10*x4",0.109477852958907
"P4",1,"Feature7","x4*x3",0.0380121729898245
"P4",1,"Feature8","x7",0.00508676265810246
"P6",1,"Feature1","troot(x4*(x4*x6))",0.90198393126731
"P6",1,"Feature2","x4",0.100324825225406
"P6",1,"Feature3","troot(x4*x4)",0.0976037074865983
"P6",1,"Feature4","x2*x4",0.0957828668846755
"P6",1,"Feature5","x4*x6",0.00177892640565577
"P1",2,"Feature1","troot(x4*x4)",0.938526199633978
"P1",2,"Feature2","x4*x2",0.898464639532983
"P1",2,"Feature3","x4",0.150605685655713
"P1",2,"Feature4","x9",0.0840427680851172
"P1",2,"Feature5","x4*x10",0.0576916832170389
"P1",2,"Feature6","troot(x4)*x4",0.0563581090988974
"P1",2,"Feature7","x3*x4",0.0255236195987404
"P1",2,"Feature8","x8*x4",0.0146369966025816
"P1",2,"Feature9","x6",0.00945019998940833
"P1",2,"Feature10","x4*x6",0.00378211452862555
"P1",2,"Feature11","p0(x4)",0.00342940501215687
"P1",2,"Feature12","x4*p0(x4)",0.00323353784743345
"P1",2,"Feature13","x4*x4",0.00175664608640783
"P1",2,"Feature14","x6*x6",0.00157850939430101
"P1",2,"Feature15","x4*p0(p0(x4))",0.00117779376212549
"P2",2,"Feature1","troot((x4*x6)*x4)",0.75838737281082
"P2",2,"Feature2","x2",0.284081259822634
"P2",2,"Feature3","troot(x4*x4)",0.241614925386037
"P2",2,"Feature4","x2*x4",0.241604942291032
"P2",2,"Feature5","x4",0.0203174892550403
"P3",2,"Feature1","troot(x4*x4)",0.990279644465611
"P3",2,"Feature2","x4*x2",0.929676696011956
"P3",2,"Feature3","x2",0.189342403741115
"P3",2,"Feature4","x4",0.111792228772437
"P3",2,"Feature5","x4*x3",0.0452318861678354
