"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P2",1,TRUE,FALSE,FALSE,TRUE,1,0.635475343487986,-0.0935728909563669,0.0374392479524325,-94.3406692127019,0.999924690932246,3,NA,"troot((x7*x4)*x4)","troot(x4*(x4*x6))","x2",0.544030029621316,0.45270545576817,0.14187942152756
"P3",1,FALSE,FALSE,FALSE,FALSE,7,0.836559620271695,0.836559620271695,0.053008934110038,-102.146901329513,0.999344432123138,7,NA,"x4","x4*p0(x4)","x4*x7",0.999999990391881,0.987013348937264,0.64522453295345
"P4",1,FALSE,FALSE,FALSE,FALSE,6,0.678663800257779,0.678663800257779,0.031143785982885,-96.7669448270558,0.999957580475368,6,NA,"troot(x4*x4)","x4*x2","x2",0.890518545639729,0.852506385625232,0.194058472304622
"P6",1,TRUE,FALSE,FALSE,FALSE,1,0.996429648845025,0.992859297690051,0.0311156094506771,-94.5244319535552,0.999967172331295,2,NA,"troot(x4*(x4*x6))","x4",NA,0.90198393126731,0.100324825225406,NA
"P1",2,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.0335055854787275,-96.7669448270558,0.999949814598433,3,NA,"troot(x4*x4)","x4*x2","x4",0.938526199633978,0.898464639532983,0.150605685655713
"P2",2,TRUE,FALSE,FALSE,FALSE,3,0.528879255650799,0.371839007534399,0.0333406319491637,-94.5244319535552,0.999948486579636,4,NA,"troot((x4*x6)*x4)","x2","troot(x4*x4)",0.75838737281082,0.284081259822634,0.241614925386037
"P3",2,FALSE,FALSE,FALSE,FALSE,4,0.527094080073312,0.527094080073312,0.0381625730524848,-96.7669448270558,0.999911665040735,4,NA,"troot(x4*x4)","x4*x2","x2",0.990279644465611,0.929676696011956,0.189342403741115
"P5",2,FALSE,FALSE,FALSE,FALSE,8,0.730115482321582,0.730115482321582,0.0343992795274239,-100.717970320674,0.999907606581906,8,NA,"x4","troot(x4*x4)","x4*x6",0.991874583596215,0.695247625105279,0.40040047360477
"P6",2,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.038658076256297,-96.7669448270559,0.999877078678166,2,NA,"troot(x4*x4)","x4*x2",NA,0.999853513294078,0.981176786605211,NA
"P1",3,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.043276752685404,-94.3406692127019,0.999820546168125,2,NA,"troot((x4*x7)*x4)","x4",NA,0.988415667621682,0.170959980148457,NA
