"Experiment","Run","Number","Feature","Margs"
"P5",17,"Feature1","x8*x4",1
"P5",17,"Feature2","troot(x4)*troot(x4)",1
"P5",17,"Feature3","x7",1
"P5",17,"Feature4","x8*troot(x4)",0.999999999999927
"P5",17,"Feature5","x3*(x8*x4)",0.999999948373389
"P5",17,"Feature6","x8",0.999804543215973
"P5",17,"Feature7","(troot(x4)*troot(x4))*x8",0.990932252478503
"P5",17,"Feature8","x4",0.0737419938405963
"P5",17,"Feature9","sin_deg(troot(x4))*(x8*troot(x4))",0.00906779895566069
"P1",17,"Feature1","troot(x4*x4)",1
"P1",17,"Feature2","x6*troot(x4*x4)",0.999999981906047
"P1",17,"Feature3","x5",0.363804552251201
"P1",17,"Feature4","x6",0.076159725955572
"P1",17,"Feature5","x5*x6",0.00212475415089944
"P2",17,"Feature1","troot(x4)*troot(x4)",1
"P2",17,"Feature2","(troot(x4)*troot(x4))*x6",0.999999809220569
"P2",17,"Feature3","sigmoid(x6)",0.00211341889191505
"P2",17,"Feature4","x6",0.00110275277095597
"P3",17,"Feature1","troot(troot(1+x4)*x4)",1
"P3",17,"Feature2","x4",1
"P3",17,"Feature3","(x10*x4)*x4",1
"P3",17,"Feature4","x10*x4",1
"P3",17,"Feature5","(troot(1)*x4)*x7",1
"P3",17,"Feature6","((x10*x4)*x4)*x2",1
"P3",17,"Feature7","troot(x4)",1
"P3",17,"Feature8","troot(exp_dbl(troot(x4)))",1
"P3",17,"Feature9","x9",0.948396158769008
"P3",17,"Feature10","sin_deg(x4)",0.794434023733315
"P3",17,"Feature11","x6",0.590250804863694
"P3",17,"Feature12","x10",0.0824087293781102
"P3",17,"Feature13","troot(x10*x4)",0.0300744524951277
"P4",17,"Feature1","x7*troot(x4*x4)",1
"P4",17,"Feature2","troot(x4*x4)",1
"P4",17,"Feature3","x9*troot(x4*x4)",1
"P4",17,"Feature4","x5",0.999963588404343
"P4",17,"Feature5","sigmoid(x5)",0.977198706871035
"P4",17,"Feature6","x8",0.778688107861118
"P4",17,"Feature7","x10",0.05613998022307
"P4",17,"Feature8","exp_dbl(x5)",0.0237159134154948
"P6",17,"Feature1","troot(1+(x8+(x4*x4)))",1
"P6",17,"Feature2","x9*troot(1+(x8+(x4*x4)))",1
"P6",17,"Feature3","x5*x5",0.999999999988887
"P6",17,"Feature4","sigmoid(x4)",0.981479307402697
"P6",17,"Feature5","troot(1+(x8+(x4*x4)))*x7",0.935356569907768
"P6",17,"Feature6","x7",0.153499111706401
"P6",17,"Feature7","x10",0.0766374531365049
"P6",17,"Feature8","x9*x7",0.0717727989793311
"P6",17,"Feature9","x2",0.0074284185402493
