"Experiment","Run","Number","Feature","Margs"
"P5",6,"Feature1","troot(x4*x4)",1
"P5",6,"Feature2","x6*(troot(x4)*troot(x4))",1
"P5",6,"Feature3","x9",0.581100283960428
"P5",6,"Feature4","x5",0.476364696641996
"P5",6,"Feature5","x5*x9",0.00124347380807097
"P1",6,"Feature1","troot((x6*x4)*(x6*x4))",0.995955066371705
"P1",6,"Feature2","troot(x4)*troot(x4)",0.995953122936952
"P1",6,"Feature3","x3",0.122052778412361
"P1",6,"Feature4","x5*x10",0.0124968157952063
"P1",6,"Feature5","troot(1+(((x4*x6)*x4)+x3))*sigmoid(x4)",0.00404493362829532
"P1",6,"Feature6","x3*(x8*x4)",0.00404493362829532
"P1",6,"Feature7","(x3*(x8*x4))*sin_deg(x9)",0.00404493361211739
"P1",6,"Feature8","x9",0.0037792904682748
"P1",6,"Feature9","x6",0.00373761947634592
"P1",6,"Feature10","x8",0.00326679182174676
"P1",6,"Feature11","x7",0.00326441190642868
"P1",6,"Feature12","x5",0.00316779663619298
"P1",6,"Feature13","troot(x4)",0.00210799886819527
"P2",6,"Feature1","troot((x4*x4)*x6)",0.870669247221852
"P2",6,"Feature2","x4*x6",0.870111497588569
"P2",6,"Feature3","x4",0.870111473914445
"P2",6,"Feature4","troot(x9*(x4*x4))",0.129328798945249
"P2",6,"Feature5","x7*(troot(x9*(x4*x4))*(x9*x6))",0.129328798945249
"P2",6,"Feature6","x5",0.092453954167076
"P2",6,"Feature7","sigmoid(x5)",0.082496440592026
"P2",6,"Feature8","x3",0.0744980058518726
"P2",6,"Feature9","x8",0.0663295221427747
"P2",6,"Feature10","x5*x5",0.0395179190113398
"P2",6,"Feature11","x10",0.0197903675004956
"P2",6,"Feature12","x1",0.00851810173805624
"P2",6,"Feature13","(x5*x5)*x5",0.00612140761263774
"P3",6,"Feature1","x4",1
"P3",6,"Feature2","x4*(x4*(sin_deg(x4)*(x8*x4)))",0.999999999999999
"P3",6,"Feature3","sin_deg(x4)*(x8*x4)",0.999999999999999
"P3",6,"Feature4","x7*x4",0.999999999999999
"P3",6,"Feature5","troot(1+(x4*x4))",0.999999999999999
"P3",6,"Feature6","x4*(sin_deg(x4)*(x8*x4))",0.999999999999999
"P3",6,"Feature7","x9",0.999999993828748
"P3",6,"Feature8","x7",0.999953518509077
"P3",6,"Feature9","sin_deg(x4*x4)",0.991562059993552
"P4",6,"Feature1","troot(x9*(x4*x4))",0.999999983181692
"P4",6,"Feature2","x5",0.99999237777094
"P4",6,"Feature3","troot(x4*x4)",0.999797584815784
"P4",6,"Feature4","troot(x4*x4)*x7",0.999797567997476
"P4",6,"Feature5","exp_dbl(x5)",0.996226324788918
"P4",6,"Feature6","x9",0.450750334131651
"P4",6,"Feature7","x2",0.0824574859053987
"P4",6,"Feature8","x4",0.00818933024184064
"P6",6,"Feature1","x4",0.773781798853349
"P6",6,"Feature2","troot((x4*x4)*x6)",0.773781798853349
"P6",6,"Feature3","x7*x4",0.77378175332883
"P6",6,"Feature4","x8",0.236836070132746
"P6",6,"Feature5","(x9*troot(x4*x4))*x7",0.226218201146651
"P6",6,"Feature6","troot(x4*x4)",0.226218201146651
"P6",6,"Feature7","x9*troot(x4*x4)",0.226218201146651
"P6",6,"Feature8","x2*x1",0.226216125465691
"P6",6,"Feature9","x5",0.226076441727767
"P6",6,"Feature10","x1",0.219028414174866
"P6",6,"Feature11","x10",0.105112585991795
"P6",6,"Feature12","x3",0.066666453162468
"P6",6,"Feature13","sigmoid(x5)",0.0259309337578577
"P6",6,"Feature14","x9",0.0128172391868198
"P6",6,"Feature15","sigmoid(x8)",0.00174783210136193
