"Experiment","Run","Number","Feature","Margs"
"P1",24,"Feature1","troot(x4*x4)",0.969180176429769
"P1",24,"Feature2","x2*x4",0.950144505373122
"P1",24,"Feature3","x2",0.182683134728109
"P1",24,"Feature4","x4",0.120355172303299
"P1",24,"Feature5","x9",0.047742894919499
"P1",24,"Feature6","x10*x4",0.0326618659581317
"P1",24,"Feature7","troot(x4)*x4",0.0308197890495999
"P1",24,"Feature8","x6",0.00864977628041338
"P1",24,"Feature9","x9*x4",0.0080106335972504
"P1",24,"Feature10","x4*x8",0.00521197897389486
"P1",24,"Feature11","x6*x4",0.00403689562754094
"P1",24,"Feature12","x4*x4",0.00207855566908095
"P1",24,"Feature13","sigmoid(x10)",0.00140600323207043
"P2",24,"Feature1","troot(x4*x4)",0.890518717325693
"P2",24,"Feature2","x4*x2",0.852556705125597
"P2",24,"Feature3","x4",0.173005442874717
"P2",24,"Feature4","x10",0.127327724254137
"P2",24,"Feature5","x7",0.113534753390325
"P2",24,"Feature6","x10*x4",0.109663448258505
"P2",24,"Feature7","troot(x4)*x4",0.108561702597205
"P2",24,"Feature8","x9",0.0533232905284348
"P2",24,"Feature9","x4*x3",0.0379829946042578
"P2",24,"Feature10","x1",0.00232041153089656
"P2",24,"Feature11","x4*x4",0.00115755768265949
"P3",24,"Feature1","troot((x4*x4)*x7)",0.912634128487762
"P3",24,"Feature2","x2",0.220202696253072
"P3",24,"Feature3","x4",0.146477750369949
"P3",24,"Feature4","troot(x4*x4)",0.0821777320944513
"P3",24,"Feature5","x4*x2",0.0783843246779699
"P3",24,"Feature6","x9",0.0542603738197384
"P3",24,"Feature7","x6",0.015499186347082
"P3",24,"Feature8","x10",0.0122364243360616
"P3",24,"Feature9","x10*x4",0.00523534292254987
"P3",24,"Feature10","troot(x4)*x4",0.00517796841051759
"P3",24,"Feature11","x4*x8",0.00380698759227198
"P3",24,"Feature12","x8",0.00106106049691407
"P4",24,"Feature1","troot((x6*x4)*x4)",0.987612144115298
"P4",24,"Feature2","x7",0.099876912178637
"P4",24,"Feature3","x4",0.0884779915674059
"P4",24,"Feature4","x5",0.0698390987812334
"P4",24,"Feature5","x4*troot(x4)",0.00673422616214139
"P4",24,"Feature6","x10*x4",0.00673422616214139
"P4",24,"Feature7","troot(x4*x4)*sigmoid(x6)",0.00562595431291635
"P5",24,"Feature1","troot(x4*x4)",0.940718117344393
"P5",24,"Feature2","x4*x2",0.86249582650848
"P5",24,"Feature3","x4",0.168637600796122
"P5",24,"Feature4","x3",0.10248163939816
"P5",24,"Feature5","x4*x10",0.0592818826556068
"P5",24,"Feature6","troot(x4)*x4",0.0585816398416298
"P5",24,"Feature7","x3*x4",0.0416481891475291
"P5",24,"Feature8","x8*x4",0.0207782643878092
"P5",24,"Feature9","x4*x7",0.017488463002886
"P5",24,"Feature10","x6",0.012049758742072
"P5",24,"Feature11","x10",0.00419490671650386
"P5",24,"Feature12","x4*x4",0.00208243261225138
"P5",24,"Feature13","sigmoid(x4)",0.00169231625465419
"P6",24,"Feature1","troot(x4*x4)",0.957423308136733
"P6",24,"Feature2","x2*x4",0.760211138582293
"P6",24,"Feature3","x4",0.296140026816039
"P6",24,"Feature4","x10*x4",0.237428840488695
"P6",24,"Feature5","x4*x4",0.237389473683236
"P6",24,"Feature6","x2",0.0690329675057479
"P6",24,"Feature7","x7",0.0635881869273387
"P6",24,"Feature8","troot(x4)",0.0427982953373589
"P6",24,"Feature9","x9",0.0208165617295172
"P6",24,"Feature10","troot(x4*x4)*x7",0.0023993868520802
