"Experiment","Run","Number","Feature","Margs"
"P1",5,"Feature1","troot(x4*(x4*x9))",1
"P1",5,"Feature2","x2*x4",0.799471412890267
"P1",5,"Feature3","x4",0.210210115409587
"P1",5,"Feature4","troot(x4)",0.0697422433851736
"P1",5,"Feature5","x4*x9",0.0430393256837823
"P2",5,"Feature1","x4*troot(x4)",1
"P2",5,"Feature2","x4",1
"P2",5,"Feature3","x4*x10",1
"P2",5,"Feature4","x7",0.181554972717386
"P2",5,"Feature5","x6",0.166572220023665
"P3",5,"Feature1","troot(x4*x4)",0.999999455558226
"P3",5,"Feature2","x4*x2",0.949641621698486
"P3",5,"Feature3","x6",0.181522816664113
"P3",5,"Feature4","x7",0.120772153225902
"P3",5,"Feature5","x4",0.0790349025988817
"P3",5,"Feature6","x4*x3",0.0355301696757056
"P3",5,"Feature7","x9*x4",0.0162487800367928
"P4",5,"Feature1","troot(x4*(x4*x6))",0.999999970170633
"P4",5,"Feature2","x2",0.320701553448107
"P4",5,"Feature3","x4",0.0961939351222264
"P4",5,"Feature4","x6",0.0830299173526759
"P4",5,"Feature5","exp_dbl(x4)",0.00103116477129307
"P5",5,"Feature1","x4",1
"P5",5,"Feature2","x10*x4",1
"P5",5,"Feature3","troot(x4)*x4",0.987468159348398
"P5",5,"Feature4","x7",0.216707773916392
"P5",5,"Feature5","x4*x4",0.0134333840711452
"P5",5,"Feature6","troot(x4)",0.012526719998409
"P5",5,"Feature7","x4*x2",0.00307467327401821
"P5",5,"Feature8","troot(x6)",0.00119576564243514
"P6",5,"Feature1","troot(x4*x4)",1
"P6",5,"Feature2","x2*x4",0.995587686924068
"P6",5,"Feature3","x3",0.124289070180968
"P6",5,"Feature4","x1",0.0924983367390673
"P6",5,"Feature5","x4",0.0221815079863106
"P6",5,"Feature6","x2",0.0214561350981998
"P6",5,"Feature7","x4*x4",0.00499474306403994
"P6",5,"Feature8","x10*x4",0.00444976464500713
