"Experiment","Run","Number","Feature","Margs"
"S1",2,"Feature1","troot(x4*x4)",0.999956862720322
"S1",2,"Feature2","x6*troot(x4*x4)",0.99269832313468
"S1",2,"Feature3","x9",0.475626262712994
"S1",2,"Feature4","x3",0.148052496412841
"S1",2,"Feature5","troot(x4*x4)*troot(x6)",0.00734481448296186
"S2",2,"Feature1","troot(x4*x4)",1
"S2",2,"Feature2","x7*troot(x4*x4)",1
"S2",2,"Feature3","troot(x4*x4)*x9",1
"S2",2,"Feature4","x5",0.999999999999608
"S2",2,"Feature5","sigmoid(x5)",0.999722260716541
"S2",2,"Feature6","x8",0.765950681050637
"S3",2,"Feature1","troot((x4*x9)*x4)",1
"S3",2,"Feature2","troot((x4*x9)*x4)*x6",1
"S3",2,"Feature3","x5",0.99999471254167
"S3",2,"Feature4","sin_deg(x5)",0.959771134187933
"S3",2,"Feature5","x7",0.763142654384434
"S3",2,"Feature6","x7*x9",0.73534488964471
"S3",2,"Feature7","x6",0.241516198691732
"S3",2,"Feature8","x7*x7",0.228071489428144
"S3",2,"Feature9","exp_dbl(x5)",0.0222819527521484
"S3",2,"Feature10","(x7*x7)*x7",0.0105593649654562
"S4",2,"Feature1","troot(x4*x4)",1
"S4",2,"Feature2","troot(x4*x4)*x7",1
"S4",2,"Feature3","troot(x4*x4)*x9",1
"S4",2,"Feature4","x8",0.999269611140451
"S4",2,"Feature5","x5",0.996882483066297
"S4",2,"Feature6","sin_deg(x5)",0.596405340885084
"S4",2,"Feature7","sigmoid(x5)",0.408952766726206
"S5",2,"Feature1","((x4*x2)*sin_deg(x4*x3))*(x4*x3)",1
"S5",2,"Feature2","x4",1
"S5",2,"Feature3","x3*((x6*x4)*sigmoid(x3))",1
"S5",2,"Feature4","(x6*x4)*sigmoid(x3)",1
"S5",2,"Feature5","x6*x4",1
"S5",2,"Feature6","troot(x4*troot(x4*x3))",1
"S5",2,"Feature7","x4*x3",1
"S5",2,"Feature8","(x6*x4)*troot(x4*x3)",1
"S5",2,"Feature9","troot(x4*x3)",1
"S5",2,"Feature10","sigmoid(x3)",0.999999999999985
"S5",2,"Feature11","x7",0.999999999999653
"S5",2,"Feature12","x3",0.999999968843335
"S5",2,"Feature13","sin_deg(x4*x3)",0.99986210869624
"S5",2,"Feature14","x5",0.391146037816701
"S6",2,"Feature1","troot(x4)*troot(x4)",1
"S6",2,"Feature2","(troot(x4)*troot(x4))*x6",1
"S6",2,"Feature3","x9",0.584138374869539
"S6",2,"Feature4","x5",0.492960177549302
"S6",2,"Feature5","x7",0.0691518898508161
